study_id,site_id,transect_id,plot_id,core_id,depth_min,depth_max,soil_organic_matter,soil_total_carbon,soil_inorganic_carbon,soil_organic_carbon,soil_nitrogen,dry_bulk_density,soil_carbon_density_total,soil_carbon_density_inorganic,soil_carbon_density_organic,carbon_stock_total,carbon_stock_inorganic,carbon_stock_organic
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,217,222,11.1632,5.1542,5.6343,0,0.2501,0.6662,0.0343,0.0375,0,147.6427,161.3954,0
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,0,5,53.6092,27.4439,0,27.4439,1.4289,0.2392,0.0656,0,0.0656,32.8249,0,32.8249
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,5,10,60.3422,29.1041,0,29.1041,1.4131,0.1904,0.0554,0,0.0554,27.7017,0,27.7017
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,10,15,64.065,31.3458,0,31.3458,1.4725,0.2306,0.0723,0,0.0723,36.1417,0,36.1417
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,15,20,67.9479,34.082,0,34.082,1.38,0.2349,0.0801,0,0.0801,40.0305,0,40.0305
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,20,25,70.9758,35.701,0,35.701,1.101,0.1661,0.0593,0,0.0593,29.6488,0,29.6488
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,25,30,73.8359,37.853,0,37.853,1.142,0.2933,0.111,0,0.111,55.515,0,55.515
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,30,35,66.467,39.17,0,39.17,1.5072,0.2038,0.0798,0,0.0798,39.9163,0,39.9163
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,35,40,62.3047,30.75,0,30.75,1.32,0.1787,0.055,0,0.055,27.4754,0,27.4754
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,40,45,56.3236,26.709,0,26.709,1.19,0.2077,0.0555,0,0.0555,27.737,0,27.737
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,45,50,53.1858,26.0464,0,26.0464,1.0809,0.1668,0.0435,0,0.0435,21.7266,0,21.7266
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,72.5,77.5,14.9266,13.8139,8.212,5.6019,0.3542,0.4344,0.06,0.0357,0.0243,282.0423,167.6668,114.3755
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,0,5,56.9664,28.3256,0,28.3256,1.3752,0.2216,0.0628,0,0.0628,31.3798,0,31.3798
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,5,10,61.6567,30.9593,0,30.9593,1.4658,0.2069,0.064,0,0.064,32.0208,0,32.0208
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,10,15,62.0943,13.8367,0,13.8367,0.6533,0.1989,0.0275,0,0.0275,13.7587,0,13.7587
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,15,20,68.5068,34.609,0,34.609,1.516,0.2161,0.0748,0,0.0748,37.3954,0,37.3954
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,20,25,67.2348,33.305,0,33.305,1.348,0.2001,0.0667,0,0.0667,33.3272,0,33.3272
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,25,30,61.455,29.814,0,29.814,1.264,0.2077,0.0619,0,0.0619,30.9614,0,30.9614
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,30,35,60.5102,28.0037,0,28.0037,1.2602,0.1711,0.0479,0,0.0479,23.9624,0,23.9624
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,35,40,55.3702,25.697,0,25.697,1.1561,0.1943,0.0499,0,0.0499,24.9583,0,24.9583
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,40,45,60.4259,29.0785,0,29.0785,1.2651,0.2015,0.0586,0,0.0586,29.2964,0,29.2964
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,45,50,64.5681,31.8686,0,31.8686,1.0425,0.2097,0.0668,0,0.0668,33.4132,0,33.4132
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,72.5,77.5,9.7545,12.308,9.3376,2.9704,0.2873,0.7407,0.0912,0.0692,0.022,391.9858,297.3834,94.6024
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,0,5,45.6908,24.3004,4.5824,19.7181,1.3569,0.2397,0.0583,0.011,0.0473,29.1289,5.4929,23.636
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,5,10,54.1555,25.531,0,25.531,1.5095,0.1816,0.0464,0,0.0464,23.1877,0,23.1877
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,10,15,62.7778,29.3779,0,29.3779,1.4729,0.18,0.0529,0,0.0529,26.4346,0,26.4346
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,15,20,62.4848,31.1768,0,31.1768,1.4116,0.1974,0.0615,0,0.0615,30.7718,0,30.7718
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,20,25,64.1591,29.8316,0,29.8316,1.1811,0.2013,0.06,0,0.06,30.0238,0,30.0238
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,25,30,62.6013,31.6943,0,31.6943,1.2534,0.2098,0.0665,0,0.0665,33.2472,0,33.2472
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,30,35,63.1882,29.6987,0,29.6987,1.1119,0.183,0.0544,0,0.0544,27.1756,0,27.1756
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,35,40,58.7082,27.5063,0,27.5063,1.1837,0.1788,0.0492,0,0.0492,24.5915,0,24.5915
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,40,45,54.5303,25.3542,0,25.3542,1.0633,0.1892,0.048,0,0.048,23.986,0,23.986
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,45,50,39.7775,18.5868,0,18.5868,0.8566,0.2133,0.0396,0,0.0396,19.8196,0,19.8196
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,72.5,77.5,9.7232,12.5788,9.6749,2.904,0.2482,0.7618,0.0958,0.0737,0.0221,421.614,324.2797,97.3343
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,0,5,60.1391,27.4504,0,27.4504,1.3829,0.1884,0.0517,0,0.0517,25.8537,0,25.8537
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,5,10,56.8997,26.868,0,26.868,1.4247,0.1677,0.045,0,0.045,22.5249,0,22.5249
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,10,15,65.1846,31.0562,0,31.0562,1.2718,0.2014,0.0625,0,0.0625,31.2727,0,31.2727
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,15,20,70.6563,34.5724,0,34.5724,1.2276,0.2303,0.0796,0,0.0796,39.8075,0,39.8075
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,20,25,66.9133,33.7671,0,33.7671,1.2418,0.2019,0.0682,0,0.0682,34.0912,0,34.0912
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,25,30,68.9085,33.3937,0,33.3937,1.2438,0.2104,0.0703,0,0.0703,35.135,0,35.135
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,30,35,69.5841,33.4672,0,33.4672,1.2109,0.2211,0.074,0,0.074,37.0055,0,37.0055
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,35,40,55.503,26.6658,0,26.6658,1.086,0.223,0.0595,0,0.0595,29.7371,0,29.7371
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,40,45,53.9236,25.0855,0,25.0855,1.0054,0.1516,0.038,0,0.038,19.0144,0,19.0144
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,45,50,59.4298,28.202,0,28.202,1.094,0.1828,0.0516,0,0.0516,25.7765,0,25.7765
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,64,69,9.6206,12.242,9.3557,2.8864,0.2918,0.7086,0.0867,0.0663,0.0205,208.1956,159.1081,49.0875
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,119,124,7.7352,11.6451,9.5286,2.1165,0.2183,0.8848,0.103,0.0843,0.0187,515.1711,421.538,93.6331
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,0,5,68.0208,32.648,0,32.648,1.9225,0.1187,0.0388,0,0.0388,19.379,0,19.379
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,5,10,67.9546,32.7422,0,32.7422,2.0786,0.1909,0.0625,0,0.0625,31.2506,0,31.2506
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,10,15,68.6199,32.228,0,32.228,1.523,0.1848,0.0596,0,0.0596,29.7779,0,29.7779
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,15,20,67.0346,31.394,0,31.394,1.512,0.1888,0.0593,0,0.0593,29.6339,0,29.6339
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,20,25,65.3255,32.5697,0,32.5697,1.5468,0.1847,0.0602,0,0.0602,30.0765,0,30.0765
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,25,30,59.1935,29.4222,0,29.4222,1.3185,0.1729,0.0509,0,0.0509,25.439,0,25.439
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,30,35,59.2968,28.703,0,28.703,1.419,0.1585,0.0455,0,0.0455,22.7516,0,22.7516
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,35,40,50.5033,27.2036,0,27.2036,1.3822,0.1904,0.0518,0,0.0518,25.8928,0,25.8928
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,40,45,40.4719,24.974,18.5584,6.4156,1.197,0.2602,0.065,0.0483,0.0167,32.4944,24.1469,8.3476
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,45,50,28.1205,19.6645,8.2334,11.4311,0.8964,0.3249,0.0639,0.0268,0.0371,31.949,13.3768,18.5722
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,66,71,16.7113,15.524,9.268,6.256,0.657,0.4559,0.0708,0.0423,0.0285,169.8749,101.4172,68.4577
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,122,127,5.5397,12.465,10.454,2.011,0.25,0.9316,0.1161,0.0974,0.0187,615.4864,516.1889,99.2975
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,163,168,10.2487,13.78,10.107,3.673,0.396,0.6693,0.0922,0.0676,0.0246,405.8206,297.6509,108.1698
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,0,5,69.6787,34.7024,0,34.7024,1.8684,0.1414,0.0491,0,0.0491,24.5357,0,24.5357
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,5,10,69.3822,33.022,0,33.022,1.811,0.1841,0.0608,0,0.0608,30.3901,0,30.3901
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,10,15,68.2474,32.198,0,32.198,1.644,0.2411,0.0776,0,0.0776,38.8156,0,38.8156
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,15,20,64.5761,31.9249,0,31.9249,1.4023,0.1803,0.0576,0,0.0576,28.7768,0,28.7768
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,20,25,63.6906,30.635,0,30.635,1.5771,0.2051,0.0628,0,0.0628,31.4118,0,31.4118
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,25,30,61.9792,20.707,0,20.707,0.8517,0.1781,0.0369,0,0.0369,18.4366,0,18.4366
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,30,35,60.7962,24.4555,0,24.4555,1.155,0.1751,0.0428,0,0.0428,21.4145,0,21.4145
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,35,40,61.5471,33.2948,0,33.2948,1.3552,0.2117,0.0705,0,0.0705,35.2408,0,35.2408
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,40,45,58.8695,37.8551,0,37.8551,1.6828,0.1579,0.0598,0,0.0598,29.8867,0,29.8867
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,45,50,52.8227,26.7043,0,26.7043,1.2007,0.147,0.0392,0,0.0392,19.6243,0,19.6243
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,66,71,11.7402,14.039,9.704,4.335,0.412,0.5077,0.0713,0.0493,0.022,156.8196,108.3964,48.4232
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,122.5,127.5,6.7266,12.577,10.341,2.236,0.278,0.9175,0.1154,0.0949,0.0205,646.1795,531.2986,114.8809
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,167,172,4.8173,12.303,10.582,1.721,0.154,1.1569,0.1423,0.1224,0.0199,640.493,550.8979,89.5951
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,0,5,68.9516,34.095,0,34.095,1.9461,0.169,0.0576,0,0.0576,28.8165,0,28.8165
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,5,10,63.0867,29.952,0,29.952,1.454,0.1567,0.0469,0,0.0469,23.4741,0,23.4741
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,10,15,61.7801,29.771,0,29.771,1.677,0.1877,0.0559,0,0.0559,27.9455,0,27.9455
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,15,20,60.8067,29.291,0,29.291,1.374,0.208,0.0609,0,0.0609,30.4645,0,30.4645
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,20,25,61.2017,29.9235,0,29.9235,1.5407,0.1716,0.0513,0,0.0513,25.6681,0,25.6681
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,25,30,62.2465,30.5112,0,30.5112,1.394,0.1726,0.0527,0,0.0527,26.3325,0,26.3325
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,30,35,62.818600000000004,30.6758,0,30.6758,1.4696,0.2162,0.0663,0,0.0663,33.1616,0,33.1616
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,35,40,63.3244,31.2714,0,31.2714,1.451,0.2082,0.0651,0,0.0651,32.5571,0,32.5571
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,40,45,62.606,29.6972,0,29.6972,1.3557,0.209,0.0621,0,0.0621,31.0274,0,31.0274
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,45,50,63.4557,29.996,0,29.996,1.172,0.2084,0.0625,0,0.0625,31.2608,0,31.2608
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,72.5,77.5,51.4468,22.751,0,22.751,1.099,0.1547,0.0352,0,0.0352,172.5138,0,172.5138
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,122.5,127.5,7.4654,12.758,10.085,2.673,0.232,0.7953,0.1015,0.0802,0.0213,517.4558,409.0408,108.4151
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,172.5,177.5,5.9239,12.421,10.627,1.794,0.175,1.0764,0.1337,0.1144,0.0193,601.6557,514.7569,86.8988
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,0,5,70.5851,33.4939,0,33.4939,1.9696,0.1978,0.0663,0,0.0663,33.1292,0,33.1292
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,5,10,68.5218,33.8741,0,33.8741,1.8252,0.2249,0.0762,0,0.0762,38.096,0,38.096
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,10,15,64.5,31.8257,0,31.8257,1.6912,0.1826,0.0581,0,0.0581,29.0551,0,29.0551
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,15,20,57.9637,27.858,0,27.858,1.197,0.1502,0.0419,0,0.0419,20.9257,0,20.9257
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,20,25,60.2655,28.418,0,28.418,1.009,0.1805,0.0513,0,0.0513,25.6455,0,25.6455
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,25,30,60.8754,29.9948,0,29.9948,1.6028,0.2032,0.0609,0,0.0609,30.4717,0,30.4717
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,30,35,64.6556,31.376,0,31.376,1.4863,0.2317,0.0727,0,0.0727,36.3413,0,36.3413
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,35,40,64.659,31.7388,0,31.7388,1.3797,0.2017,0.064,0,0.064,32.01,0,32.01
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,40,45,62.0923,30.4386,0,30.4386,1.3364,0.1717,0.0523,0,0.0523,26.1259,0,26.1259
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,45,50,64.2605,27.6522,0,27.6522,1.2163,0.2333,0.0645,0,0.0645,32.2606,0,32.2606
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,72.5,77.5,54.765,24.547,0,24.547,0.981,0.1524,0.0374,0,0.0374,175.8686,0,175.8686
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,122.5,127.5,7.7912,12.954,10.334,2.62,0.216,0.8337,0.108,0.0862,0.0218,540.008,430.7892,109.2188
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,172.5,177.5,6.4432,13.0143,10.673400000000001,2.3409,0.2842,0.838,0.1091,0.0894,0.0196,468.9775,384.6221,84.3554
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,0,5,72.289,35.555,0,35.555,1.403,0.1825,0.0649,0,0.0649,32.4411,0,32.4411
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,5,10,70.2663,34.6093,0,34.6093,1.6882,0.204,0.0706,0,0.0706,35.305,0,35.305
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,10,15,66.5699,32.4241,0,32.4241,1.6014,0.199,0.0645,0,0.0645,32.2583,0,32.2583
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,15,20,66.0674,32.5402,0,32.5402,1.5445,0.251,0.0817,0,0.0817,40.8348,0,40.8348
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,20,25,63.359,32.3351,0,32.3351,1.6307,0.1991,0.0644,0,0.0644,32.1868,0,32.1868
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,25,30,62.7744,28.1987,0,28.1987,1.2916,0.248,0.0699,0,0.0699,34.972,0,34.972
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,30,35,63.1787,30.8984,0,30.8984,1.4701,0.2158,0.0667,0,0.0667,33.3374,0,33.3374
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,35,40,63.9612,30.6938,0,30.6938,1.4123000000000001,0.1887,0.0579,0,0.0579,28.9568,0,28.9568
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,40,45,64.4898,31.7191,0,31.7191,1.3688,0.2208,0.07,0,0.07,35.0226,0,35.0226
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,45,50,62.0426,30.3777,0,30.3777,1.3884,0.1679,0.051,0,0.051,25.4992,0,25.4992
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,72.5,77.5,54.9984,26.643,0,26.643,1.222,0.2276,0.0606,0,0.0606,254.6335,0,254.6335
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,122.5,127.5,7.2446,12.684,10.304,2.38,0.193,0.9472,0.1201,0.0976,0.0225,600.7099,487.9939,112.716
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,172.5,177.5,5.5033,12.4896,10.8256,1.664,0.1772,1.0353,0.1293,0.1121,0.0172,614.2207,532.3875,81.8333
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,0,5,89.6809,34.403,0,34.403,1.3453,0.1758,0.0605,0,0.0605,30.2334,0,30.2334
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,5,10,67.8401,33.8301,0,33.8301,1.2204,0.2429,0.0822,0,0.0822,41.0852,0,41.0852
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,10,15,68.8573,34.17,0,34.17,1.5031,0.219,0.0748,0,0.0748,37.4236,0,37.4236
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,15,20,67.5635,34.1938,0,34.1938,1.3565,0.2103,0.0719,0,0.0719,35.9588,0,35.9588
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,20,25,69.5746,34.7897,0,34.7897,1.2105,0.2299,0.08,0,0.08,39.9846,0,39.9846
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,25,30,68.4587,34.1406,0,34.1406,1.2242,0.2345,0.0801,0,0.0801,40.0276,0,40.0276
