study_id,bibliography_id,publication_type,bibtype,mgeo_title,ccn_title,author,doi,year,journal,included
Gonneea_et_al_2004,Gonneea_et_al_2004_article,synthesis source,Article,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira,10.1016/j.ecss.2004.04.015,2004,"Estuarine, Coastal and Shelf Science",NA
Gonneea_et_al_2004,Gonneea_et_al_2004_article,synthesis source,Article,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira,10.1016/j.ecss.2004.04.015,2004,"Estuarine, Coastal and Shelf Science",NA
Grady_1981,Grady_1981_article,synthesis source,Article,NA,"Properties of Sea Grass and Sand Flat Sediments from the Intertidal Zone of St. Andrew Bay, Florida",John R. Grady,10.2307/1352158,1981,Estuaries,NA
Grenz_et_al_2003,Grenz_et_al_2003_article,synthesis source,Article,NA,Spatial variability in Sediment Oxygen Consumption under winter conditions in a lagoonal system in New Caledonia (South Pacific),Christian Grenz and Lionel Denis and Guy Boucher and Laurent Chauvaud and Jacques Clavier and Renaud Fichez and Olivier Pringault,10.1016/s0022-0981(02)00518-x,2003,Journal of Experimental Marine Biology and Ecology,NA
Hebert_et_al_2007,Hebert_et_al_2007_article,synthesis source,Article,NA,Small-scale heterogeneity in the geochemistry of seagrass vegetated and non-vegetated estuarine sediments: causes and consequences,Andrew B. Hebert and John W. Morse and Peter M. Eldridge,10.1007/s10498-006-9007-3,2006,Aquatic Geochemistry,NA
Holmer_et_al_2003,Holmer_et_al_2003_article,synthesis source,Article,NA,Sulfur cycling and seagrass (Posidonia oceanica) status in carbonate sediments,Marianne Holmer and Carlos M. Duarte and NÃºria Mar á,10.1023/b:biog.0000005326.35071.51,2003,Biogeochemistry,NA
Holmer_et_al_2007,Holmer_et_al_2007_article,synthesis source,Article,NA,Stimulation of sulfate reduction rates in Mediterranean fish farm sediments inhabited by the seagrass Posidonia oceanica,Marianne Holmer and Morten S. Frederiksen,10.1007/s10533-007-9127-x,2007,Biogeochemistry,NA
Holmer_et_al_2009,Holmer_et_al_2009_article,synthesis source,Article,NA,Deterioration of Sediment Quality in Seagrass Meadows (Posidonia oceanica) Invaded by Macroalgae (Caulerpa sp.),Marianne Holmer and NÃºria Mar {à} and Morgane Lamote and Carlos M. Duarte,10.1007/s12237-009-9133-4,2009,Estuaries and Coasts,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_data,primary dataset,Misc,NA,"Dataset: Carbon stocks in seagrass meadows, emergent marshes, and forested tidal swamps of the Pacific Northwest",{J. Boone Kauffman} and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and {Heida Diefenderfer} and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,10.25573/serc.12640172,2020,NA,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_article,associated source,Article,"Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States","Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States",J. Boone Kauffman and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and Heida Diefenderfer and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,10.1111/gcb.15248,2020,Global Change Biology,NA
Keshta_et_al_2020,Keshta_et_al_2020_data,primary dataset,Misc,NA,Dataset: Soil Redox and Hydropattern control Soil Carbon Stocks across different habitats in Tidal Freshwater Wetlands in a Sub-estuary of the Chesapeake Bay,Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,10.25573/serc.13187549,2020,NA,NA
Keshta_et_al_2020,Keshta_et_al_2017_article,associated source,PhdThesis,NA,"HYDROLOGY, SOIL REDOX, AND PORE-WATER IRON REGULATE CARBON CYCLING IN NATURAL AND RESTORED TIDAL FRESHWATER WETLANDS IN THE CHESAPEAKE BAY, MARYLAND, USA",Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,10.13016/M2S756M71,2017,NA,NA
Keshta_et_al_2020,Keshta_et_al_2021_article,associated source,Article,NA,A new in situ method showed greater persistence of{\hspace{0.167em}}added soil organic matter in natural than restored{\hspace{0.167em}}wetlands,Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,10.1111/rec.13437,2021,Restoration Ecology,NA
Kristensen_et_al_2000,Sanderman_2018_data,synthesis dataset,Misc,NA,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,10.7910/dvn/ocyuit,2017,NA,NA
Kristensen_et_al_2000,Kristensen_et_al_2000_article,synthesis source,Article,"Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand","Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand",E Kristensen and FØ Andersen and N Holmboe and M Holmer and N Thongtham,10.3354/ame022199,2000,Aquatic Microbial Ecology,n
Kristensen_et_al_2000,Kristensen_et_al_2000_article,synthesis source,Article,"Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand","Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand",E Kristensen and FØ Andersen and N Holmboe and M Holmer and N Thongtham,10.3354/ame022199,2000,Aquatic Microbial Ecology,n
Larned_2003,Larned_2003_article,synthesis source,Article,NA,"Effects of the invasive, nonindigenous seagrass Zostera japonica on nutrient fluxes between the water column and benthos in a {NE} Pacific estuary",ST Larned,10.3354/meps254069,2003,Marine Ecology Progress Series,NA
Leduc_and_Probert_2011,Leduc_and_Probert_2011_article,synthesis source,Article,NA,"Small-scale effect of intertidal seagrass (Zostera muelleri) on meiofaunal abundance, biomass, and nematode community structure",Daniel Leduc and P. Keith Probert,10.1017/s0025315410001645,2010,Journal of the Marine Biological Association of the United Kingdom,NA
Lewis_et_al_2007,Lewis_et_al_2007_article,synthesis source,Article,NA,Florida seagrass habitat evaluation: A comparative survey for chemical quality,Michael A. Lewis and Darrin D. Dantin and Cynthia A. Chancy and Kathryn C. Abel and Christopher G. Lewis,10.1016/j.envpol.2006.04.041,2007,Environmental Pollution,NA
Lillebo_et_al_2006,Lillebo_et_al_2006_article,synthesis source,Article,"The effect of Zostera noltii, Spartina maritima and Scirpus maritimus on sediment pore-water profiles in a temperate intertidal estuary","The Effect of Zostera noltii, Spartina maritima and Scirpus maritimus on Sediment Pore-water Profiles in a Temperate Intertidal Estuary",A. I. Lille ø and M. R. Flindt and M. A. Pardal and J. C. Marques,10.1007/s10750-005-1114-4,2006,Hydrobiologia,NA
Maher_and_Eyre_2010,Maher_and_Eyre_2010_article,synthesis source,Article,Benthic fluxes of dissolved organic carbon in three temperate Australian estuaries: Implications for global estimates of benthic DOC fluxes,Benthic fluxes of dissolved organic carbon in three temperate Australian estuaries: Implications for global estimates of benthic {DOC} fluxes,D. T. Maher and B. D. Eyre,10.1029/2010jg001433,2010,Journal of Geophysical Research,n
McClellan_et_al_2021,McClellan_et_al_2021_data,primary dataset,Misc,NA,Data for: Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan,10.17632/5ZBV2MB5ZP.1,2021,NA,NA
McClellan_et_al_2021,McClellan_et_al_2021_article,associated source,Article,NA,Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan and Tracy Elsey-Quirk and Edward A. Laws and Ronald D. DeLaune,https://doi.org/10.1016/j.ecoleng.2021.106326,2021,Ecological Engineering,NA
McGlathery_et_al_2012,McGlathery_et_al_2012_article,synthesis source,Article,NA,Recovery trajectories during state change from bare sediment to eelgrass dominance,KJ McGlathery and LK Reynolds and LW Cole and RJ Orth and SR Marion and A Schwarzschild,10.3354/meps09574,2012,Marine Ecology Progress Series,NA
Miyajima_et_al_1998,Miyajima_et_al_1998_article,synthesis source,Article,NA,"Accumulation and transport of seagrass-derived organic matter in reef flat sediment of Green Island, Great Barrier Reef",T Miyajima and I Koike and H Yamano and H Iizumi,10.3354/meps175251,1998,Marine Ecology Progress Series,NA
Okeefe-Suttles_et_al_2021_FL,Okeefe-Suttles_et_al_2021_FL_data,primary dataset,Misc,NA,"Collection, analysis, and age-dating of sediment cores from mangrove and salt marsh ecosystems in Tampa Bay, Florida, 2015",Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Kevin D Kroeger,10.5066/P9QB17H2,2021,NA,NA
Ooi_et_al_2011,Ooi_et_al_2011_article,synthesis source,Article,NA,Knowledge gaps in tropical Southeast Asian seagrass systems,Jillian Lean Sim Ooi and Gary A. Kendrick and Kimberly P. Van Niel and Yang Amri Affendi,10.1016/j.ecss.2010.12.021,2011,"Estuarine, Coastal and Shelf Science",NA
Orem_et_al_1999,Orem_et_al_1999_article,synthesis source,Article,NA,Geochemistry of Florida Bay sediments: nutrient history at five sites in eastern and central Florida Bay,"Orem, W. H., Holmes, C. W., Kendall, C., Lerch, H. E., Bates, A. L., Silva, S. R., Boylan, A., Corum, M., Marot, M., and Hedgeman, C.",https://www.jstor.org/stable/4299024,1999,Journal of Coastal Research,NA
Osland_et_al_2016,Osland_et_al_2016_data,primary dataset,Misc,NA,"Vegetation, soil, and landscape data",Michael J Osland,10.5066/F7J1017G,2017,NA,NA
Peck_et_al_2020,Peck_et_al_2020_data,primary dataset,Misc,NA,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",Erin Peck and Robert Wheatcroft and Laura Brophy,10.25573/SERC.11317820.V2,2020,NA,NA
Peck_et_al_2020,Peck_et_al_2020_article,associated source,Article,NA,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,10.1029/2019jg005464,2020,Journal of Geophysical Research: Biogeosciences,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_article,synthesis source,Article,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,KL Poppe and JM Rybczyk,10.3955/046.092.0202,2018,Northwest Science,n
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_mastersthesis,synthesis source,MastersThesis,NA,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,KL Poppe,NA,2015,NA,NA
Poppe_and_Rybczyk_2018,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,NA,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,10.25573/DATA.10005248,2019,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019_techreport,synthesis source,TechReport,NA,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,KL Poppe and JM Rybczyk,NA,2019,NA,NA
Poppe_and_Rybczyk_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,NA,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,10.25573/DATA.10005248,2019,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_techreport,synthesis source,TechReport,NA,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,2014,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,NA,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,10.25573/DATA.10005248,2019,NA,NA
Qu_et_al_2006,Qu_et_al_2006_article,synthesis source,Article,NA,"Organic matter and benthic metabolism in Lake Illawarra, Australia",Wenchuan Qu and R.J. Morrison and R.J. West and Chenwei Su,10.1016/j.csr.2006.05.007,2006,Continental Shelf Research,NA
Radabaugh_et_al_2018,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,10.25572/ccrcn/10088/35684,2018,NA,NA
Radabaugh_et_al_2018,Radabaugh_et_al_2018_article,synthesis source,Article,"Coastal blue carbon assessment of mangroves, salt marshes, and salt barrens in Tampa Bay, Florida, USA","Coastal Blue Carbon Assessment of Mangroves, Salt Marshes, and Salt Barrens in Tampa Bay, Florida, {USA}",Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Christina E. Powell and Ioana Bociu and Barbara C. Clark and Joseph M. Smoak,10.1007/s12237-017-0362-7,2017,Estuaries and Coasts,yes
Schile-Beers_and_Megonigal_2017,Schile-Beers_et_al_2017_data,synthesis dataset,Misc,NA,Abu Dhabi Blue Carbon Demonstration Project,Lisa M. Schile and J. Patrick Megonigal,10.5479/data_serc/10088/31949,2017,NA,NA
Spruzen_et_al_2008,Spruzen_et_al_2008_article,synthesis source,Article,NA,"Spatial variation of intertidal macroinvertebrates and environmental variables in Robbins Passage wetlands, {NW} Tasmania",Fiona L. Spruzen and Alastair M. M. Richardson and Eric J. Woehler,10.1007/s10750-007-9166-2,2007,Hydrobiologia,NA
Thimdee_et_al_2003,Thimdee_et_al_2003_article,synthesis source,Article,NA,Sources and fate of organic matter in Khung Krabaen Bay (Thailand) as traced by $\delta$ 13 C and C/N atomic ratiosand C/N atomic ratios,"Thimdee, W., Deein, G., Sangrungruang, C., Nishioka, J., and Matsunaga, K.",NA,2003,Wetlands,NA
Vichkovitten_et_al_2005,Vichkovitten_et_al_2005_article,synthesis source,Article,NA,Dissolved and particulate organic matter in contrasting Zostera marina (eelgrass) sediments,Tritep Vichkovitten and Marianne Holmer,10.1016/j.jembe.2004.11.002,2005,Journal of Experimental Marine Biology and Ecology,NA
Ward_et_al_2021,Ward_et_al_2021_data,primary dataset,Misc,NA,"Data from: Organic carbon, grain size, elemental/isotopic composition",Melissa Ward,10.5061/dryad.m0cfxpp31,2021,NA,NA
Ward_et_al_2021,Ward_et_al_2021_article,associated source,Article,Blue carbon stocks and exchanges along the California coast,Blue carbon stocks and exchanges along the California coast,M. A. Ward and T. M. Hill and C. Souza and T. Filipczyk and A. M. Ricart and S. Merolla and L. R. Capece and B. C. O'Donnell and K. Elsmore and W. C. Oechel and K. M. Beheshti,10.5194/bg-18-4717-2021,2021,Biogeosciences,y
Yamamuro_et_al_1993,Yamamuro_et_al_1993_article,synthesis source,Article,NA,Partitioning of the nitrogen stock in the vicinity of a Fijian seagrass bed dominated by Syringodium isoetifolium (Ascherson) Dandy,M Yamamuro and I Koike and H Iizumi,10.1071/mf9930101,1993,Marine and Freshwater Research,NA
