study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_unit
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,4,6,0.302,NA,474,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,8,10,0.609,0.10039999999999999,934,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,12,14,0.79,NA,1220,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,16,18,1.31,0.044199999999999996,1278,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,20,22,1.575,NA,1536,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,24,26,1.75,0.028300000000000002,1654,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,28,30,1.73,NA,1786,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,32,34,1.832,0.024900000000000002,1883,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,36,38,2.16,NA,1847,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,40,42,2.302,NA,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,42,44,1.946,0.027000000000000003,1711,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,0,2,0.455,0.10439999999999999,802,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,4,6,0.527,NA,857,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,8,10,0.238,0.17129999999999998,429,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,12,14,0.449,NA,898,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,16,18,0.328,0.12300000000000001,843,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,20,22,0.528,NA,966,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,24,26,0.593,0.0825,1006,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,28,30,0.67,NA,1192,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,32,34,0.748,0.08800000000000001,1376,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,34,36,0.713,NA,1327,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,36,38,0.811,0.0908,1561,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,38,40,0.851,NA,1314,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,40,42,NA,0.08199999999999999,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,42,44,0.726,NA,872,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,0,2,0.667,0.0971,946,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,4,6,0.642,NA,1019,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,8,10,0.766,0.0805,1173,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,12,14,0.588,NA,1124,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,16,18,0.703,0.0872,1108,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,20,22,0.632,NA,1009,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,22,24,0.662,0.0733,1271,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,24,26,0.855,NA,1924,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,26,28,0.806,0.0707,1390,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,28,30,0.95,NA,1228,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,32,34,1.05,0.049100000000000005,997,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,36,38,0.971,NA,988,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,40,42,1.022,0.057699999999999994,748,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,42,44,1.061,NA,337,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,0,2,0.535,0.10949999999999999,663,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,4,6,0.596,NA,1036,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,8,10,0.472,0.09630000000000001,898,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,12,14,0.607,NA,1008,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,16,18,0.617,0.091,1077,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,20,22,0.61,NA,1313,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,24,26,0.71,0.078,1317,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,28,30,0.9,NA,1491,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,30,32,0.785,0.0751,1422,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,32,34,0.913,NA,1607,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,34,36,0.865,0.08900000000000001,1577,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,36,38,0.871,NA,734,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,40,42,0.765,0.079,587,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,42,44,0.834,NA,514,counts_per_hour
