"","study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","fraction_nitrogen"
"45","Trettin_et_al_2017","1079","1079_3",20,25,0.749,0.0218,0.0016
"46","Trettin_et_al_2017","1079","1079_3",35,40,0.678,0.0297,0.0017
"47","Trettin_et_al_2017","1079","1079_3",70,75,0.832,0.0207,0.0012
"48","Trettin_et_al_2017","1079","1079_3",145,150,1.22,0.0114,7e-04
"49","Trettin_et_al_2017","1079","1079_3",180,185,0.89,0.0192,0.0011
"50","Trettin_et_al_2017","1079","1079_4",10,15,0.475,0.0297,0.0017
"51","Trettin_et_al_2017","1079","1079_4",20,25,0.776,0.0198,0.0014
"52","Trettin_et_al_2017","1079","1079_4",35,40,0.639,0.0278,0.0019
"53","Trettin_et_al_2017","1079","1079_4",70,75,0.877,0.0181,0.001
"54","Trettin_et_al_2017","1079","1079_4",140,145,0.886,0.0205,0.001
"55","Trettin_et_al_2017","1079","1079_4",182,187,1.036,0.0132,8e-04
"56","Trettin_et_al_2017","1079","1079_5",5,10,0.703,0.022,0.0016
"57","Trettin_et_al_2017","1079","1079_5",20,25,0.774,0.0235,0.0019
"58","Trettin_et_al_2017","1079","1079_5",35,40,0.694,0.0192,0.0015
"59","Trettin_et_al_2017","1079","1079_5",70,75,0.71,0.0192,0.0012
"60","Trettin_et_al_2017","1079","1079_5",145,150,0.826,0.0159,0.0011
"61","Trettin_et_al_2017","1079","1079_5",190,195,0.881,0.0155,0.001
"62","Trettin_et_al_2017","1113","1113_1",5,10,0.586,0.0396,0.0022
"63","Trettin_et_al_2017","1113","1113_1",20,25,0.534,0.0352,0.0022
"64","Trettin_et_al_2017","1113","1113_1",35,40,0.579,0.0532,0.0019
"65","Trettin_et_al_2017","1113","1113_1",70,75,0.728,0.036,0.0015
"66","Trettin_et_al_2017","1113","1113_1",145,150,0.716,0.0221,0.0012
"67","Trettin_et_al_2017","1113","1113_1",190,195,0.988,0.0168,6e-04
"68","Trettin_et_al_2017","1113","1113_2",5,10,0.589,0.029,0.0024
"69","Trettin_et_al_2017","1113","1113_2",20,25,0.686,0.0283,0.0023
"70","Trettin_et_al_2017","1113","1113_2",35,40,0.617,0.0341,0.0023
"71","Trettin_et_al_2017","1113","1113_2",70,75,0.589,0.0343,0.0024
"72","Trettin_et_al_2017","1113","1113_2",145,150,0.755,0.0223,0.0014
"73","Trettin_et_al_2017","1113","1113_3",5,10,0.576,0.0365,0.002
"74","Trettin_et_al_2017","1113","1113_3",20,25,0.523,0.0335,0.002
"75","Trettin_et_al_2017","1113","1113_3",35,40,0.562,0.0314,0.0014
"76","Trettin_et_al_2017","1113","1113_3",65,70,0.464,0.0353,0.002
"77","Trettin_et_al_2017","1113","1113_3",155,160,0.453,0.031,0.0019
"78","Trettin_et_al_2017","1113","1113_3",175,180,0.736,0.0289,0.0011
"79","Trettin_et_al_2017","1113","1113_4",5,10,0.666,0.022,0.0021
"80","Trettin_et_al_2017","1113","1113_4",25,30,0.616,0.02,0.0018
"81","Trettin_et_al_2017","1113","1113_4",35,40,0.609,0.0285,0.0017
"82","Trettin_et_al_2017","1113","1113_4",70,75,0.564,0.0242,0.0016
"83","Trettin_et_al_2017","1113","1113_4",145,150,0.769,0.0214,0.0015
"84","Trettin_et_al_2017","1130","1130_1",5,10,1.112,0.0142,0.001
"85","Trettin_et_al_2017","1130","1130_1",20,25,1.205,0.0096,8e-04
"86","Trettin_et_al_2017","1130","1130_1",35,40,1.007,0.0157,0.001
"87","Trettin_et_al_2017","1130","1130_1",70,75,0.905,0.0267,0.0015
"88","Trettin_et_al_2017","1130","1130_1",145,150,0.873,0.0237,0.0013
"89","Trettin_et_al_2017","1130","1130_2",5,10,1.24,0.0178,0.0013
"90","Trettin_et_al_2017","1130","1130_2",22,27,1.187,0.0133,0.001
"91","Trettin_et_al_2017","1130","1130_2",45,50,1.007,0.0226,0.0017
"92","Trettin_et_al_2017","1130","1130_2",70,75,1.107,0.0125,0.001
"93","Trettin_et_al_2017","1130","1130_2",145,150,0.921,0.0223,0.0014
"94","Trettin_et_al_2017","1130","1130_2",190,195,0.81,0.0229,0.0015
"95","Trettin_et_al_2017","1130","1130_3",0,5,0.583,0.0217,0.0014
"96","Trettin_et_al_2017","1130","1130_3",25,30,0.964,0.0211,0.0015
"97","Trettin_et_al_2017","1130","1130_3",45,50,1.045,0.0185,0.0012
"98","Trettin_et_al_2017","1130","1130_3",70,75,0.682,0.0343,0.0017
"99","Trettin_et_al_2017","1130","1130_3",144,149,0.776,0.0273,0.0016
"100","Trettin_et_al_2017","1130","1130_3",182,187,0.631,0.0196,0.0012
"101","Trettin_et_al_2017","1130","1130_4",5,10,1.092,0.0184,0.0013
"102","Trettin_et_al_2017","1130","1130_4",20,25,1.168,0.0108,8e-04
"103","Trettin_et_al_2017","1130","1130_4",35,40,1.067,0.0115,8e-04
"104","Trettin_et_al_2017","1130","1130_4",60,65,0.859,0.015,0.0011
"105","Trettin_et_al_2017","1130","1130_4",145,150,0.891,0.0212,0.0013
"106","Trettin_et_al_2017","1130","1130_4",190,195,0.972,0.0167,0.0011
"107","Trettin_et_al_2017","1130","1130_5",5,8,1.209,0.0095,7e-04
"108","Trettin_et_al_2017","1130","1130_5",20,25,1.02,0.0178,0.0012
"109","Trettin_et_al_2017","1130","1130_5",40,45,1.275,0.015,0.001
"110","Trettin_et_al_2017","1130","1130_5",70,75,0.825,0.0146,0.001
"111","Trettin_et_al_2017","1130","1130_5",145,150,0.857,0.0189,0.0011
"112","Trettin_et_al_2017","1130","1130_5",185,190,0.849,0.0171,0.0012
"113","Trettin_et_al_2017","1216","1216_1",5,10,1.027,0.0111,8e-04
"114","Trettin_et_al_2017","1216","1216_1",20,25,0.814,0.0103,8e-04
"115","Trettin_et_al_2017","1216","1216_1",35,40,0.936,0.0156,0.001
"116","Trettin_et_al_2017","1216","1216_1",70,75,0.76,0.0227,0.0012
"117","Trettin_et_al_2017","1216","1216_1",145,150,0.848,0.0181,0.0011
"118","Trettin_et_al_2017","1216","1216_1",182,187,0.585,0.0186,0.0012
"119","Trettin_et_al_2017","1216","1216_2",5,10,1.014,0.0153,0.0012
"120","Trettin_et_al_2017","1216","1216_2",20,25,0.791,0.0144,0.0016
"121","Trettin_et_al_2017","1216","1216_2",35,40,0.907,0.0133,0.0012
"122","Trettin_et_al_2017","1216","1216_2",70,75,0.813,0.0155,0.001
"123","Trettin_et_al_2017","1216","1216_2",145,150,0.912,0.016,9e-04
"124","Trettin_et_al_2017","1216","1216_2",190,195,1.019,0.0142,9e-04
"125","Trettin_et_al_2017","1216","1216_3",5,10,0.944,0.0179,0.0011
"126","Trettin_et_al_2017","1216","1216_3",20,25,0.879,0.0171,0.0012
"127","Trettin_et_al_2017","1216","1216_3",35,40,0.785,0.0135,9e-04
"128","Trettin_et_al_2017","1216","1216_3",70,75,0.788,0.0258,0.0013
"129","Trettin_et_al_2017","1216","1216_3",145,150,0.882,0.0254,0.0012
"130","Trettin_et_al_2017","1216","1216_3",183,188,0.737,0.0183,0.0012
"131","Trettin_et_al_2017","1216","1216_4",5,10,0.976,0.0096,6e-04
"132","Trettin_et_al_2017","1216","1216_4",20,25,0.904,0.0116,7e-04
"133","Trettin_et_al_2017","1216","1216_4",35,40,0.734,0.0164,8e-04
"134","Trettin_et_al_2017","1216","1216_4",70,75,0.719,0.019,9e-04
"135","Trettin_et_al_2017","1216","1216_4",145,150,0.853,0.0178,0.0013
"136","Trettin_et_al_2017","1216","1216_5",5,10,1.085,0.0142,0.001
"137","Trettin_et_al_2017","1216","1216_5",20,25,1.001,0.0133,0.001
"138","Trettin_et_al_2017","1216","1216_5",35,40,0.83,0.0153,0.001
"139","Trettin_et_al_2017","1216","1216_5",65,70,0.692,0.0168,0.001
"140","Trettin_et_al_2017","1216","1216_5",145,150,0.929,0.016,0.001
"141","Trettin_et_al_2017","1216","1216_5",190,195,1.133,0.009,6e-04
"142","Trettin_et_al_2017","1219","1219_1",5,10,0.908,0.0224,0.0015
"143","Trettin_et_al_2017","1219","1219_1",20,25,0.822,0.0166,0.0012
"144","Trettin_et_al_2017","1219","1219_1",35,40,0.747,0.02,0.0013
"145","Trettin_et_al_2017","1219","1219_1",70,75,0.713,0.0349,0.0015
"146","Trettin_et_al_2017","1219","1219_1",145,150,0.774,0.0206,0.0012
"147","Trettin_et_al_2017","1219","1219_2",5,10,0.899,0.0273,0.002
"148","Trettin_et_al_2017","1219","1219_2",20,25,0.898,0.0157,0.0013
"149","Trettin_et_al_2017","1219","1219_2",35,40,0.951,0.0206,0.0016
"150","Trettin_et_al_2017","1219","1219_2",70,75,0.717,0.0295,0.0016
"151","Trettin_et_al_2017","1219","1219_2",145,150,0.589,0.0238,0.0015
"152","Trettin_et_al_2017","1219","1219_2",168,173,0.76,0.0224,0.0012
"153","Trettin_et_al_2017","1219","1219_3",5,10,0.763,0.0261,0.0018
"154","Trettin_et_al_2017","1219","1219_3",20,25,0.826,0.0195,0.0014
"155","Trettin_et_al_2017","1219","1219_3",35,40,0.779,0.0256,0.0014
"156","Trettin_et_al_2017","1219","1219_3",70,75,0.638,0.0282,0.0016
"157","Trettin_et_al_2017","1219","1219_3",145,150,0.788,0.0145,0.0011
"158","Trettin_et_al_2017","1219","1219_3",188,193,0.698,0.0253,0.0014
"159","Trettin_et_al_2017","1219","1219_4",5,10,0.812,0.0228,0.0016
"160","Trettin_et_al_2017","1219","1219_4",20,25,0.639,0.0221,0.0017
"161","Trettin_et_al_2017","1219","1219_4",35,40,0.8,0.0144,0.0012
"162","Trettin_et_al_2017","1219","1219_4",70,75,0.649,0.03,0.0015
"163","Trettin_et_al_2017","1219","1219_4",130,135,0.781,0.0196,0.0012
"164","Trettin_et_al_2017","1219","1219_5",5,10,0.605,0.0308,0.0019
"165","Trettin_et_al_2017","1219","1219_5",20,25,0.658,0.0248,0.0016
"166","Trettin_et_al_2017","1219","1219_5",35,40,0.647,0.0331,0.0013
"167","Trettin_et_al_2017","1219","1219_5",61,68,0.567,0.0354,0.0018
"168","Trettin_et_al_2017","1254","1254_1",5,10,0.655,0.0401,0.0026
"169","Trettin_et_al_2017","1254","1254_1",20,25,0.656,0.0242,0.0018
"170","Trettin_et_al_2017","1254","1254_1",35,40,0.674,0.0238,0.0016
"171","Trettin_et_al_2017","1254","1254_1",70,75,0.658,0.0204,0.0014
"172","Trettin_et_al_2017","1254","1254_1",145,150,0.763,0.0165,0.0012
"173","Trettin_et_al_2017","1254","1254_1",178,183,1.134,0.0034,2e-04
"174","Trettin_et_al_2017","1254","1254_2",5,10,0.666,0.0297,0.0017
"175","Trettin_et_al_2017","1254","1254_2",20,25,0.727,0.022,0.0013
"176","Trettin_et_al_2017","1254","1254_2",35,40,0.654,0.0188,0.0014
"177","Trettin_et_al_2017","1254","1254_2",75,80,0.584,0.0194,0.0014
"178","Trettin_et_al_2017","1254","1254_2",145,150,0.931,0.0102,8e-04
"179","Trettin_et_al_2017","1254","1254_2",190,195,1.246,0.0051,4e-04
"180","Trettin_et_al_2017","1254","1254_3",5,10,0.682,0.029,0.0019
"181","Trettin_et_al_2017","1254","1254_3",20,25,0.654,0.0258,0.0016
"182","Trettin_et_al_2017","1254","1254_3",35,40,0.696,0.0242,0.0017
"183","Trettin_et_al_2017","1254","1254_3",62,67,0.687,0.024,0.0017
"184","Trettin_et_al_2017","1254","1254_3",145,150,0.69,0.0189,0.0015
"185","Trettin_et_al_2017","1254","1254_3",170,175,1.139,0.0095,7e-04
"186","Trettin_et_al_2017","1254","1254_4",5,10,0.623,0.0292,0.0021
"187","Trettin_et_al_2017","1254","1254_4",20,25,0.696,0.0262,0.0019
"188","Trettin_et_al_2017","1254","1254_4",35,40,0.614,0.0324,0.0019
"189","Trettin_et_al_2017","1254","1254_4",70,75,0.782,0.0225,0.0016
"190","Trettin_et_al_2017","1254","1254_4",145,150,1.314,0.0096,6e-04
"191","Trettin_et_al_2017","1254","1254_4",185,190,1.495,0.0068,4e-04
"192","Trettin_et_al_2017","1254","1254_5",5,10,0.75,0.0281,0.0019
"193","Trettin_et_al_2017","1254","1254_5",20,25,0.713,0.0244,0.0017
"194","Trettin_et_al_2017","1254","1254_5",35,40,0.673,0.0304,0.0018
"195","Trettin_et_al_2017","1254","1254_5",70,75,0.666,0.0188,0.0014
"196","Trettin_et_al_2017","1254","1254_5",146,151,0.815,0.0167,0.0012
"197","Trettin_et_al_2017","1254","1254_5",185,190,1.256,0.0045,3e-04
"198","Trettin_et_al_2017","1285","1285_1",5,10,0.722,0.018,0.0015
"199","Trettin_et_al_2017","1285","1285_1",20,25,0.635,0.0174,0.0014
"200","Trettin_et_al_2017","1285","1285_1",35,40,0.697,0.0178,0.0014
"201","Trettin_et_al_2017","1285","1285_1",70,75,0.709,0.0183,0.0013
"202","Trettin_et_al_2017","1285","1285_1",145,150,0.904,0.0158,0.0012
"203","Trettin_et_al_2017","1285","1285_1",190,195,0.802,0.0161,0.0012
"204","Trettin_et_al_2017","1285","1285_2",5,10,0.934,0.0114,0.001
"205","Trettin_et_al_2017","1285","1285_2",20,25,0.892,0.0104,7e-04
"206","Trettin_et_al_2017","1285","1285_2",35,40,0.95,0.0108,8e-04
"207","Trettin_et_al_2017","1285","1285_2",70,75,0.918,0.012,7e-04
"208","Trettin_et_al_2017","1285","1285_2",145,150,0.816,0.0155,9e-04
"209","Trettin_et_al_2017","1285","1285_2",179,184,0.835,0.0172,0.001
"210","Trettin_et_al_2017","1285","1285_3",7,12,0.861,0.0136,0.0012
"211","Trettin_et_al_2017","1285","1285_3",20,25,0.88,0.0136,0.0012
"212","Trettin_et_al_2017","1285","1285_3",35,40,0.81,0.0137,0.0012
"213","Trettin_et_al_2017","1285","1285_3",70,75,0.812,0.0126,9e-04
"214","Trettin_et_al_2017","1285","1285_3",145,150,0.991,0.0165,0.0011
"215","Trettin_et_al_2017","1285","1285_3",190,195,0.959,0.0177,0.0011
"216","Trettin_et_al_2017","1285","1285_4",5,10,0.816,0.0189,0.0014
"217","Trettin_et_al_2017","1285","1285_4",20,25,0.831,0.0132,8e-04
"218","Trettin_et_al_2017","1285","1285_4",35,40,0.598,0.0129,0.001
"219","Trettin_et_al_2017","1285","1285_4",70,75,0.812,0.0113,9e-04
"220","Trettin_et_al_2017","1285","1285_4",145,150,1.025,0.011,8e-04
"221","Trettin_et_al_2017","1285","1285_5",5,10,0.758,0.0149,0.0013
"222","Trettin_et_al_2017","1285","1285_5",20,25,0.829,0.0132,0.0011
"223","Trettin_et_al_2017","1285","1285_5",35,40,0.787,0.0142,0.0012
"224","Trettin_et_al_2017","1285","1285_5",70,75,0.633,0.0159,0.0012
"225","Trettin_et_al_2017","13","13_1",5,10,0.526,0.0463,0.0016
"226","Trettin_et_al_2017","13","13_1",35,40,0.544,0.05,0.0019
"227","Trettin_et_al_2017","13","13_1",60,65,0.623,0.032,8e-04
"228","Trettin_et_al_2017","13","13_2",5,10,0.525,0.0325,0.0014
"229","Trettin_et_al_2017","13","13_2",15,20,0.571,0.0278,0.0022
"230","Trettin_et_al_2017","13","13_2",35,40,0.574,0.0364,0.0017
"231","Trettin_et_al_2017","13","13_2",60,65,0.475,0.0354,0.0018
"232","Trettin_et_al_2017","13","13_2",145,150,0.866,0.0195,0.0012
"233","Trettin_et_al_2017","13","13_3",15,20,0.545,0.0384,0.0024
"234","Trettin_et_al_2017","13","13_3",20,25,0.454,0.0397,0.0015
"235","Trettin_et_al_2017","13","13_3",35,40,0.584,0.0466,0.0014
"236","Trettin_et_al_2017","13","13_3",60,65,0.516,0.0428,0.0015
"237","Trettin_et_al_2017","13","13_3",145,150,1.209,0.0279,0.0011
"238","Trettin_et_al_2017","13","13_3",190,195,0.378,0.0024,2e-04
"239","Trettin_et_al_2017","13","13_4",5,10,0.589,0.0404,0.003
"240","Trettin_et_al_2017","13","13_4",21,26,0.836,0.0322,0.0019
"241","Trettin_et_al_2017","13","13_4",31,36,0.427,0.0323,0.0018
"242","Trettin_et_al_2017","13","13_4",70,75,0.78,0.0328,0.0019
"243","Trettin_et_al_2017","13","13_4",145,150,0.673,0.0265,0.0016
"244","Trettin_et_al_2017","13","13_4",170,175,0.646,0.0236,0.0016
"245","Trettin_et_al_2017","13","13_5",5,10,0.516,0.0211,0.0015
"246","Trettin_et_al_2017","13","13_5",20,25,0.906,0.0195,0.001
"247","Trettin_et_al_2017","13","13_5",35,40,0.582,0.0234,0.0014
"248","Trettin_et_al_2017","13","13_5",70,75,0.513,0.0325,8e-04
"249","Trettin_et_al_2017","13","13_6",5,10,0.917,0.0195,0.0014
"250","Trettin_et_al_2017","13","13_6",20,25,0.753,0.023,0.0014
"251","Trettin_et_al_2017","13","13_6",35,40,0.57,0.0218,5e-04
"252","Trettin_et_al_2017","13","13_6",70,75,0.698,0.0243,0.0012
"253","Trettin_et_al_2017","1305","1305_1",12,17,0.86,0.0222,0.0017
"254","Trettin_et_al_2017","1305","1305_1",20,25,0.936,0.0197,0.0016
"255","Trettin_et_al_2017","1305","1305_1",35,40,1.125,0.0244,0.0018
"256","Trettin_et_al_2017","1305","1305_1",70,75,0.771,0.0183,0.0012
"257","Trettin_et_al_2017","1305","1305_4",8,13,0.909,0.0186,0.0014
"258","Trettin_et_al_2017","1305","1305_4",20,25,0.894,0.0131,9e-04
"259","Trettin_et_al_2017","1305","1305_4",35,40,1,0.0116,9e-04
"260","Trettin_et_al_2017","1314","1314_1",12,17,0.695,0.0167,0.0013
"261","Trettin_et_al_2017","1314","1314_1",20,25,0.899,0.0152,0.0011
"262","Trettin_et_al_2017","1314","1314_1",35,40,0.711,0.0172,0.0011
"263","Trettin_et_al_2017","1314","1314_1",70,75,0.736,0.0229,0.0014
"264","Trettin_et_al_2017","1314","1314_1",145,150,0.635,0.0244,0.0013
"265","Trettin_et_al_2017","1314","1314_1",190,195,0.694,0.0191,0.0013
"266","Trettin_et_al_2017","1314","1314_2",5,10,0.665,0.0218,0.0017
"267","Trettin_et_al_2017","1314","1314_2",20,25,0.684,0.0169,0.0014
"268","Trettin_et_al_2017","1314","1314_2",35,40,0.713,0.0182,0.0012
"269","Trettin_et_al_2017","1314","1314_2",70,75,0.685,0.035,0.0021
"270","Trettin_et_al_2017","1314","1314_2",145,150,0.622,0.044,0.0017
"271","Trettin_et_al_2017","1314","1314_2",181,186,0.526,0.0236,0.0016
"272","Trettin_et_al_2017","1314","1314_3",5,10,0.723,0.0154,0.0012
"273","Trettin_et_al_2017","1314","1314_3",20,25,0.782,0.0137,0.001
"274","Trettin_et_al_2017","1314","1314_3",35,40,0.777,0.013,9e-04
"275","Trettin_et_al_2017","1314","1314_3",70,75,0.741,0.0198,0.0012
"276","Trettin_et_al_2017","1314","1314_3",145,150,0.687,0.0198,0.0013
"277","Trettin_et_al_2017","1314","1314_3",190,195,0.749,0.015,0.0011
"278","Trettin_et_al_2017","1314","1314_4",5,10,0.638,0.0277,0.0016
"279","Trettin_et_al_2017","1314","1314_4",20,25,0.628,0.0239,0.0014
"280","Trettin_et_al_2017","1314","1314_4",35,40,0.556,0.0281,0.0015
"281","Trettin_et_al_2017","1314","1314_4",70,75,0.777,0.0195,0.0011
"282","Trettin_et_al_2017","1314","1314_4",145,150,0.799,0.0163,0.0011
"283","Trettin_et_al_2017","1314","1314_4",179,184,0.713,0.0159,0.0011
"284","Trettin_et_al_2017","1314","1314_5",5,10,0.678,0.0162,0.0013
"285","Trettin_et_al_2017","1314","1314_5",20,25,0.641,0.0203,0.0013
"286","Trettin_et_al_2017","1314","1314_5",35,40,0.614,0.0208,0.0013
"287","Trettin_et_al_2017","1314","1314_5",70,75,0.674,0.0226,0.0015
"288","Trettin_et_al_2017","1314","1314_5",145,150,0.743,0.0194,0.0013
"289","Trettin_et_al_2017","1314","1314_5",190,195,0.78,0.018,0.0012
"290","Trettin_et_al_2017","1317","1317_1",5,10,0.631,0.0257,0.002
"291","Trettin_et_al_2017","1317","1317_1",23,28,0.823,0.0256,0.0018
"292","Trettin_et_al_2017","1317","1317_1",35,40,0.769,0.0232,0.0016
"293","Trettin_et_al_2017","1317","1317_1",70,75,1.212,0.0014,1e-04
"294","Trettin_et_al_2017","1317","1317_2",5,10,0.687,0.0223,0.0018
"295","Trettin_et_al_2017","1317","1317_2",23,28,0.664,0.024,0.0016
"296","Trettin_et_al_2017","1317","1317_2",35,40,0.708,0.0253,0.0017
"297","Trettin_et_al_2017","1317","1317_2",70,75,1.038,0.0058,4e-04
"298","Trettin_et_al_2017","1317","1317_3",5,10,0.753,0.0303,0.0021
"299","Trettin_et_al_2017","1317","1317_3",20,25,0.806,0.0209,0.0013
"300","Trettin_et_al_2017","1317","1317_3",35,40,0.964,0.0181,0.0011
"301","Trettin_et_al_2017","1317","1317_3",60,65,1.359,0.0244,0.0016
"302","Trettin_et_al_2017","1317","1317_4",5,10,0.758,0.0272,0.002
"303","Trettin_et_al_2017","1317","1317_4",20,25,0.86,0.02,0.0014
"304","Trettin_et_al_2017","1317","1317_4",35,40,1.447,0.0063,5e-04
"305","Trettin_et_al_2017","1317","1317_4",45,50,1.43,0.0014,1e-04
"306","Trettin_et_al_2017","1317","1317_5",5,10,0.908,0.0216,0.0016
"307","Trettin_et_al_2017","1317","1317_5",20,25,0.692,0.0194,0.0013
"308","Trettin_et_al_2017","1317","1317_5",35,40,0.698,0.0256,0.0016
"309","Trettin_et_al_2017","1317","1317_5",61,66,1.233,0.0018,2e-04
"310","Trettin_et_al_2017","1359","1359_1",5,10,0.831,0.0195,0.0014
"311","Trettin_et_al_2017","1359","1359_1",20,25,0.717,0.0172,0.0014
"312","Trettin_et_al_2017","1359","1359_1",35,40,0.733,0.0219,0.0015
"313","Trettin_et_al_2017","1359","1359_1",70,75,0.581,0.0233,0.0014
"314","Trettin_et_al_2017","1359","1359_1",145,150,0.81,0.0202,0.0014
"315","Trettin_et_al_2017","1359","1359_1",190,195,0.811,0.0117,8e-04
"316","Trettin_et_al_2017","1359","1359_2",5,10,0.749,0.0248,0.0018
"317","Trettin_et_al_2017","1359","1359_2",20,25,0.601,0.036,0.0018
"318","Trettin_et_al_2017","1359","1359_2",35,40,0.604,0.0292,0.0017
"319","Trettin_et_al_2017","1359","1359_2",64,69,0.569,0.0293,0.0018
"320","Trettin_et_al_2017","1359","1359_2",145,150,1.042,0.0204,0.0013
"321","Trettin_et_al_2017","1359","1359_2",170,175,1.004,0.0173,0.0011
"322","Trettin_et_al_2017","1359","1359_3",5,10,0.709,0.015,0.0012
"323","Trettin_et_al_2017","1359","1359_3",20,25,0.773,0.0157,0.0013
"324","Trettin_et_al_2017","1359","1359_3",35,40,0.736,0.0187,0.0014
"325","Trettin_et_al_2017","1359","1359_3",67,72,0.741,0.0233,0.0014
"326","Trettin_et_al_2017","1359","1359_3",145,150,1.129,0.0133,8e-04
"327","Trettin_et_al_2017","1359","1359_4",5,10,0.774,0.0229,0.0017
"328","Trettin_et_al_2017","1359","1359_4",20,25,0.455,0.0186,0.0016
"329","Trettin_et_al_2017","1359","1359_4",50,55,0.911,0.0257,0.0016
"330","Trettin_et_al_2017","1359","1359_4",70,75,0.672,0.0269,0.0017
"331","Trettin_et_al_2017","1359","1359_4",145,150,0.696,0.023,0.0017
"332","Trettin_et_al_2017","1359","1359_4",190,195,0.784,0.0212,0.0016
"333","Trettin_et_al_2017","1359","1359_5",5,10,0.65,0.0231,0.0017
"334","Trettin_et_al_2017","1359","1359_5",20,25,0.722,0.0205,0.0015
"335","Trettin_et_al_2017","1359","1359_5",35,40,0.792,0.0191,0.0014
"336","Trettin_et_al_2017","1359","1359_5",65,70,0.704,0.0203,0.0015
"337","Trettin_et_al_2017","1359","1359_5",150,155,0.728,0.0212,0.0014
"338","Trettin_et_al_2017","1361","1361_1",5,10,0.837,0.024,0.0023
"339","Trettin_et_al_2017","1361","1361_1",20,25,1.22,0.0187,0.0014
"340","Trettin_et_al_2017","1361","1361_1",35,40,0.835,0.0185,0.0013
"341","Trettin_et_al_2017","1361","1361_1",70,75,0.823,0.025,0.0011
"342","Trettin_et_al_2017","1361","1361_1",145,150,0.693,0.0211,0.0014
