study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,c14_age,c14_age_se,c14_material,c14_notes,fraction_modern,fraction_modern_se,delta_c14,delta_c14_se,am241_activity,am241_activity_se
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,9,10,BOL13-01_10,1.4978,0.05107491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,10,11,BOL13-01_11,1.4507,0.078513821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,11,12,BOL13-01_12,1.5795,0.078822412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,12,13,BOL13-01_13,1.2147,0.123075657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,13,14,BOL13-01_14,0.8345,0.069263032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,14,15,BOL13-01_15,1.1486,0.058506007,1.77,1.55,NA,NA,41,10.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,15,16,BOL13-01_16,1.3661,0.049557133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,16,17,BOL13-01_17,1.6452,0.098346706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,17,18,BOL13-01_18,1.7079,0.038643949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,18,19,BOL13-01_19,1.781,0.101852892,0.2,1.34,NA,NA,23.12,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,19,20,BOL13-01_20,1.3396,0.056285458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,20,21,BOL13-01_21,1.4451,0.0760501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,21,22,BOL13-01_22,0.6638,0.162850256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,22,23,BOL13-01_23,0.8579,0.108987061,5.14,1.51,NA,NA,36.66,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,23,24,BOL13-01_24,0.6497,0.140526397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,24,25,BOL13-01_25,0.8835,0.105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,25,26,BOL13-01_26,0.4983,0.159743127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,26,27,BOL13-01_27,0.3523,0.165200114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,27,28,BOL13-01_28,0.8512,0.115014098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,28,29,BOL13-01_29,0.4784,0.175376254,4.26,1.91,NA,NA,44,12.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,29,30,BOL13-01_30,0.5345,0.199251637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,30,31,BOL13-01_31,0.5573,0.16472277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,31,32,BOL13-01_32,0.5097,0.195605258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,32,33,BOL13-01_33,0.6473,0.149080797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,33,34,BOL13-01_34,0.5313,0.11895351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,34,35,BOL13-01_35,1.0019,0.098313205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,35,36,BOL13-01_36,0.5334,0.186726659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,36,37,BOL13-01_37,0.6748,0.12966805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,37,38,BOL13-01_38,0.7268,0.106081453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,38,39,BOL13-01_39,0.2472,0.417071197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,39,40,BOL13-01_40,0.8871,0.1649194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,40,41,BOL13-01_41,0.4998,0.139855942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,41,42,BOL13-01_42,0.5899,0.115951856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,42,43,BOL13-01_43,0.5386,0.092276272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,43,44,BOL13-01_44,0.8565,0.087098657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,44,45,BOL13-01_45,0.9726,0.085749537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,46,47,BOL13-01_47,0.9974,0.091537999,NA,NA,NA,NA,NA,NA,NA,NA,160,25,terrestrial,BOL13-01 47cm,0.9805,0.0026,-19.5,2.6,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,47,48,BOL13-01_48,0.7385,0.109140149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,48,49,BOL13-01_49,1.0194,0.106925643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,49,50,BOL13-01_50,0.787,0.132147395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,50,51,BOL13-01_51,0.5881,0.10678456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,51,52,BOL13-01_52,1.0509,0.06889333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,52,53,BOL13-01_53,0.4582,0.1488433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,53,54,BOL13-01_54,0.9445,0.080465855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,54,55,BOL13-01_55,1.9092,0.058034779,NA,NA,NA,NA,NA,NA,NA,NA,130,20,terrestrial,BOL13-01 55,0.9837,0.002,-16.3,2,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,55,56,BOL13-01_56,1.0127,0.057766367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,56,57,BOL13-01_57,1.3369,0.050714339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,57,58,BOL13-01_58,1.3608,0.046516755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,58,59,BOL13-01_59,1.2731,0.038960019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,59,60,BOL13-01_60,1.6059,0.036490442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,60,61,BOL13-01_61,1.1687,0.052622572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,61,62,BOL13-01_62,1.2165,0.046280312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,62,63,BOL13-01_63,1.2295,0.04701098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,63,64,BOL13-01_64,1.3555,0.055772778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,64,65,BOL13-01_65,1.2656,0.07119153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,65,66,BOL13-01_66,0.9137,0.050344752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,66,67,BOL13-01_67,1.1345,0.047421772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,67,68,BOL13-01_68,1.377,0.051125635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,68,69,BOL13-01_69,1.5908,0.049911994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,69,70,BOL13-01_70,1.0696,0.054412865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,70,71,BOL13-01_71,1.1283,0.04883453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,71,72,BOL13-01_72,1.7939,0.051061932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,72,73,BOL13-01_73,1.925,0.044571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,73,74,BOL13-01_74,0.7528,0.049017003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,74,75,BOL13-01_75,1.2366,0.042859453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,75,76,BOL13-01_76,1.5115,0.041217334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,76,77,BOL13-01_77,1.5967,0.039644266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,77,78,BOL13-01_78,1.0939,0.049547491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,78,79,BOL13-01_79,1.2702,0.048732483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,79,80,BOL13-01_80,1.22,0.050081967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,80,81,BOL13-01_81,1.3669,0.055307630000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,81,82,BOL13-01_82,1.5829,0.043211826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,82,83,BOL13-01_83,1.4874,0.04336426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,83,84,BOL13-01_84,1.3962,0.043331901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,84,85,BOL13-01_85,0.9823,0.050493739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,85,86,BOL13-01_86,1.6098,0.045533607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,86,87,BOL13-01_87,1.4228,0.053626652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,87,88,BOL13-01_88,1.5704,0.046739684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,88,89,BOL13-01_89,1.3426,0.043423209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,89,90,BOL13-01_90,0.88,0.044772727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,90,91,BOL13-01_91,1.1049,0.051407367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,91,92,BOL13-01_92,1.0895,0.041211565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,92,93,BOL13-01_93,1.2938,0.034085639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,93,94,BOL13-01_94,1.1421,0.033359601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,94,95,BOL13-01_95,1.3993,0.036160938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,95,96,BOL13-01_96,1.015,0.037438424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,96,97,BOL13-01_97,1.0303,0.033582452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,97,98,BOL13-01_98,1.1082,0.029417073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,98,99,BOL13-01_99,0.8523,0.040478705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,140,141,BOL13-01_141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,20,marine,BOL13-01 141cm,0.9037,0.002,-96.3,2,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,0,1,BOL13-02_1,0.3048,0.338582677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,1,2,BOL13-02_2,0.3691,0.319154701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,2,3,BOL13-02_3,0.43120000000000003,0.251391466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,3,4,BOL13-02_4,0.6759,0.138629975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,4,5,BOL13-02_5,0.9607,0.09097533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,5,6,BOL13-02_6,1.0574,0.087762436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,6,7,BOL13-02_7,1.1103,0.07160227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,7,8,BOL13-02_8,0.8542,0.128892531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,8,9,BOL13-02_9,0.7654,0.145414163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,9,10,BOL13-02_10,0.7994,0.136477358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,10,11,BOL13-02_11,0.7803,0.13699859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,11,12,BOL13-02_12,1.0131,0.126147468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,12,13,BOL13-02_13,0.9356,0.106028217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,13,14,BOL13-02_14,1.0206,0.08063884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,14,15,BOL13-02_15,1.2119,0.06328905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,15,16,BOL13-02_16,1.0968,0.076495259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,16,17,BOL13-02_17,0.452,0.188495575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,17,18,BOL13-02_18,0.4469,0.276795704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,18,19,BOL13-02_19,0.5667,0.172401623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,19,20,BOL13-02_20,0.4626,0.188067445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,20,21,BOL13-02_21,0.4914,0.139397639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,21,22,BOL13-02_22,0.738,0.095799458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,22,23,BOL13-02_23,0.5332,0.142348087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,23,24,BOL13-02_24,0.4374,0.196616369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,24,25,BOL13-02_25,0.4207,0.18706917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,25,26,BOL13-02_26,0.5907,0.140172677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
