study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,vegetation_class,vegetation_method,inundation_class,core_length_flag,carbon_stock_kg_per_m2,fraction_organic_matter_mean,dry_bulk_density_mean,cs137_depth_med,cs137_depth_age_max,cs137_depth_age_min,plum_accretion_rate_yr_cm_mean,plum_accretion_rate_yr_cm_se,plum_accretion_rate_yr_cm_upper_CI,plum_accretion_rate_yr_cm_lower_CI,carbon_accumulation_rate_gC_m2_year_mean,carbon_accumulation_rate_gC_m2_year_se,carbon_accumulation_rate_gC_m2_year_upper_CI,carbon_accumulation_rate_gC_m2_year_lower_CI
Brown_et_al_2026,Morro,MOB13-09,2013,3,1,35.3471,-120.8325,handheld,NA,NA,NA,NA,saline,emergent,measurement,high,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-10,2013,3,1,35.3426,-120.8392,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,28.490878838800796,0.09019313349484535,0.937538144329897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-11,2013,3,1,35.3418,-120.8409,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River High,MRH14-01,2014,7,15,40.873017,-124.151013,handheld,2.14143,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River High,MRH14-02,2014,7,15,40.872803,-124.150885,handheld,NA,NA,NA,NA,saline,emergent,measurement,high,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL13-01,2013,7,24,40.8638,-124.1508667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL13-03,2013,7,24,40.8638,-124.1508667,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL14-04,2014,7,15,40.8622778,-124.1537222,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL14-05,2014,7,15,40.8622778,-124.1537222,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL14-06,2014,7,15,40.8622778,-124.1537222,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL14-10,2014,7,15,40.86382,-124.15084,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mad River Low,MRL16-12,2016,6,18,40.8629,-124.1489333,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,2.7665138577099335,0.42027616986281174,3.6719193981481473,2.017097848684211,120.5422346069244,18.034261159457262,160.49641521696563,88.32538543523002
Brown_et_al_2026,Mad River Low,MRL16-13,2016,6,18,40.8628333,-124.1491,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Petaluma,PTL15-01,2015,7,10,38.1945278,-122.55325,handheld,1.80263,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,31.84848256863964,0.20661851786597937,0.3647721649484536,7.5,1872,1996.090909090909,2.9881258110282376,0.5138013917620726,4.158037187499999,2.17401759,120.24717120170212,18.882209171422375,158.43985382673273,85.82521336572349
Brown_et_al_2026,Petaluma,PTL15-02,2015,6,10,38.1670278,-122.5513333,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Petaluma,PTL16-02,2016,6,16,38.1670278,-122.5513333,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Petaluma,PTL16-03,2016,6,16,38.1689,-122.5510333,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,34.998092440962694,0.28054115979,0.354397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB14-01,2014,2,22,33.7331,-118.0828,handheld,1.2478,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,31.345938065478375,0.15926043502061857,0.448659793814433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB14-02,2014,2,22,33.73328333,-118.0826,handheld,1.26412,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,37.05764223025623,0.18663815546,0.515374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB14-04,2014,2,22,33.73368333,-118.0676167,handheld,1.29191,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB14-05,2014,2,22,33.73433333,-118.0705,handheld,1.28947,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,30.278066897656508,0.17261933776000002,0.618696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-06,2015,11,5,33.73495,-118.0837,handheld,1.22084,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,22.782908893346672,0.10826963738,0.6171490000000001,25.5,1934.4,1981.451612903226,2.6697429703768045,0.39723528753154935,3.514224557291667,1.9671433822916664,102.28977572947908,15.472255514499787,135.77336754797767,76.00131234518393
Brown_et_al_2026,Seal Beach,SB15-08,2015,11,5,33.73475,-118.0831333,handheld,1.15726,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,21.68380634648539,0.08984712477999998,0.6979752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-09,2015,11,5,33.7359167,-118.0822667,handheld,1.28494,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,30.922862151204235,0.20215332159999996,0.43267500000000003,25.5,1934.4,1981.451612903226,2.752484351531928,0.4235059010417064,3.6560480000000006,1.990340378125,125.50616519987568,19.70264189193168,169.48788351868953,92.26864029720296
Brown_et_al_2026,Seal Beach,SB15-10,2015,11,5,33.7355667,-118.0824,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-11,2015,11,5,33.7351833,-118.0826667,handheld,1.22911,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,46.724351412592824,0.16807632672,0.562603,NA,NA,NA,3.118167685428241,0.567180145076364,4.32300606422925,2.153018052083333,96.9773258979642,17.750267971215145,135.90484288252242,67.93278747776712
Brown_et_al_2026,Seal Beach,SB15-14,2015,11,12,33.73672,-118.0776,handheld,1.32902,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,36.62461007745641,0.26682128076530615,0.373334693877551,NA,NA,NA,2.98963074363479,0.5913170780173176,4.2748297125,1.9662991125,128.49338388172916,25.80230603421933,187.9168497133582,86.43636274947382
Brown_et_al_2026,Seal Beach,SB15-16,2015,11,12,33.73655,-118.07844,handheld,1.29344,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,34.10717204830288,0.2675409307113402,0.36637113402061855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-18,2015,11,12,33.73624,-118.0787,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-19,2015,11,20,33.7359,-118.0785833,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Seal Beach,SB15-20,2015,11,20,33.73545,-118.0785333,handheld,1.29438,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,29.116080620358904,0.19319435479591837,0.38811428571428574,NA,NA,NA,2.985638195656959,0.5414530146723895,4.1432426,2.01772177375,84.98885250147978,15.928415371136804,121.63831922391556,59.236764063315285
Brown_et_al_2026,Seal Beach,SB15-21,2015,11,20,33.7356,-118.07954,handheld,1.34452,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,NA,emergent,measurement,NA,not specified,26.693125042968283,0.15380481073958333,0.5133760416666667,15.5,1932.6666666666667,1982.157894736842,3.0490633232299413,0.560012167893466,4.2429776,2.0411040325000003,82.548912248799,15.981893138388996,119.0995041745072,57.29336825509112
Brown_et_al_2026,Seal Beach,SB15-23,2015,11,20,33.73609,-118.07856,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-01,2012,9,6,32.5733,-117.1291,handheld,1.40111,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,21.757770581525968,0.10138386853608247,0.5397711340206186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-02,2012,9,6,32.5733,-117.1291,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-03,2012,9,6,32.5741,-117.1288,handheld,NA,NA,NA,NA,saline,emergent,measurement,mid,not specified,19.000850071830246,0.06716420903409091,1.2478806818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-04,2012,9,6,32.5741,-117.1288,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-06,2012,9,6,32.5747,-117.1288,handheld,1.60381,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,18.741164658460814,0.03794159088764045,1.803458426966292,5,1938.5,1979.3333333333333,4.146081740757052,0.9018171318512984,6.245325109374997,2.6867032212499993,39.17844864396938,8.331590785703765,58.010688636951805,23.98474665945579
Brown_et_al_2026,Tijuana,TJE12-07,2012,9,6,32.5752,-117.1283,handheld,1.35991,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,34.4465886983669,0.12635412885858588,0.6800040404040404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Tijuana,TJE12-08,2012,9,6,32.5752,-117.1283,handheld,1.35991,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,44.65502336300361,0.14517437554166668,0.6896104166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Triangle,TRM16-01,2016,6,14,37.4577167,-121.9769667,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,20.165982918349354,0.0790640197,0.58377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Triangle,TRM16-02,2016,6,14,37.4582667,-121.97655,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,26.68117101357181,0.09944594565,0.6296080000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Triangle,TRM16-03,2016,6,14,37.45895,-121.9760167,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,24.378635159500018,0.08843097614141414,0.6414565656565656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Triangle,TRM16-04,2016,6,14,37.4587667,-121.97975,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,20.04126229876689,0.07344268185858586,0.6430676767676767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB13-01,2013,2,6,33.6518,-117.8836,handheld,1.50907,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,24.052530927176306,0.09005901208421054,0.8287334736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB13-02,2013,2,6,33.6515,-117.8835,handheld,1.44568,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,21.420757034696223,0.07398226217171718,0.933759595959596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB13-03,2013,2,6,33.6512,-117.8811,handheld,1.4791,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high-mid,not specified,17.47762461559881,0.06703491339175258,0.8403237113402062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB13-04,2014,2,21,33.65,-117.8822,handheld,1.48861,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,22.156883441078822,0.07723903918181818,0.9348232323232323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB14-05,2014,2,21,33.64835,-117.8846833,handheld,1.31156,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,17.66371778240128,0.07300628735051547,0.6972824742268041,NA,NA,NA,2.865174280637792,0.4842827496819187,3.96966365,2.0519701171052627,62.10217370462021,9.761274508872534,83.49346133160884,43.4106366859792
Brown_et_al_2026,Upper Newport,UNB14-06,2014,2,21,33.64838333,-117.8847667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB14-07,2014,2,21,33.65158333,-117.88115,handheld,1.54597,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,19.346667632549455,0.08119611024,0.6728169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Upper Newport,UNB14-08,2014,2,21,33.65165,-117.8814,handheld,1.57011,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,20.303355843705656,0.07589801568686869,0.7090636363636363,NA,NA,NA,2.7908597003708633,0.6695725198062541,4.257074582812499,1.6556353890625002,93.8743824044046,23.292583813300023,149.3820665669356,58.0967597644668
Brown_et_al_2026,White Slough,WTS16-01,2016,6,19,40.7041167,-124.2161667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,28.947334176046073,0.1477002597979798,0.48199393939393936,19.5,1939.8125,1979.1304347826087,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,White Slough,WTS16-02,2016,6,19,40.7040167,-124.2159167,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,26.77827485657608,0.1265944350612245,0.5087663265306123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,White Slough,WTS17-03,2017,7,1,40.70428,-124.21486,other low resolution,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,30.02147572890295,0.15979145537,0.503736,NA,NA,NA,3.122332714206263,0.4622660038212946,4.121616208333332,2.3121957375,118.80034401206824,15.42582633916243,152.0191818364412,90.9107300470095
