Site ID,Date Collected,Depth Interval Code,Bulk Densisty,Percent Organic Matter,Percent TN,Percent TC,137Cs,137Cs error,210Pb total,210Pb supported,210Pb unsupported,210Pb unsupported error
171,20160628,20,0.33,11.2659,0.5539,10.02,0.49,0.058,18.791,1.076,17.715,0.42
171,20160628,21,0.3,23.6622,0.5051,9.291,0.311,0.07,25.722,1.242,24.48,1.092
172,20160621,1,0.15,22.4421,0.6841,7.188,0.247,0.081,48.358,46.845,1.513,1.206
172,20160621,2,0.22,21.493,0.6475,6.971,0.257,0.068,36.139,34.905,1.234,0.884
172,20160621,3,0.28,18.0315,0.5476,6.404,0.331,0.057,41.749,40.327,1.421,0.897
172,20160621,4,0.25,24.2861,0.5913,8.29,0.293,0.066,37.13,35.673,1.456,0.871
172,20160621,5,0.29,17.0855,0.4615,5.672,0.336,0.066,30.243,28.797,1.447,0.796
172,20160621,6,0.32,15.6161,0.4562,5.64,0.279,0.058,29.623,28.305,1.318,0.737
172,20160621,7,0.4,14.6337,0.3764,4.528,0.312,0.052,26.245,24.577,1.669,0.668
172,20160621,8,0.62,8.7385,0.1836,1.794,0.233,0.059,22.453,20.89,1.563,1.086
172,20160621,9,0.41,9.6202,0.2184,2.269,0.22,0.058,29.352,27.922,1.43,0.708
172,20160621,10,0.35,11.4702,0.2633,2.921,0.122,0.061,28.929,27.694,1.235,0.721
172,20160621,11,0.28,17.4909,0.4741,5.804,0.418,0.06,21.932,20.671,1.261,0.449
172,20160621,12,0.33,17.2894,0.4223,5.113,0.378,0.063,31.378,30.275,1.104,0.819
172,20160621,13,0.34,16.5726,0.4374,5.413,0.305,0.066,32.854,31.683,1.171,0.813
172,20160621,14,0.32,19.3838,0.4454,6.053,0.427,0.064,29.246,28.171,1.075,0.76
172,20160621,15,0.28,17.1375,0.41,5.064,0.373,0.059,30.182,28.918,1.264,0.742
172,20160621,16,0.32,15.4899,0.3901,4.743,0.379,0.058,29.612,28.34,1.271,0.705
172,20160621,17,0.32,15.8004,0.369,4.861,0.458,0.078,21.342,19.993,1.349,0.49
172,20160621,18,0.31,15.596,0.3659,4.789,0.301,0.062,29.075,27.76,1.316,0.705
172,20160621,19,0.38,15.3061,0.3603,4.857,0.457,0.073,27.946,26.313,1.632,0.774
172,20160621,20,0.33,15.1935,0.3501,4.713,0.44,0.063,30.131,29.001,1.13,0.793
172,20160621,21,0.4,12.5337,0.3029,4.225,0.39,0.06,28.306,26.912,1.394,0.725
172,20160621,22,0.42,12.7942,0.2593,3.345,0.387,0.065,19.931,18.722,1.209,0.465
172,20160621,23,0.45,13.2274,0.3255,4.249,0.368,0.055,18.535,17.279,1.255,0.405
173,20160621,1,0.05,31.0205,0.9889,11.92,0,0,14.238,0.891,13.347,0.74
173,20160621,2,0.15,30.291,0.9449,11.51,0.04,0.054,12.095,0.925,11.17,0.488
173,20160621,3,0.17,26.6408,0.7883,8.928,0.259,0.056,12.214,1.053,11.161,0.449
173,20160621,4,0.22,23.4595,0.7612,9.451,0.228,0.055,12.5,1.126,11.374,0.445
173,20160621,5,0.23,22.9899,0.7376,8.947,0.043,0.045,10.355,0.843,9.512,0.408
173,20160621,6,0.22,25.981,0.7498,10.3,0.239,0.065,7.957,1.101,6.856,0.435
173,20160621,7,0.21,25.0275,0.7033,9.906,0.134,0.051,6.065,1.219,4.846,0.408
173,20160621,8,0.26,22.768,0.6196,8.578,0.242,0.051,6.355,0.871,5.484,0.351
173,20160621,9,0.21,24.8511,0.7282,10.67,0.036,0.05,5.719,0.96,4.76,0.345
173,20160621,10,0.15,38.2257,1.198,16.44,0.507,0.07,7.056,0.757,6.299,0.411
173,20160621,11,0.14,39.4305,1.119,15.85,0.935,0.093,8.484,1.182,7.303,0.451
173,20160621,12,0.19,30.8387,1.021,11.77,1.122,0.083,7.983,0.94,7.043,0.423
173,20160621,13,0.17,34.5685,1.077,13.71,1.292,0.077,7.533,0.642,6.892,0.435
173,20160621,14,0.18,36.5139,1.154,14.73,1.389,0.098,7.496,0,7.496,0.468
173,20160621,15,0.16,33.8661,0.9542,13.3,2.02,0.116,4.86,1.042,3.818,0.382
173,20160621,16,0.17,32.1578,0.874,12.74,2.695,0.136,5.297,0,5.297,0.524
173,20160621,17,0.14,44.4056,1.311,19.12,2.615,0.137,7.601,0.924,6.677,0.537
173,20160621,18,0.14,44.6564,1.004,17.64,1.821,0.113,6.36,1.389,4.972,0.428
175,20160531,1,0.26,21.3434,0.6233,8.045,0.344,0.068,36.425,1.673,34.753,0.877
175,20160531,2,0.35,18.9268,0.5728,7.254,0.209,0.061,35.372,1.768,33.604,0.839
175,20160531,3,0.31,19.3469,0.5554,7.162,0.286,0.065,35.02,1.732,33.288,0.845
175,20160531,4,0.34,17.6126,0.5553,7.012,0.219,0.063,21.042,1.584,19.458,0.467
175,20160531,5,0.36,17.429,0.4905,6.361,0.248,0.073,24.464,1.769,22.695,0.541
175,20160531,6,0.4,17.6156,0.4556,6.757,0.222,0.058,30.086,1.985,28.101,0.726
175,20160531,7,0.68,7.1222,0.1971,1.964,0.211,0.055,19.629,1.88,17.749,0.424
175,20160531,8,0.49,13.0249,0.3892,4.738,0.107,0.057,19.507,1.753,17.754,0.424
175,20160531,9,0.46,12.2524,0.3129,3.801,0.241,0.067,20.761,1.648,19.113,0.458
175,20160531,10,0.4,15.655,0.4064,4.907,0.394,0.074,23.248,2.004,21.244,0.518
175,20160531,11,0.59,9.4711,0.2118,1.984,0.265,0.068,32.418,1.661,30.756,0.797
175,20160531,12,0.43,13.5853,0.3677,4.445,0.172,0.069,22.695,1.816,20.879,0.503
175,20160531,13,0.35,15.438,0.4619,5.044,0.374,0.069,29.693,1.646,28.047,0.776
175,20160531,14,0.41,15.5622,0.4029,4.789,0.299,0.059,29.803,1.551,28.252,0.746
175,20160531,15,0.34,15.0686,0.4122,5.432,0.17,0.069,23.606,1.622,21.983,0.497
175,20160531,16,0.33,18.107,0.4605,6.166,0.36,0.062,29.429,1.794,27.635,0.729
175,20160531,17,0.41,15.4774,0.4037,5.292,0.368,0.062,30.88,1.706,29.174,0.742
175,20160531,18,0.4,14.6497,0.4113,5.245,0.498,0.066,23.947,1.803,22.144,0.527
175,20160531,19,0.38,17.8329,0.4542,6.622,0.52,0.067,21.485,1.695,19.791,0.467
175,20160531,20,0.42,14.6133,0.4086,5.369,0.539,0.063,27.963,1.984,25.979,0.701
175,20160531,21,0.43,15.5695,0.4141,5.741,0.593,0.073,32.5,1.821,30.679,0.793
175,20160531,22,0.46,6.8776,0.4138,5.665,0.552,0.064,30.453,1.819,28.634,0.715
189,20160511,1,0.05,21.4222,2.899,43.13,0.156,0,16.919,0.429,16.49,1.192
189,20160511,2,0.05,86.7988,2.815,43.85,0.162,0,16.735,0.608,16.127,1.441
189,20160511,3,0.06,93.199,2.071,44.54,0.386,0,17.166,0.729,16.438,1.333
189,20160511,4,0.06,94.4843,2.618,47.43,0.19,0,16.719,0.443,16.275,2.002
189,20160511,5,0.05,92.9392,2.934,46.48,0.052,0,4.916,0.866,4.05,1.278
189,20160511,6,0.04,93.2536,2.681,45.81,0.306,0,10.619,0.51,10.109,1.088
189,20160511,7,0.06,92.1481,3.142,46.87,0.067,0,9.342,0.715,8.627,1.363
189,20160511,8,0.06,93.7656,3.025,47.41,0.4,0,15.018,0.325,14.692,1.258
189,20160511,9,0.06,93.1041,3.047,47.54,0.577,0,8.028,0.805,7.224,2.046
189,20160511,10,0.06,94.6211,2.762,49.25,0.125,0,9.068,0.712,8.356,1.358
189,20160511,11,0.05,95.9469,3.133,49,0.176,0,13.879,0.404,13.475,1.401
189,20160511,12,0.07,94.0197,3.093,48.57,0.5,0.168,16.166,0.537,15.629,1.188
189,20160511,13,0.07,93.6348,2.853,49.59,0.826,0.156,11.575,0.38,11.195,0.996
189,20160511,14,0.06,92.491,2.891,45.93,2.225,0.242,2.601,0.444,2.157,0.224
189,20160511,15,0.08,91.2604,2.914,45.91,4.914,0.272,9.198,0.255,8.943,0.971
189,20160511,16,0.07,88.104,2.477,45.1,8.557,0.315,9.523,0.704,8.82,0.956
189,20160511,17,0.09,88.2142,2.398,43.14,5.609,0.289,6.293,0.19,6.103,0.945
189,20160511,18,0.07,87.7757,2.303,45.64,6.39,0.29,6.62,0.364,6.256,0.835
189,20160511,19,0.11,66.078,1.979,32.9,5.978,0.236,5.519,0.251,5.268,0.691
189,20160511,20,0.1,51.5064,1.592,25.25,3.713,0.179,3.545,0.521,3.024,0.539
192,20160525,1,0.01,52.5675,1.467,23.34,0.783,0,14.937,1.849,13.089,1.341
192,20160525,2,0.16,33.9634,1.17,14.64,0.564,0.134,13.691,1.511,12.18,0.936
192,20160525,3,0.26,28.0048,1.057,12.48,0.673,0.103,12.975,1.487,11.488,0.669
192,20160525,4,0.23,28.5529,1.047,11.84,0.844,0.1,13.308,1.753,11.555,0.594
192,20160525,5,0.3,29.2192,1.115,12.26,1.311,0.097,11.949,1.389,10.56,0.524
192,20160525,6,0.24,33.174,1.317,14.4,2.346,0.115,12.508,1.606,10.902,0.502
192,20160525,7,0.26,31.5392,1.22,13.36,3.471,0.124,9.891,1.423,8.468,0.453
192,20160525,8,0.28,29.3558,1.052,12.16,4.103,0.131,6.855,1.445,5.41,0.353
192,20160525,9,0.28,28.045,1.019,12.2,3.918,0.133,6.257,1.685,4.572,0.363
192,20160525,10,0.28,31.3138,1.097,14.74,2.818,0.118,5.185,1.405,3.779,0.327
192,20160525,11,0.26,32.429,0.9568,12.11,1.77,0.105,5.331,1.352,3.978,0.357
192,20160525,12,0.29,33.9711,1.136,15.93,1.123,0.091,3.402,1.224,2.178,0.276
192,20160525,13,0.31,34.6386,1.065,16.71,0.533,0.062,3.803,1.805,1.999,0.212
192,20160525,14,0.47,19.1394,0.4887,7,0.285,0.045,2.727,1.669,1.059,0.133
192,20160525,15,0.47,19.6446,0.507,7.091,0.038,0,2.855,1.973,0.882,0.116
192,20160525,16,0.51,15.4776,0.3249,3.837,0.086,0.042,3.915,1.53,2.385,0.221
192,20160525,17,0.31,14.4886,0.3115,3.497,0.125,0,3.459,1.694,1.765,0.181
192,20160525,18,0.45,17.806,0.4531,5.838,0.038,0,3.508,1.683,1.824,0.159
192,20160525,19,0.44,18.396,0.4932,6.382,0,0,3.479,1.804,1.675,0.163
192,20160525,20,0.43,18.4813,0.4839,6.146,0,0,3.25,1.772,1.478,0.155
192,20160525,21,0.48,16.9864,0.4725,5.979,0,0,3.206,1.722,1.484,0.156
192,20160525,22,0.44,15.8699,0.4078,5.133,0.05,0.03,3.659,1.787,1.872,0.175
209,20160421,1,0.12,35.087,1.01,13.86,0.076,0.05,13.391,1.068,12.323,0.51
209,20160421,2,0.24,23.7334,0.7152,8.956,0.109,0.037,11.233,1.405,9.828,0.434
209,20160421,3,0.39,12.3049,0.3111,3.53,0.086,0.033,13.093,1.487,11.606,0.647
209,20160421,4,0.25,28.4137,0.8606,11.75,0.145,0.04,11.474,1.13,10.344,0.441
209,20160421,5,0.36,17.8564,0.5387,7.122,0.131,0.043,17.093,1.365,15.728,0.832
209,20160421,6,0.31,25.0548,0,0.028,0.374,0.05,8.586,1.233,7.352,0.396
209,20160421,7,0.27,30.1074,0.7345,10.98,0.134,0.054,6.572,1.087,5.485,0.382
209,20160421,8,0.2,33.8963,0.8663,12.96,0.22,0.045,7.828,1.267,6.561,0.359
209,20160421,9,0.23,23.3657,0.5755,7.732,0.173,0.036,7.893,1.237,6.656,0.364
209,20160421,10,0.21,30.0189,0.8912,12.84,0.315,0.051,9.669,0.994,8.674,0.447
209,20160421,11,0.23,33.7406,1,14.48,0.279,0.051,11.298,0.882,10.415,0.406
209,20160421,12,0.2,34.7293,0.9877,14.99,0.445,0.061,11.489,0.771,10.718,0.489
209,20160421,13,0.19,38.3695,1.016,15.71,0.42,0.062,11.277,0.86,10.417,0.523
209,20160421,14,0.18,43.1669,1.263,18.4,0.411,0.067,11.727,0.586,11.141,0.543
209,20160421,15,0.16,39.9148,1.175,17.55,0.436,0.066,11.546,0.757,10.789,0.55
209,20160421,16,0.16,37.8767,1.098,15.74,0.502,0.068,10.656,0.726,9.929,0.508
209,20160421,17,0.15,42.0529,1.244,17.94,0.732,0.071,8.118,0.819,7.299,0.459
209,20160421,18,0.2,33.989,1.046,14.85,0.59,0.064,6.79,0.94,5.85,0.388
209,20160421,19,0.18,35.2806,1.044,14.69,0.613,0.06,7.471,0.754,6.717,0.416
209,20160421,20,0.15,44.2048,1.298,18.97,0.916,0.074,8.31,0.699,7.611,0.455
209,20160421,21,0.13,46.9593,1.344,20.01,1.225,0.076,8.047,0.902,7.144,0.418
209,20160421,22,0.14,42.6824,1.327,18.66,1.517,0.098,8.201,0.62,7.58,0.501
209,20160421,23,0.29,21.0652,0.6412,9.401,1.95,0.085,5.091,1.116,3.976,0.334
209,20160421,24,0.21,31.3816,0.9335,13.65,3.662,0.11,5.54,0.875,4.665,0.357
211,20160525,1,0.1,28.2839,0.9532,11.3,0.099,0.211,12.643,1.408,11.235,1.293
211,20160525,2,0.09,32.4349,1.069,12.55,0.516,0.076,15.02,1.574,13.446,0.556
211,20160525,3,0.09,30.0219,1.082,12.17,0.61,0.076,13.877,1.46,12.418,0.556
211,20160525,4,0.1,33.0885,1.132,13.6,0.416,0.086,12.593,1.297,11.296,0.573
211,20160525,5,0.14,35.8234,1.327,16.55,0.435,0.087,13.994,1.237,12.757,0.601
211,20160525,6,0.08,40.3016,1.401,18.12,0.475,0.07,14.031,1.219,12.812,0.558
211,20160525,7,0.13,38.528,1.511,17.71,0.558,0.087,13.724,1.418,12.306,0.586
211,20160525,8,0.08,52.2684,1.648,21.46,0.326,0.124,13.284,1.041,12.243,0.827
211,20160525,9,0.12,48.6449,1.707,22.54,0.497,0.096,10.684,0.888,9.796,0.621
211,20160525,10,0.11,51.0997,1.756,23.79,0.513,0.106,9.343,1.036,8.307,0.56
211,20160525,11,0.1,52.1016,1.739,24.25,0.885,0.113,9.749,1.09,8.659,0.63
211,20160525,12,0.14,50.7079,1.724,24.57,0.811,0.109,7.89,1.152,6.737,0.543
211,20160525,13,0.14,48.0389,1.6,22.08,1.895,0.096,7.536,1.35,6.186,0.361
211,20160525,14,0.15,36.9431,1.304,17.16,3.082,0.126,8.277,1.312,6.965,0.338
211,20160525,15,0.12,46.6972,1.585,21.8,4.304,0.16,8.648,1.695,6.953,0.482
211,20160525,16,0.12,43.5908,1.494,20.56,5.148,0.181,6.027,1.062,4.965,0.362
211,20160525,17,0.1,57.1429,1.714,27.49,5.043,0.191,7.264,0.902,6.361,0.537
211,20160525,18,0.12,51.8324,1.558,23.78,5.438,0.257,7.149,0.761,6.389,0.867
224,20160420,1,0.19,24.1427,0.6611,9.285,0.221,0.045,23.596,1.6,21.996,0.931
224,20160420,2,0.36,21.1317,0.6505,9.186,0.236,0.043,9.821,1.454,8.367,0.381
224,20160420,3,0.5,11.142,0.2914,3.623,0.146,0.042,7.26,1.615,5.644,0.314
224,20160420,4,0.58,9.0972,0.2098,2.068,0.137,0.039,5.956,1.419,4.537,0.29
224,20160420,5,0.28,23.7005,0.5989,9.028,0.259,0.046,7.384,1.343,6.04,0.361
224,20160420,6,0.31,19.6985,0.4836,7.057,0.158,0.04,7.949,1.338,6.611,0.353
224,20160420,7,0.26,28.371,0.7057,11.6,0.279,0.051,9.592,1.097,8.495,0.425
224,20160420,8,0.24,28.2207,0.7209,11.93,0.442,0.057,9.647,0.898,8.749,0.456
224,20160420,9,0.2,30.3175,0.7738,12.27,0.359,0.066,10.521,1.069,9.452,0.481
224,20160420,10,0.19,34.6801,0.8554,13.98,0.527,0.065,11.442,0.877,10.565,0.524
224,20160420,11,0.21,33.0756,0.835,13.43,0.659,0.074,10.931,0.999,9.931,0.508
224,20160420,12,0.2,37.409,0.8447,14.54,0.816,0.069,6.986,1.023,5.963,0.389
224,20160420,13,0.22,27.8898,0.7178,12.15,1.193,0.064,8.137,1.123,7.014,0.374
224,20160420,14,0.24,26.6488,0.6299,10.37,1.402,0.071,7.544,1.186,6.358,0.358
224,20160420,15,0.66,10.5394,0.2025,2.861,0.436,0.049,4.041,1.673,2.367,0.215
224,20160420,16,0.77,4.836,0.1149,1.298,0.403,0.042,3.547,1.503,2.043,0.189
224,20160420,17,0.23,36.6913,0.8099,13.68,1.931,0.086,5.419,1.082,4.337,0.352
224,20160420,18,0.15,42.2077,1,16.72,1.347,0.078,5.067,1.013,4.054,0.335
224,20160420,19,0.25,33.2011,0.7962,13.16,0.504,0.063,4.947,0.762,4.186,0.375
224,20160420,20,0.33,25.4966,0.3874,6.49,2.992,0.109,4.802,1.078,3.724,0.35
224,20160420,21,0.2,44.9589,1.051,18.58,0.701,0.064,4.957,0.902,4.056,0.344
224,20160420,22,0.15,53.7958,0.956,20.08,0.41,0.056,3.523,0.978,2.545,0.296
225,20160421,1,0.19,37.531,1.008,13.58,0.309,0.051,8.82,1.248,7.572,0.431
225,20160421,2,0.27,23.828,0.5858,8.504,0.338,0.05,9.307,1.332,7.975,0.643
225,20160421,3,0.28,26.1354,0.581,9.326,0.205,0.051,4.964,1.377,3.587,0.304
225,20160421,4,0.27,30.2625,0.9097,13.57,0.389,0.056,7.266,1.244,6.022,0.368
225,20160421,5,0.24,32.182,0.9427,13.8,0.513,0.065,8.106,1.121,6.985,0.405
225,20160421,6,0.21,34.7744,0.9816,14.71,0.554,0.069,9.313,1.046,8.266,0.443
225,20160421,7,0.19,37.1138,1.143,16.85,0.659,0.071,9.988,1.018,8.97,0.465
225,20160421,8,0.19,37.3971,1.091,15.5,0.705,0.078,9.428,1.006,8.421,0.461
225,20160421,9,0.16,35.8643,1.164,15.67,0.791,0.074,11.526,1.069,10.456,0.492
225,20160421,10,0.17,35.8077,1.093,14.05,0.783,0.075,11.579,1.046,10.533,0.481
225,20160421,11,0.12,46.7598,1.265,18.08,0.898,0.083,10.01,0.984,9.026,0.516
225,20160421,12,0.14,37.3315,1.068,14.86,0.903,0.088,9.348,1.069,8.279,0.507
225,20160421,13,0.18,36.5822,1.134,15.35,1.081,0.071,8.512,1.066,7.446,0.779
225,20160421,14,0.19,38.8063,1.08,15.3,1.065,0.077,9.078,0.962,8.116,0.418
225,20160421,15,0.16,37.3864,1.119,15.98,1.563,0.093,10.429,1.2,9.228,0.495
225,20160421,16,0.13,48.4353,1.362,21.24,1.463,0.105,7.846,0.856,6.989,0.524
225,20160421,17,0.11,61.4232,1.469,25.65,3.451,0.145,7.334,0.837,6.497,0.519
225,20160421,18,0.11,57.0451,1.543,24.28,5.774,0.188,7.304,0.799,6.505,0.525
225,20160421,19,0.13,48.3926,1.358,21.39,1.064,0.098,4.403,0.785,3.617,0.274
225,20160421,20,0.11,60.3873,1.965,28.76,2.209,0.124,6.562,0.783,5.779,0.486
237,20160420,1,0.19,21.9488,0.5011,7.487,0.027,0.037,9.778,0.972,8.806,0.472
237,20160420,2,0.37,13.3694,0.3473,5.054,0.13,0.038,6.96,1.203,5.757,0.339
237,20160420,3,0.4,14.5923,0.3133,4.343,0.056,0.033,8.423,1.066,7.357,0.384
237,20160420,4,0.64,17.5866,0.4895,7.426,0.22,0.049,7.606,1.11,6.496,0.388
237,20160420,5,0.32,16.753,0.4632,6.516,0.331,0.055,9.07,1.126,7.944,0.426
237,20160420,6,0.28,26.7877,0.6463,10.6,0.157,0.078,9.694,0.663,9.032,0.577
237,20160420,7,0.18,36.2472,0.9132,15.81,0.416,0.071,7.977,0.833,7.145,0.482
237,20160420,8,0.17,32.5269,0.8817,15.53,0.324,0.066,8.936,0.855,8.081,0.505
237,20160420,9,0.17,37.9734,0.8146,17.85,0.532,0.067,9.316,0.764,8.552,0.489
237,20160420,10,0.18,30.9066,0.8149,16.61,1.02,0.079,7.034,0.882,6.152,0.417
237,20160420,11,0.16,31.553,0.8383,15.24,0.862,0.076,7.065,0.763,6.302,0.416
237,20160420,12,0.15,30.9316,0.7389,14.32,0.937,0.084,6.866,0.941,5.925,0.44
237,20160420,13,0.36,13.3581,0.3461,5.337,0.678,0.072,5.389,1.038,4.351,0.38
237,20160420,14,0.53,12.7932,0.2058,2.542,0.985,0.064,3.827,1.362,2.465,0.22
237,20160420,15,0.17,33.4661,0.934,15.56,3.01,0.137,5.768,0.774,4.994,0.423
237,20160420,16,0.17,37.9331,1.072,19.68,1.121,0.087,4.825,0.689,4.136,0.396
237,20160420,17,0.13,45.4261,1.238,22.8,0.304,0,5.971,0.614,5.357,0.443
237,20160420,18,0.15,40.2104,1.113,20.03,0.056,0.046,10.844,0.832,10.011,0.815
237,20160420,19,0.15,41.8286,1.049,21.15,0.043,0,4.072,0.606,3.466,0.381
237,20160420,20,0.23,30.6601,0.6973,13.81,0.069,0,3.7,0.686,3.014,0.332
237,20160420,21,0.35,19.1273,0.4061,7.231,0.05,0,2.933,1.143,1.791,0.24
237,20160420,22,0.2,35.9459,0.9929,20.58,0.021,0,2.964,0.839,2.125,0.166
237,20160420,23,0.16,45.8631,1.238,25.31,0.017,0,3.003,0.485,2.518,0.356
253,20160420,1,0.13,31.0102,0.8015,11.23,0.21,0.057,10.531,1.172,9.359,0.535
253,20160420,2,0.28,18.4072,0.4684,6.727,0.17,0.038,7.673,1.506,6.168,0.349
253,20160420,3,0.3,21.0938,0.6169,9.04,0.275,0.051,11.03,1.502,9.528,0.439
253,20160420,4,0.26,24.9303,0.7361,11.93,0.281,0.054,10.11,1.486,8.624,0.452
253,20160420,5,0.27,24.1916,0.7545,11.28,0.444,0.059,9.388,1.179,8.209,0.438
253,20160420,6,0.3,23.411,0.7088,10.86,0.343,0.039,7.978,1.249,6.729,0.341
253,20160420,7,0.23,21.3247,0.6427,9.23,0.256,0.041,7.837,1.443,6.394,0.36
253,20160420,8,0.23,27.0061,0.7451,11.56,0.373,0.053,9.911,1.327,8.585,0.396
253,20160420,9,0.18,33.4432,0.89,14.12,0.395,0.073,12.78,1.156,11.625,0.558
253,20160420,10,0.22,28.6497,0.9079,14.43,0.427,0.064,12.042,1.081,10.961,0.52
253,20160420,11,0.25,25.0522,0.8136,11.92,0.4,0.051,9.478,1.215,8.263,0.439
253,20160420,12,0.21,31.0348,0.9118,14.33,0.35,0.045,8.527,1.014,7.512,0.395
253,20160420,13,0.19,31.8875,0.9294,15.07,0.43,0.051,9.019,0.978,8.041,0.403
253,20160420,14,0.2,25.784,0.7826,11.52,0.333,0.046,8.06,1.07,6.989,0.371
253,20160420,15,0.18,25.5644,0.8039,11.65,0.512,0.057,11.182,1.226,9.957,0.431
253,20160420,16,0.19,25.9292,0.7854,11.76,0.38,0.056,19.233,1.155,18.078,0.992
253,20160420,17,0.19,25.176,0.7537,10.94,0.529,0.067,11.015,1.113,9.901,0.506
253,20160420,18,0.18,24.4803,0.7411,10.6,0.74,0.071,9.417,1.136,8.281,0.476
253,20160420,19,0.19,27.6058,0.7767,11.62,0.979,0.08,10.031,1.192,8.84,0.512
253,20160420,20,0.2,25.7734,0.7559,11.23,1.238,0.079,9.547,1.039,8.508,0.461
253,20160420,21,0.16,24.8033,0.682,10.2,1.701,0.087,8.717,1.277,7.44,0.418
261,20160622,1,0.1,38.4799,1.341,16.28,0.576,0.074,14.297,1.265,13.032,0.563
261,20160622,2,0.16,33.9257,1.423,17.66,0.659,0.066,14.255,1.399,12.856,0.525
261,20160622,3,0.21,36.5125,1.296,16.18,0.509,0.048,12.914,1.155,11.759,0.427
261,20160622,4,0.24,35.8498,1.393,17.35,0.557,0.054,14.449,1.228,13.221,0.476
261,20160622,5,0.28,31.0929,1.172,15.23,0.643,0.053,11.136,1.227,9.909,0.394
261,20160622,6,0.22,38.5113,1.379,19.01,0.54,0.053,10.582,1.495,9.087,0.396
261,20160622,7,0.27,34.0194,1.203,16.36,0.482,0.049,10.086,1.569,8.517,0.373
261,20160622,8,0.32,35.5743,0.8459,11.34,0.59,0.053,10.939,1.503,9.436,0.342
261,20160622,9,0.17,39.9901,1.476,18.11,0.606,0.062,15.015,1.683,13.332,0.499
261,20160622,10,0.17,39.6915,1.47,18.27,0.736,0.06,15.639,1.701,13.938,0.466
261,20160622,11,0.15,44.043,1.61,20.27,0.579,0.07,12.516,1.717,10.798,0.485
261,20160622,12,0.15,46.1009,1.566,20.12,0.729,0.071,13.957,1.818,12.14,0.485
261,20160622,13,0.2,37.8874,1.303,17.39,0.923,0.068,11.182,2.095,9.087,0.398
261,20160622,14,0.24,33.2077,1.162,15.44,1.007,0.067,11.287,2.308,8.979,0.381
261,20160622,15,0.22,35.4974,1.23,16.9,0.807,0.057,10.562,2.338,8.224,0.349
261,20160622,16,0.27,34.0432,1.133,15.18,0.883,0.068,10.056,2.267,7.788,0.388
261,20160622,17,0.25,31.5307,1.09,14.69,0.886,0.061,8.929,2.425,6.504,0.323
261,20160622,18,0.26,31.0675,1.076,14.82,1.179,0.063,9.01,2.288,6.723,0.326
261,20160622,19,0.32,24.3109,0.821,11.19,1.107,0.06,8.122,2.378,5.744,0.277
261,20160622,20,0.3,24.801,0.8303,11.86,1.161,0.061,6.743,2.213,4.53,0.253
261,20160622,21,0.3,23.8227,0.7517,10.03,1.104,0.056,7.428,2.281,5.146,0.266
261,20160622,22,0.27,25.0496,0.8075,10.97,1.28,0.066,7.145,2.324,4.821,0.277
261,20160622,23,0.26,28.4664,0.9327,12.81,0.177,0.009,0.891,0.271,0.62,0.034
261,20160622,24,0.25,27.0753,0.8715,11.24,2.077,0.082,8.344,2.259,6.084,0.274
261,20160622,25,0.25,28.1571,0.9492,12.49,1.963,0.081,8.655,2.391,6.263,0.33
261,20160622,26,0.29,24.2226,0.8721,11.87,2.655,0.085,8.463,2.233,6.23,0.311
