core_id,δ15N,δ13C,N %,OC %,C/N,δ13C/δ15N,g OC/gsed,g N/gsed,dbd_gsed/cc,dbd_gC/CC,Mass Depth,OM%,Porosity,LOW ,137Cs,226Ra,210Pbex,error,Age (y),Year of,Rate,Mass Acc. Rate,Carbon Acc. Rate,Total Mass Acc.,Total Carbon Acc.
MC 10-11 ,1.32,-25.11,0.96,20.4,20,-19,0.2,0.01,0.52,0.106,5.432,39.94,0.63,MC 10-11 ,N/A,44.5,41.88,60.59,8.3,1948.8,1,525.1,107.14,5207.9,1062.6
MC 11-12,1.15,-24.99,0.81,10.68,13.8,-21.7,0.11,0.008,0.52,0.056,5.954,34.87,0.54,MC 11-12,N/A,33.44,54.8,43.61,15.6,1933.2,0.9,479.81,51.27,5221.4,557.9
MC 12-13,0.95,-25.21,0.86,12.07,13.3,-26.5,0.12,0.009,0.45,0.055,6.408,30.86,0.52,MC 12-13,N/A,43.82,30.77,61.03,11.7,1921.5,0.7,309.55,37.35,4537.3,547.4
MC 13-14,0.94,-25.38,0.92,13.36,14.4,-27,0.13,0.009,0.49,0.065,6.893,38.48,0.54,MC 13-14,N/A,44.54,33.56,61.38,23.1,1898.4,0.7,317.71,42.43,4850.4,647.8
MC 14-15,0.87,-25.48,0.83,12.22,15,-29.3,0.12,0.008,0.5,0.062,7.398,39.53,0.54,MC 14-15,N/A,26.51,24.96,31.74,54.3,1844.2,0.3,167.73,20.49,5046,616.5
MC 15-16,0.87,-26.29,0.81,13.74,17.5,-30.2,0.14,0.008,0.54,0.074,7.934,31.62,0.53,MC 15-16,N/A,23.86,1.02,35.35,6.9,1837.3,0.1,70.23,9.65,5362.6,736.6
MC 16-17,-0.12,-26.35,0.4,7.28,17.5,219.6,0.07,0.004,0.59,0.043,8.528,21.47,0.52,MC 16-17,,,,,,,,,,5936.9,431.9
MC 17-18,0.13,-26.1,0.53,9.91,20,-200.8,0.1,0.005,0.58,0.058,9.111,27.58,0.55,MC 17-18,,,,,,,,,,5828.4,577.6
MC 18-19,0.08,-25.81,0.51,9.01,18,-322.6,0.09,0.005,0.54,0.049,9.653,24.56,0.57,MC 18-19,,,,,,,,,,5423.4,488.8
MC 19-20,0.65,-25.95,0.71,13.05,18.6,-39.9,0.13,0.007,0.58,0.075,10.23,34.76,0.55,MC 19-20,,,,,,,,,,5768.2,752.9
MC 20-21,0.74,-25.82,0.81,14.32,17.5,-34.9,0.14,0.008,0.49,0.07,10.722,36.58,0.62,MC 20-21,,,,,,,,,,4920.5,704.6
MC 21-22,0.85,-25.92,0.83,14.12,17.5,-30.5,0.14,0.008,0.52,0.074,11.243,37.44,0.59,MC 21-22,,,,,,,,,,5213,736.3
MC 22-23,0.62,-25.86,0.76,12.94,16.3,-41.7,0.13,0.008,0.56,0.072,11.801,37.3,0.56,MC 22-23,,,,,,,,,,5577,721.6
MC 23-24,0.48,-25.74,0.75,12.05,17.1,-53.6,0.12,0.007,0.53,0.064,12.334,32.66,0.47,MC 23-24,,,,,,,,,,5332.5,642.5
MC 24-25,0.33,-26.04,0.81,13.13,16.3,-78.9,0.13,0.008,0.49,0.064,12.823,30.42,0.57,MC 24-25,,,,,,,,,,4889.5,642.1
MC 25-26,0.28,-25.72,0.74,11.88,17.1,-91.9,0.12,0.007,0.49,0.058,13.31,30.79,0.61,MC 25-26,,,,,,,,,,4865.6,577.9
MC 26-27,-0.07,-25.45,0.64,10.53,18.3,363.6,0.11,0.006,0.49,0.051,13.796,28.38,0.56,MC 26-27,,,,,,,,,,4867.6,512.7
MC 27-28,0.06,-25.66,0.57,9.73,16.7,-427.7,0.1,0.006,0.51,0.05,14.308,26.4,0.59,MC 27-28,,,,,,,,,,5117.5,497.8
MC 28-29,0.45,-25.35,0.73,12.37,17.1,-56.3,0.12,0.007,0.52,0.064,14.826,31.29,0.58,MC 28-29,,,,,,,,,,5182,640.9
MC 29-30,0.45,-25.42,0.8,12.68,16.3,-56.5,0.13,0.008,0.53,0.067,15.359,31,0.57,MC 29-30,,,,,,,,,,5323.2,675
MC 30-31,0.11,-25.88,0.59,10.74,18.3,-235.3,0.11,0.006,0.52,0.056,15.877,28.28,0.55,MC 30-31,,,,,,,,,,5183.9,556.5
MC 31-32,0.45,-26.01,0.61,12.12,20,-57.8,0.12,0.006,0.54,0.065,16.415,35.82,0.55,MC 31-32,,,,,,,,,,5382.6,652.4
MC 32-33,0.5,-26.75,0.7,15.56,22.9,-53.5,0.16,0.007,0.53,0.083,16.95,68.96,0.59,MC 32-33,,,,,,,,,,5344.4,831.7
MC 33-34,0.65,-26.52,0.78,17.18,21.3,-40.8,0.17,0.008,0.5,0.087,17.453,45.8,0.55,MC 33-34,,,,,,,,,,5036.7,865.3
MC 34-35,0.47,-25.8,0.71,13.43,18.6,-54.9,0.13,0.007,0.51,0.069,17.965,37.28,0.55,MC 34-35,,,,,,,,,,5118.8,687.4
MC 35-36,0.13,-25.04,0.66,10.72,15.7,-192.6,0.11,0.007,0.51,0.055,18.474,31.44,0.51,MC 35-36,,,,,,,,,,5085.8,545.2
MC 36-37,0.15,-24.91,0.6,9.79,16.7,-166.1,0.1,0.006,0.53,0.052,19.004,27.89,0.62,MC 36-37,,,,,,,,,,5299.1,518.6
MC 37-38,-0.19,-25.36,0.52,9.31,18,133.5,0.09,0.005,0.55,0.051,19.551,25.49,0.54,MC 37-38,,,,,,,,,,5470.6,509.1
MC 38-39,0.12,-25.37,0.54,10.42,20,-211.4,0.1,0.005,0.54,0.056,20.09,26.45,0.54,MC 38-39,,,,,,,,,,5389.8,561.8
MC 39-40,-0.14,-25.29,0.5,9.74,20,180.6,0.1,0.005,0.54,0.053,20.632,26.65,0.55,MC 39-40,,,,,,,,,,5424.6,528.4
MC 40-41,-0.09,-24.38,0.66,13.58,20,270.9,0.14,0.007,0.49,0.066,21.12,34.6,0.73,MC 40-41,,,,,,,,,,4875.1,662.2
HE 0-1,1.79,-21.74,0.78,9.61,12.5,-12.1,0.1,0.008,0.49,0.047,0.49,23.77,0.4,HE 0-1,7.87,43.34,163.53,26.46,,,,,,4897,470.7
HE 1-2,1.33,-21.84,0.62,7.83,13.3,-16.4,0.08,0.006,0.58,0.046,1.073,20.8,0.55,HE 1-2,3.71,38.02,158.81,25.03,,,,,,5830.9,456.4
HE 2-3,0.97,-21.26,0.55,7.03,14,-21.9,0.07,0.005,0.53,0.037,1.602,19.77,0.38,HE 2-3,5.08,31.66,138.48,22.13,,,,,,5288.8,372
HE 3-4,0.86,-21.78,0.48,6,12,-25.3,0.06,0.005,0.57,0.034,2.169,18.06,0.46,HE 3-4,6.09,28.34,126.68,20.81,,,,,,5671.4,340.6
HE 4-5 ,1.07,-21.67,0.47,5.83,12,-20.3,0.06,0.005,0.57,0.033,2.735,30.82,0.5,HE 4-5 ,5.28,28.96,122.93,21.27,,,,,,5661.3,330.2
HE 5-6 ,1,-21.12,0.65,8.52,12.9,-21.1,0.09,0.007,0.6,0.051,3.338,22.62,0.56,HE 5-6 ,6.73,41.04,127.61,23.11,,,,,,6028.3,513.6
HE 6-7 ,0.8,-21.75,0.57,7.13,11.7,-27.2,0.07,0.006,0.51,0.036,3.845,29.08,0.55,HE 6-7 ,5.38,41.17,142.01,24.58,,,,,,5076.5,362.1
HE 7-8 ,0.03,-21.87,0.35,4.23,10,-729,0.04,0.004,0.68,0.029,4.522,12.59,0.49,HE 7-8 ,3.51,23.51,59.71,15.51,,,,,,6760.8,285.9
HE 8-9 ,0.62,-21.95,0.48,5.73,12,-35.4,0.06,0.005,0.56,0.032,5.08,17.39,0.53,HE 8-9 ,4.97,32.36,104.71,20.21,,,,,,5583.4,319.9
HE 9-10 ,0.96,-21.81,0.62,7.38,11.7,-22.7,0.07,0.006,0.57,0.042,5.65,25.44,0.49,HE 9-10 ,6.77,37.82,156.87,27.58,,,,,,5705.9,421.4
HE 10-11 ,0.86,-21.77,0.67,7.98,11.4,-25.3,0.08,0.007,0.55,0.044,6.198,24.28,0.53,HE 10-11 ,7.58,36.64,142.67,25.88,,,,,,5475,437
HE 11-12 ,0.95,-22.02,0.71,8.21,11.4,-23.2,0.08,0.007,0.54,0.045,6.741,23.41,0.52,HE 11-12 ,5.93,41.66,146.21,25.56,,,,,,5428.1,445.7
HE 12-13 ,1.14,-21.83,0.71,8.44,11.4,-19.1,0.08,0.007,0.57,0.048,7.306,28.83,0.57,HE 12-13 ,11.13,30.12,144.7,26.87,,,,,,5654,477.1
HE 13-14 ,1.22,-22.07,0.95,11.21,11,-18.1,0.11,0.01,0.51,0.057,7.816,30.5,0.52,HE 13-14 ,7.78,54.46,154.37,32.21,,,,,,5100.4,571.8
HE 14-15 ,1.28,-21.48,1.05,12.92,13,-16.8,0.13,0.01,0.52,0.067,8.335,35.66,0.61,HE 14-15 ,11.6,70,200.01,38.11,,,,,,5187,670.3
HE 15-16 ,1.09,-18.66,0.94,18.47,20,-17.1,0.18,0.009,0.53,0.097,8.86,37.7,0.44,HE 15-16 ,12.72,58.69,211.86,39.39,,,,,,5255.6,970.6
HE 16-17 ,1.24,-20.38,1.05,14.36,14,-16.4,0.14,0.01,0.51,0.074,9.375,36.61,0.6,HE 16-17 ,12.28,58.74,203.25,37.63,,,,,,5147.1,739
HE 17-18 ,1.35,-20.59,0.95,12.84,13,-15.3,0.13,0.01,0.49,0.063,9.867,38.25,0.52,HE 17-18 ,9.28,32.86,157.17,30.09,,,,,,4915.3,631.1
HE 18-19 ,1.41,-21.81,1.11,13.54,12.7,-15.5,0.14,0.011,0.5,0.068,10.368,39.22,0.57,HE 18-19 ,14.78,68.96,186.57,37.34,,,,,,5018.1,679.4
HE 19-20 ,0.94,-20.02,1.1,16.36,14.5,-21.3,0.16,0.011,0.51,0.083,10.878,37.69,0.57,HE 19-20 ,9.88,59.78,184.76,37.63,,,,,,5099.6,834
HE 20-21 ,1.01,-19.55,1.04,17.49,17,-19.4,0.17,0.01,0.48,0.085,11.363,38.93,0.56,HE 20-21 ,6.35,45.09,242.38,41.61,,,,,,4845.4,847.4
HE 21-22,1.52,-21.86,1.09,13.35,11.8,-14.4,0.13,0.011,0.51,0.068,11.869,38.65,0.57,HE 21-22,,,,,,,,,,5060.8,675.4
HE 22-23 ,1.29,-21.98,0.97,11.6,12,-17,0.12,0.01,0.5,0.058,12.371,39.71,0.61,HE 22-23 ,,,,,,,,,,5016.3,582.1
HE 23-24 ,1.12,-20.56,0.95,13.79,15.6,-18.4,0.14,0.009,0.49,0.067,12.856,35.21,0.56,HE 23-24 ,,,,,,,,,,4855.8,669.5
HE 24-25 ,1.24,-22.04,0.87,11.15,12.2,-17.8,0.11,0.009,0.52,0.058,13.378,33.33,0.57,HE 24-25 ,,,,,,,,,,5213.4,581.1
HE 25-26,1.25,-21.49,0.85,11.63,13.3,-17.2,0.12,0.009,0.48,0.056,13.859,33.04,0.58,HE 25-26,,,,,,,,,,4813.4,559.8
HE 26-27,1.11,-21.54,0.87,11.93,13.3,-19.4,0.12,0.009,0.5,0.06,14.363,33.53,0.52,HE 26-27,,,,,,,,,,5042.5,601.6
HE 27-28,1.01,-21.84,0.77,11.8,15,-21.6,0.12,0.008,0.52,0.062,14.885,35.88,0.61,HE 27-28,,,,,,,,,,5214.5,615.5
HE 28-29 ,1.14,-23.33,0.75,11.83,15,-20.5,0.12,0.008,0.5,0.059,15.385,36.51,0.67,HE 28-29 ,,,,,,,,,,4999.6,591.3
HE 29-30,1.01,-22.85,0.78,11.96,15,-22.6,0.12,0.008,0.47,0.057,15.859,32.93,0.5,HE 29-30,,,,,,,,,,4747.5,567.8
HE 30-31 ,0.88,-23.08,0.71,11.43,15.7,-26.2,0.11,0.007,0.47,0.054,16.329,32.23,0.63,HE 30-31 ,,,,,,,,,,4693.2,536.3
HE 31-32 ,0.9,-23.91,0.58,9.2,15,-26.6,0.09,0.006,0.53,0.049,16.863,28.9,0.57,HE 31-32 ,,,,,,,,,,5340.3,491.4
HE 32-33 ,1.28,-20.99,0.87,15.81,17.8,-16.4,0.16,0.009,0.51,0.08,17.368,39.28,0.49,HE 32-33 ,,,,,,,,,,5057.3,799.7
HE 33-34,0.97,-23.53,0.72,11.77,17.1,-24.3,0.12,0.007,0.53,0.063,17.901,32,0.6,HE 33-34,,,,,,,,,,5323.9,626.8
HI 0-1,1.05,-25.67,0.04,0.6,15,-24.4,0.006,0.0004,0.99,0.006,0.993,4.01,0.36,HI 0-1,1.94,6.78,11.54,7.73,,,,,,9931.7,59.4
HI 1-2,1.54,-26.2,0.05,0.71,14,-17,0.007,0.0005,1.04,0.007,2.03,2.81,0.37,HI 1-2,0.3,7.09,3.72,7.79,,,,,,10373.3,73.6
HI 2-3,1.47,-26.15,0.06,0.83,13.3,-17.8,0.008,0.0006,1,0.008,3.026,6.14,0.35,HI 2-3,3.58,8.64,13.38,8.17,,,,,,9951.8,82.3
HI 3-4,1.6,-26.05,0.06,0.8,13.3,-16.3,0.008,0.0006,1.14,0.009,4.169,3.13,0.41,HI 3-4,1.62,7.09,8.53,7.59,,,,,,11428.7,91.7
HI 4-5,1.97,-26.45,0.05,0.68,14,-13.4,0.007,0.0005,1.03,0.007,5.197,8.19,0.36,HI 4-5,2.09,7,-6.4,7.78,,,,,,10282.1,69.7
HI 5-6,2.24,-26.71,0.05,0.7,14,-11.9,0.007,0.0005,0.99,0.007,6.189,4.55,0.37,HI 5-6,2.68,7.3,2.69,8.08,,,,,,9920.2,69.5
HI 6-7,2.21,-26.04,0.05,0.71,14,-11.8,0.007,0.0005,1.01,0.007,7.202,5.62,0.37,HI 6-7,3.13,7.22,14.82,7.98,,,,,,10130.8,72.2
HI 7-8,2.6,-25.94,0.05,0.81,16,-10,0.008,0.0005,1,0.008,8.198,3.47,0.34,HI 7-8,4.98,5.38,10.58,8.35,,,,,,9965.9,80.4
HI 8-9,3.25,-26.12,0.06,1.03,16.7,-8,0.01,0.0006,1.01,0.01,9.209,3.55,0.4,HI 8-9,2.94,11.09,11.61,8.2,,,,,,10108.4,103.9
HI 9-10,2.99,-25.95,0.05,0.72,14,-8.7,0.007,0.0005,0.99,0.007,10.2,2.94,0.34,HI 9-10,4.23,5.34,21.77,8.76,,,,,,9903.4,71.6
HI 10-11,2.86,-25.71,0.04,0.58,15,-9,0.006,0.0004,1.11,0.006,11.312,3.32,0.36,HI 10-11,6.77,7.78,-4.66,8.23,,,,,,11122.7,65
HI 11-12,2.5,-25.64,0.04,0.51,12.5,-10.3,0.005,0.0004,1.09,0.006,12.406,3.86,0.33,HI 11-12,3.41,10.55,-8.48,8.76,,,,,,10937.9,55.6
HI 12-13,2.89,-25.8,0.04,0.64,15,-8.9,0.006,0.0004,1.1,0.007,13.504,3.32,0.36,HI 12-13,6.14,8.17,10.52,8.64,,,,,,10979.6,70.7
HI 13-14,2.64,-25.95,0.03,0.57,20,-9.8,0.006,0.0003,1.15,0.007,14.657,3.15,0.34,HI 13-14,1.08,5.95,7.71,7.79,,,,,,11536.9,65.8
HI 14-15,2.98,-25.01,0.03,0.48,16.7,-8.4,0.005,0.0003,1.12,0.005,15.781,2.38,0.31,HI 14-15,3,7.71,4.02,7.12,,,,,,11235,54.2
HI 15-16,2.41,-24.91,0.04,0.55,12.5,-10.3,0.005,0.0004,1.19,0.007,16.967,2.23,0.36,HI 15-16,N/A,N/A,N/A,N/A,,,,,,11858.4,64.9
HI 16-17,2.35,-24.95,0.04,0.54,12.5,-10.6,0.005,0.0004,1.21,0.007,18.173,2.5,0.35,HI 16-17,2.58,7.88,18.26,8.39,,,,,,12063.9,64.6
HI 17-18,1.89,-24.84,0.03,0.51,16.7,-13.1,0.005,0.0003,1.24,0.006,19.415,2.01,0.35,HI 17-18,N/A,N/A,N/A,N/A,,,,,,12415,63.2
HI 18-19,2.16,-24.64,0.03,0.52,16.7,-11.4,0.005,0.0003,1.1,0.006,20.51,2.03,0.29,HI 18-19,3.14,7.97,10.96,7.59,,,,,,10956,56.9
HI 19-20,2.38,-24.04,0.03,0.49,16.7,-10.1,0.005,0.0003,1.29,0.006,21.804,2.07,0.34,HI 19-20,N/A,N/A,N/A,N/A,,,,,,12942.5,63.3
HI 20-21,2.53,-23.37,0.03,0.44,13.3,-9.2,0.004,0.0003,1.23,0.005,23.033,2.33,0.33,HI 20-21,3.39,7.28,1.53,7.38,,,,,,12287.7,54.1
HI 21-22,2.82,-23.66,0.03,0.48,16.7,-8.4,0.005,0.0003,1.11,0.005,24.141,2.13,0.29,HI 21-22,N/A,N/A,N/A,N/A,,,,,,11080.8,52.9
HI 22-23,2.32,-23.68,0.03,0.47,16.7,-10.2,0.005,0.0003,1.33,0.006,25.473,1.95,0.35,HI 22-23,2.42,7.78,0.77,7.47,,,,,,13313.3,62.3
HI 23-24,2.59,-23.91,0.03,0.43,13.3,-9.2,0.004,0.0003,1.22,0.005,26.689,1.93,0.31,HI 23-24,N/A,N/A,N/A,N/A,,,,,,12161.8,51.8
HI 24-25,2.12,-23.99,0.03,0.45,13.3,-11.3,0.004,0.0003,1.34,0.006,28.026,1.95,0.35,HI 24-25,2.41,8.28,-2.15,7.4,,,,,,13373.1,59.7
HI 25-26,2.48,-23.3,0.03,0.4,13.3,-9.4,0.004,0.0003,1.27,0.005,29.294,1.92,0.33,HI 25-26,N/A,N/A,N/A,N/A,,,,,,12677.8,50.4
HI 26-27,1.96,-23.68,0.03,0.51,16.7,-12.1,0.005,0.0003,1.26,0.006,30.552,2.05,0.34,HI 26-27,2.83,8.68,0.97,7.55,,,,,,12578.3,63.8
HI 27-28,2.03,-23.76,0.04,0.59,15,-11.7,0.006,0.0004,1.16,0.007,31.708,1.7,0.29,HI 27-28,N/A,N/A,N/A,N/A,,,,,,11567.8,68.7
HI 28-29,2.37,-23.62,0.03,0.44,13.3,-10,0.004,0.0003,1.33,0.006,33.039,1.8,0.34,HI 28-29,1.12,7.8,3.08,7.74,,,,,,13305.2,58.5
HI 29-30,2.27,-22.88,0.02,0.35,15,-10.1,0.003,0.0002,1.2,0.004,34.239,1.63,0.29,HI 29-30,N/A,N/A,N/A,N/A,,,,,,11998.3,41.8
HI 30-31,2.13,-23.1,0.03,0.43,13.3,-10.8,0.004,0.0003,1.36,0.006,35.599,1.79,0.33,HI 30-31,1.62,10.83,3.66,7.37,,,,,,13606.5,59.2
HI 31-32,2.1,-22.48,0.02,0.37,20,-10.7,0.004,0.0002,1.31,0.005,36.909,1.84,0.3,HI 31-32,N/A,N/A,N/A,N/A,,,,,,13090.3,48.7
HI 32-33,1.29,-22.85,0.02,0.37,20,-17.7,0.004,0.0002,1.32,0.005,38.227,1.72,0.31,HI 32-33,1.19,7.79,9.81,8.02,,,,,,13187.1,48.3
HI 33-34,1.4,-23.05,0.02,0.33,15,-16.5,0.003,0.0002,1.4,0.005,39.627,1.75,0.33,HI 33-34,,,,,,,,,,13993.1,46.4
