study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,keywords,issn,abstract,article-number
Okeefe-Suttles_et_al_2021_FL,Okeefe-Suttles_et_al_2021_FL_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from mangrove and salt marsh ecosystems in Tampa Bay, Florida, 2015",Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Kevin D Kroeger,NA,10.5066/P9QB17H2,https://www.sciencebase.gov/catalog/item/60bfb8a4d34e86b938916d6f,2021,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geochemistry, FOS: Earth and related environmental sciences",NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2019_article,associated source,Article,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,NA,NA,2019,NA,Wiley Online Library,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2020_data,primary dataset,Misc,Dataset: Carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Antonio Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,10.25573/serc.11421063,NA,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McClellan_et_al_2021,McClellan_et_al_2021_data,primary dataset,Misc,Data for: Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan,NA,10.17632/5ZBV2MB5ZP.1,https://data.mendeley.com/datasets/5zbv2mb5zp/1,2021,NA,Mendeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecological Engineering, Coastal Restoration, Carbon Storage, Soil Organic Carbon Dynamics, Freshwater Marshes, Salt Marsh",NA,NA,NA
McClellan_et_al_2021,McClellan_et_al_2021_article,associated source,Article,Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan and Tracy Elsey-Quirk and Edward A. Laws and Ronald D. DeLaune,NA,https://doi.org/10.1016/j.ecoleng.2021.106326,https://www.sciencedirect.com/science/article/pii/S0925857421001816,2021,NA,NA,169,NA,106326,Ecological Engineering,NA,NA,NA,NA,NA,"Labile carbon, Refractory carbon, Chenier Plain, Wax Lake Delta, Blue carbon, Coastal marsh restoration",0925-8574,"Coastal marshes have among the highest rates of soil carbon accumulation of any ecosystem on Earth, yet they are increasingly being lost due to high rates of relative sea-level rise, changes to their hydrology, and other natural and anthropogenic factors. To mitigate some of this wetland loss, restoration strategies in Louisiana have been focused on creating marshes using dredge spoil and diverting river flow into deteriorating wetland basins. Here, we aimed to compare these two different restoration approaches in terms of the development of soil carbon and nitrogen within the root zone (top 30 cm) by examining two chronosequences of newly formed marshes that span 32- and 25-year timeframes—one of which was a series of brackish, created marshes in the Chenier Plain (Sabine; marsh creation), and the other, a series of deltaic, tidal, freshwater marshes in the currently prograding Wax Lake Delta (WLD; sediment diversion). We also assessed the vegetation coverage and the relative chemical stability of the soil organic carbon and nitrogen (refractory versus labile) that has accumulated across these restoration sites. We observed that vegetation coverage initially increased more rapidly in the Sabine marshes, but it was similar to that in the WLD marshes by ~30 years post-establishment. Whereas the soil carbon pool reached similar quantities between the two chronosequences, it increased nearly twice as fast on average in WLD versus Sabine. The density of soil nitrogen closely tracked soil carbon in WLD, but it remained uniform across the Sabine marshes. Refractory soil carbon accounted for 59 ± 12% of the total soil carbon, and the refractory carbon pool increased at a rate that was similar between both chronosequences, despite the characteristic differences in salinity, nutrient input, plant species composition, and mineral sedimentation rates. Overall, our results suggest that marshes formed from sediment diversions in Louisiana have the potential to rival or outpace marshes created using dredge sediment in terms of vegetation and soil organic matter development.",NA
Hill_and_Anisfeld_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015_article,synthesis source,Article,Coastal wetland response to sea level rise in Connecticut and New York,Troy D. Hill and Shimon C. Anisfeld,NA,10.1016/j.ecss.2015.06.004,https://doi.org/10.1016/j.ecss.2015.06.004,2015,sep,Elsevier {BV},163,NA,185--193,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Piazza_et_al_2011_misc,synthesis source,Misc,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,Sarai C. Piazza and Gregory D. Steyer and Kari F. Cretini and Charles E. Sasser and Jenneke M. Visser and Guerry O. Holm and Leigh A. Sharp and D. Elaine Evers and John R. Meriwether,NA,10.3133/ofr20111094,https://doi.org/10.3133/ofr20111094,2011,NA,{US} Geological Survey,NA,NA,i--126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2019_data,primary dataset,Misc,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,NA,10.25573/DATA.9695918.V1,https://smithsonian.figshare.com/articles/Mangroves_marching_northward_the_impacts_of_rising_seas_and_temperatures_on_ecosystems_at_Kennedy_Space_Center/9695918/1,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2015_article,associated source,Article,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,NA,10.1007/s12237-015-9993-8,https://doi.org/10.1007/s12237-015-9993-8,2015,may,Springer Science and Business Media {LLC},39,2,385--396,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020,White_et_al_2020_data,primary dataset,Misc,"Biogeochemical properties of sediment cores from Barataria Basin, Louisiana, 2018 and 2019",John R. White and Yadav Sapkota and Lisa G. Chambers and Robert L. Cook and Zuo Xue,NA,10.26008/1912/BCO-DMO.833824.1,https://hdl.handle.net/1912/26484,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2019_data,primary dataset,Misc,Dataset: Carbon sequestration and sediment accretion in San Francisco Bay tidal wetlands,John C. Callaway and {Evyan L. Borgnis} and {R. Eugene Turner} and Charles S. Milan,NA,10.25573/DATA.9693251,https://smithsonian.figshare.com/articles/Dataset_Carbon_sequestration_and_sediment_accretion_in_San_Francisco_Bay_tidal_wetlands/9693251,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,2012,jun,Springer Science and Business Media {LLC},35,5,1163--1181,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burden_et_al_2018,Burden_et_al_2018_data,primary dataset,Misc,"Soil biochemical measurements from salt marshes of different ages on the Essex coast, UK (2011)",A. Burden and A. Garbutt and S. Hughes and S. Oakley and J.A. Tempest,NA,10.5285/0B1FAAB4-3539-457F-9169-B0B1FBD59BC2,https://catalogue.ceh.ac.uk/id/0b1faab4-3539-457f-9169-b0b1fbd59bc2,2018,NA,NERC Environmental Information Data Centre,NA,NA,NA,NA,This resource is made available under the terms of the Open Government Licence,NA,NA,NA,en,"Carbon, Blue Carbon, Restoration, Salt marsh, Coastal Wetland",NA,NA,NA
Burden_et_al_2018,Burden_et_al_2019_article,associated source,Article,Effect of restoration on saltmarsh carbon accumulation in Eastern England,A. Burden and A. Garbutt and C. D. Evans,NA,10.1098/rsbl.2018.0773,https://doi.org/10.1098/rsbl.2018.0773,2019,jan,The Royal Society,15,1,20180773,Biology Letters,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,Unger_et_al_2016_article,synthesis source,Article,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,NA,10.1016/j.ecss.2016.10.001,https://doi.org/10.1016/j.ecss.2016.10.001,2016,dec,Elsevier {BV},182,NA,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",NA,NA,NA
Arriola_and_Cable_2017,Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,2017,sep,Wiley,62,S1,S15--S28,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,Arias-Ortiz_et_al_2021_data,primary dataset,Misc,"{Dataset: Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion}",Ariane Arias-Ortiz and Pere Masqué and Adina Paytan and Dennis D. Baldocchi,NA,10.25573/serc.15127743.v2,https://smithsonian.figshare.com/articles/dataset/Dataset_Tidal_and_nontidal_marsh_restoration_a_trade-off_between_carbon_sequestration_methane_emissions_and_soil_accretion/15127743,2021,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,Arias-Ortiz_et_al_2021_article,associated source,Article,"Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion",Ariane Arias-Ortiz and Patty Y. Oikawa and Joseph Carlin and Pere Masqué and Julie Shahan and Sadie Kanneg and Adina Paytan and Dennis D. Baldocchi,NA,10.1029/2021JG006573,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021JG006573,2021,NA,NA,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,"wetland restoration, soil carbon, eddy covariance, methane, carbon sequestration, San Francisco Bay-Delta",NA,NA,NA
Abbott_et_al_2019,Abbott_et_al_2019_data,primary dataset,Misc,Dataset: Factors influencing blue carbon accumulation across a 32‐year chronosequence of created coastal marshes,Katherine M Abbott and Tracy Quirk and Ronald D. Delaune,NA,10.25573/DATA.10005215,https://smithsonian.figshare.com/articles/Dataset_Factors_influencing_blue_carbon_accumulation_across_a_32_year_chronosequence_of_created_coastal_marshes/10005215,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",NA,NA,NA
Abbott_et_al_2019,Abbott_et_al_2019_article,associated source,Article,Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,Katherine M. Abbott and Tracy Elsey-Quirk and Ronald D. DeLaune,NA,10.1002/ecs2.2828,https://doi.org/10.1002/ecs2.2828,2019,aug,Wiley,10,8,NA,Ecosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA
