study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Dontis_et_al_2020,Dichanthelium,species,1,6,cm,0.411,Radabaugh et al. 2017,0.039,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5.5,cm,0.411,Radabaugh et al. 2017,0.045,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8.5,cm,0.411,Radabaugh et al. 2017,0.14,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,6,cm,0.411,Radabaugh et al. 2017,0.031,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9,cm,0.411,Radabaugh et al. 2017,0.18,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5,cm,0.411,Radabaugh et al. 2017,0.031,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,2.5,cm,0.411,Radabaugh et al. 2017,0.012,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7,cm,0.411,Radabaugh et al. 2017,0.043,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,6.5,cm,0.411,Radabaugh et al. 2017,0.055,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,3.5,cm,0.411,Radabaugh et al. 2017,0.013,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,11.5,cm,0.411,Radabaugh et al. 2017,0.188,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9,cm,0.411,Radabaugh et al. 2017,0.311,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7,cm,0.411,Radabaugh et al. 2017,0.074,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,36,cm,0.411,Radabaugh et al. 2017,0.401,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,14.5,cm,0.411,Radabaugh et al. 2017,0.055,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,22,cm,0.411,Radabaugh et al. 2017,0.212,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,21.5,cm,0.411,Radabaugh et al. 2017,0.179,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,25,cm,0.411,Radabaugh et al. 2017,0.224,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,19.5,cm,0.411,Radabaugh et al. 2017,0.092,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,32,cm,0.411,Radabaugh et al. 2017,0.304,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,25,cm,0.411,Radabaugh et al. 2017,0.199,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,22,cm,0.411,Radabaugh et al. 2017,0.136,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,22,cm,0.411,Radabaugh et al. 2017,0.146,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,27.5,cm,0.411,Radabaugh et al. 2017,0.265,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,21,cm,0.411,Radabaugh et al. 2017,0.119,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,10.5,cm,0.411,Radabaugh et al. 2017,0.046,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,25.5,cm,0.411,Radabaugh et al. 2017,0.201,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,23,cm,0.411,Radabaugh et al. 2017,0.136,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,27,cm,0.411,Radabaugh et al. 2017,0.216,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,23.5,cm,0.411,Radabaugh et al. 2017,0.214,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,14.5,cm,0.411,Radabaugh et al. 2017,0.123,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,16,cm,0.411,Radabaugh et al. 2017,0.119,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,32,cm,0.411,Radabaugh et al. 2017,0.303,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,21,cm,0.411,Radabaugh et al. 2017,0.132,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,16,cm,0.411,Radabaugh et al. 2017,0.123,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,12,cm,0.411,Radabaugh et al. 2017,0.094,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,33,cm,0.411,Radabaugh et al. 2017,0.451,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,29,cm,0.411,Radabaugh et al. 2017,0.237,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,25,cm,0.411,Radabaugh et al. 2017,0.139,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,22,cm,0.411,Radabaugh et al. 2017,0.123,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,30,cm,0.411,Radabaugh et al. 2017,0.253,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,20,cm,0.411,Radabaugh et al. 2017,0.132,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,13.5,cm,0.411,Radabaugh et al. 2017,0.13,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,12.5,cm,0.411,Radabaugh et al. 2017,0.1,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,23,cm,0.411,Radabaugh et al. 2017,0.116,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,14.5,cm,0.411,Radabaugh et al. 2017,0.138,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,21.5,cm,0.411,Radabaugh et al. 2017,0.222,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,19,cm,0.411,Radabaugh et al. 2017,0.167,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,27,cm,0.411,Radabaugh et al. 2017,0.421,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,19,cm,0.411,Radabaugh et al. 2017,0.209,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,9.5,cm,0.411,Radabaugh et al. 2017,0.04,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,14,cm,0.411,Radabaugh et al. 2017,0.106,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,23,cm,0.411,Radabaugh et al. 2017,0.13,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,19.5,cm,0.411,Radabaugh et al. 2017,0.151,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,10,cm,0.411,Radabaugh et al. 2017,0.091,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,8,cm,0.411,Radabaugh et al. 2017,0.073,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,8.5,cm,0.411,Radabaugh et al. 2017,0.079,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,13,cm,0.411,Radabaugh et al. 2017,0.062,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,14.5,cm,0.411,Radabaugh et al. 2017,0.08,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,8,cm,0.411,Radabaugh et al. 2017,0.041,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,11.5,cm,0.411,Radabaugh et al. 2017,0.051,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,6.5,cm,0.411,Radabaugh et al. 2017,0.036,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,6,cm,0.411,Radabaugh et al. 2017,0.039,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,11,cm,0.411,Radabaugh et al. 2017,0.067,g,yes
Dontis_et_al_2020,Distichlis,spicata,1,10.5,cm,0.411,Radabaugh et al. 2017,0.091,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,15,cm,0.411,Radabaugh et al. 2017,0.036,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,14,cm,0.411,Radabaugh et al. 2017,0.039,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,5,cm,0.411,Radabaugh et al. 2017,0.081,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,6,cm,0.411,Radabaugh et al. 2017,0.102,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,5,cm,0.411,Radabaugh et al. 2017,0.026,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13,cm,0.411,Radabaugh et al. 2017,0.339,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,4.5,cm,0.411,Radabaugh et al. 2017,0.081,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,7,cm,0.411,Radabaugh et al. 2017,0.195,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,17,cm,0.411,Radabaugh et al. 2017,0.1,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,21,cm,0.411,Radabaugh et al. 2017,0.16,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,9,cm,0.411,Radabaugh et al. 2017,0.057,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,18,cm,0.411,Radabaugh et al. 2017,0.182,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13,cm,0.411,Radabaugh et al. 2017,0.045,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,17,cm,0.411,Radabaugh et al. 2017,0.135,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,3,cm,0.411,Radabaugh et al. 2017,0.057,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,12,cm,0.411,Radabaugh et al. 2017,0.209,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,2.5,cm,0.411,Radabaugh et al. 2017,0.032,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,16,cm,0.411,Radabaugh et al. 2017,0.14,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,3,cm,0.411,Radabaugh et al. 2017,0.045,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,19,cm,0.411,Radabaugh et al. 2017,0.151,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,11,cm,0.411,Radabaugh et al. 2017,0.153,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,10,cm,0.411,Radabaugh et al. 2017,0.101,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,16.5,cm,0.411,Radabaugh et al. 2017,0.171,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,24,cm,0.411,Radabaugh et al. 2017,0.256,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,24,cm,0.411,Radabaugh et al. 2017,0.236,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,10,cm,0.411,Radabaugh et al. 2017,0.074,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,4.5,cm,0.411,Radabaugh et al. 2017,0.032,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,9,cm,0.411,Radabaugh et al. 2017,0.184,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,5.5,cm,0.411,Radabaugh et al. 2017,0.043,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13,cm,0.411,Radabaugh et al. 2017,0.047,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,21,cm,0.411,Radabaugh et al. 2017,0.355,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,8,cm,0.411,Radabaugh et al. 2017,0.042,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,19.5,cm,0.411,Radabaugh et al. 2017,0.12,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,18,cm,0.411,Radabaugh et al. 2017,0.201,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,19,cm,0.411,Radabaugh et al. 2017,0.171,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,19,cm,0.411,Radabaugh et al. 2017,0.229,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13.5,cm,0.411,Radabaugh et al. 2017,0.189,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,14,cm,0.411,Radabaugh et al. 2017,0.237,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13,cm,0.411,Radabaugh et al. 2017,0.111,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,11.5,cm,0.411,Radabaugh et al. 2017,0.143,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,9,cm,0.411,Radabaugh et al. 2017,0.065,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,4.5,cm,0.411,Radabaugh et al. 2017,0.023,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,6,cm,0.411,Radabaugh et al. 2017,0.042,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,4.5,cm,0.411,Radabaugh et al. 2017,0.064,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13.5,cm,0.411,Radabaugh et al. 2017,0.046,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13.5,cm,0.411,Radabaugh et al. 2017,0.063,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,1.5,cm,0.411,Radabaugh et al. 2017,0.022,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,3,cm,0.411,Radabaugh et al. 2017,0.016,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,7.5,cm,0.411,Radabaugh et al. 2017,0.021,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,21,cm,0.411,Radabaugh et al. 2017,0.086,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,15,cm,0.411,Radabaugh et al. 2017,0.078,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,9,cm,0.411,Radabaugh et al. 2017,0.054,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,25,cm,0.411,Radabaugh et al. 2017,0.23,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,2.5,cm,0.411,Radabaugh et al. 2017,0.017,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13,cm,0.411,Radabaugh et al. 2017,0.059,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,16,cm,0.411,Radabaugh et al. 2017,0.085,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,13.5,cm,0.411,Radabaugh et al. 2017,0.072,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,17,cm,0.411,Radabaugh et al. 2017,0.136,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,21,cm,0.411,Radabaugh et al. 2017,0.186,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,23,cm,0.411,Radabaugh et al. 2017,0.214,g,yes
Dontis_et_al_2020,Cyperus,rotundus,1,28,cm,0.411,Radabaugh et al. 2017,0.387,g,yes
Dontis_et_al_2020,Triglochin,striata,1,19,cm,0.411,Radabaugh et al. 2017,0.063,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8,cm,0.411,Radabaugh et al. 2017,0.036,g,yes
Dontis_et_al_2020,Triglochin,striata,1,15,cm,0.411,Radabaugh et al. 2017,0.127,g,yes
Dontis_et_al_2020,Triglochin,striata,1,11,cm,0.411,Radabaugh et al. 2017,0.021,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9.5,cm,0.411,Radabaugh et al. 2017,0.022,g,yes
Dontis_et_al_2020,Triglochin,striata,1,15,cm,0.411,Radabaugh et al. 2017,0.113,g,yes
Dontis_et_al_2020,Triglochin,striata,1,18.5,cm,0.411,Radabaugh et al. 2017,0.123,g,yes
Dontis_et_al_2020,Triglochin,striata,1,14.5,cm,0.411,Radabaugh et al. 2017,0.034,g,yes
Dontis_et_al_2020,Triglochin,striata,1,16.5,cm,0.411,Radabaugh et al. 2017,0.107,g,yes
Dontis_et_al_2020,Triglochin,striata,1,16.5,cm,0.411,Radabaugh et al. 2017,0.133,g,yes
Dontis_et_al_2020,Triglochin,striata,1,13,cm,0.411,Radabaugh et al. 2017,0.074,g,yes
Dontis_et_al_2020,Triglochin,striata,1,18.5,cm,0.411,Radabaugh et al. 2017,0.108,g,yes
Dontis_et_al_2020,Triglochin,striata,1,13,cm,0.411,Radabaugh et al. 2017,0.032,g,yes
Dontis_et_al_2020,Triglochin,striata,1,20.5,cm,0.411,Radabaugh et al. 2017,0.158,g,yes
Dontis_et_al_2020,Triglochin,striata,1,18,cm,0.411,Radabaugh et al. 2017,0.152,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9.5,cm,0.411,Radabaugh et al. 2017,0.035,g,yes
Dontis_et_al_2020,Triglochin,striata,1,11,cm,0.411,Radabaugh et al. 2017,0.031,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8.5,cm,0.411,Radabaugh et al. 2017,0.021,g,yes
Dontis_et_al_2020,Triglochin,striata,1,14,cm,0.411,Radabaugh et al. 2017,0.053,g,yes
Dontis_et_al_2020,Triglochin,striata,1,22,cm,0.411,Radabaugh et al. 2017,0.278,g,yes
Dontis_et_al_2020,Triglochin,striata,1,23,cm,0.411,Radabaugh et al. 2017,0.241,g,yes
Dontis_et_al_2020,Triglochin,striata,1,16,cm,0.411,Radabaugh et al. 2017,0.055,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9,cm,0.411,Radabaugh et al. 2017,0.03,g,yes
Dontis_et_al_2020,Triglochin,striata,1,20.5,cm,0.411,Radabaugh et al. 2017,0.094,g,yes
Dontis_et_al_2020,Triglochin,striata,1,10.5,cm,0.411,Radabaugh et al. 2017,0.101,g,yes
Dontis_et_al_2020,Triglochin,striata,1,12,cm,0.411,Radabaugh et al. 2017,0.07,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8,cm,0.411,Radabaugh et al. 2017,0.033,g,yes
Dontis_et_al_2020,Triglochin,striata,1,10,cm,0.411,Radabaugh et al. 2017,0.023,g,yes
Dontis_et_al_2020,Triglochin,striata,1,6,cm,0.411,Radabaugh et al. 2017,0.029,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9,cm,0.411,Radabaugh et al. 2017,0.037,g,yes
Dontis_et_al_2020,Triglochin,striata,1,7,cm,0.411,Radabaugh et al. 2017,0.025,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8.5,cm,0.411,Radabaugh et al. 2017,0.032,g,yes
Dontis_et_al_2020,Triglochin,striata,1,4,cm,0.411,Radabaugh et al. 2017,0.038,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8,cm,0.411,Radabaugh et al. 2017,0.041,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9,cm,0.411,Radabaugh et al. 2017,0.044,g,yes
Dontis_et_al_2020,Triglochin,striata,1,6.5,cm,0.411,Radabaugh et al. 2017,0.014,g,yes
Dontis_et_al_2020,Triglochin,striata,1,5.5,cm,0.411,Radabaugh et al. 2017,0.017,g,yes
Dontis_et_al_2020,Triglochin,striata,1,6.5,cm,0.411,Radabaugh et al. 2017,0.031,g,yes
Dontis_et_al_2020,Triglochin,striata,1,4.5,cm,0.411,Radabaugh et al. 2017,0.011,g,yes
Dontis_et_al_2020,Triglochin,striata,1,6.5,cm,0.411,Radabaugh et al. 2017,0.016,g,yes
Dontis_et_al_2020,Triglochin,striata,1,9.5,cm,0.411,Radabaugh et al. 2017,0.045,g,yes
Dontis_et_al_2020,Triglochin,striata,1,11,cm,0.411,Radabaugh et al. 2017,0.041,g,yes
Dontis_et_al_2020,Triglochin,striata,1,10,cm,0.411,Radabaugh et al. 2017,0.044,g,yes
Dontis_et_al_2020,Triglochin,striata,1,8.5,cm,0.411,Radabaugh et al. 2017,0.03,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,13,cm,0.39,Radabaugh et al. 2017,1.122,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,9,cm,0.39,Radabaugh et al. 2017,0.601,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,17,cm,0.39,Radabaugh et al. 2017,2.193,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,13.5,cm,0.39,Radabaugh et al. 2017,1.454,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7,cm,0.39,Radabaugh et al. 2017,0.395,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,12,cm,0.39,Radabaugh et al. 2017,1.21,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,11,cm,0.39,Radabaugh et al. 2017,0.796,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,14,cm,0.39,Radabaugh et al. 2017,0.849,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7.5,cm,0.39,Radabaugh et al. 2017,0.373,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7,cm,0.39,Radabaugh et al. 2017,0.641,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,13,cm,0.39,Radabaugh et al. 2017,0.936,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,10.5,cm,0.39,Radabaugh et al. 2017,0.945,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,18,cm,0.39,Radabaugh et al. 2017,1.142,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,8,cm,0.39,Radabaugh et al. 2017,0.488,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,26,cm,0.39,Radabaugh et al. 2017,1.569,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,10,cm,0.39,Radabaugh et al. 2017,0.985,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,17,cm,0.39,Radabaugh et al. 2017,1.469,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,20,cm,0.39,Radabaugh et al. 2017,1.657,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,24,cm,0.39,Radabaugh et al. 2017,2.555,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7,cm,0.39,Radabaugh et al. 2017,0.523,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7.5,cm,0.39,Radabaugh et al. 2017,0.413,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,11.5,cm,0.39,Radabaugh et al. 2017,0.767,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,20,cm,0.39,Radabaugh et al. 2017,1.6,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,9,cm,0.39,Radabaugh et al. 2017,0.467,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,14,cm,0.39,Radabaugh et al. 2017,0.927,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,11,cm,0.39,Radabaugh et al. 2017,0.723,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,6,cm,0.39,Radabaugh et al. 2017,0.5,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,8,cm,0.39,Radabaugh et al. 2017,0.38,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,11.5,cm,0.39,Radabaugh et al. 2017,0.793,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,13,cm,0.39,Radabaugh et al. 2017,1.072,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,25,cm,0.39,Radabaugh et al. 2017,2.416,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,26,cm,0.39,Radabaugh et al. 2017,2.357,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,22.5,cm,0.39,Radabaugh et al. 2017,1.798,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,28,cm,0.39,Radabaugh et al. 2017,3.399,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,27,cm,0.39,Radabaugh et al. 2017,3.065,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,28,cm,0.39,Radabaugh et al. 2017,2.558,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,24.5,cm,0.39,Radabaugh et al. 2017,2.17,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,33,cm,0.39,Radabaugh et al. 2017,4.125,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,47,cm,0.39,Radabaugh et al. 2017,6.878,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,16,cm,0.39,Radabaugh et al. 2017,1.027,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,9.5,cm,0.39,Radabaugh et al. 2017,0.781,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,9,cm,0.39,Radabaugh et al. 2017,0.409,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,12,cm,0.39,Radabaugh et al. 2017,0.665,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,28,cm,0.39,Radabaugh et al. 2017,2.56,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,8,cm,0.39,Radabaugh et al. 2017,0.673,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,9.5,cm,0.39,Radabaugh et al. 2017,0.743,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7.5,cm,0.39,Radabaugh et al. 2017,0.329,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,43,cm,0.39,Radabaugh et al. 2017,4.872,g,yes
