,Depth (cm),,weight,volume,Bulk density,avgerage LOI,OC,OC,Latitude,Longitude,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,408.690,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,351.850,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,350.780,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,372.650,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,357.910,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,272.860,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,113.550,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,193.350,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,274.520,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,139.760,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,377.420,0.000,#DIV/0!,,,,,,,,,,,,,
,,,432.610,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,143.500,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,531.820,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,262.520,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,,,,0.000,,,,,,,,,,,,
,,,,,,0.000,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,447.850,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,533.390,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,516.280,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,510.700,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,484.870,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,507.750,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,449.030,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,498.340,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,209.980,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,403.970,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,248.690,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,414.730,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,353.420,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,587.150,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,504.740,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,162.780,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,452.310,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,323.000,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,503.370,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,362.500,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,411.980,0.000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,,,,0.000,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
