study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,c14_age,c14_material,c14_notes,delta_c13,depth_interval_notes
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,80,82,16538,0.993452054794521,0.02462155,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,90,92,16539,0.957078947368421,0.027234431,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,100,102,16540,0.904338461538461,0.017138412,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,8,10,16542,0.8091,0.020830942,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,10,12,16543,0.996078947368421,0.021451767,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,20,22,16544,0.633684210526315,0.02482670499999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,30,32,16545,0.703906976744186,0.025541607,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,40,42,16546,0.800578947368421,0.02340157,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,50,52,16547,0.81509375,0.02102015,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,60,62,16548,0.767105263157894,0.023258004,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,70,72,16549,0.744939393939394,0.023470263,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,80,82,16550,0.771931818181817,0.019992449,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,90,92,16551,0.779333333333333,0.024219289,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_3,Doyle_2018,100,102,16552,0.653409090909091,0.02419778,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,0,2,16922,0.799331140350877,0.021256339,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,10,12,16923,0.739839912280702,0.003162142,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,20,22,16924,0.962559210526316,0.006650267,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,30,32,16925,1.33922149122807,0.005039884,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,40,42,16926,1.04420614035088,0.006168693,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,50,52,16927,1.3274298245614,0.00552843,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,60,62,16928,0.907289473684209,0.00734408199999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,70,72,16929,1.12761622807018,0.017275541,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,80,82,16930,1.40732456140351,-2.2076099999999933e-4,NA,NA,NA,NA,Sample 16930 BCID is flagged by authors as do not use
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,90,92,16931,0.496103070175439,0.007378586,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_1,Doyle_2018,100,102,16932,0.501140350877193,0.006600117,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,0,2,16911,0.827548245614034,0.010263127,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,10,12,16912,0.824741228070175,0.023440887,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,20,22,16913,0.641175438596491,0.007938999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,30,32,16914,0.98534649122807,0.007976041,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,40,42,16915,1.20501973684211,0.00582704499999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,50,52,16916,1.16041447368421,0.005890395,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,60,62,16917,1.07626315789474,0.005099038,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,70,72,16918,1.03072149122807,7.917700000000028e-5,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,80,82,16919,1.21307675438596,0.018500801,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,90,92,16920,0.592598684210526,0.006908746,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_2,Doyle_2018,100,102,16921,1.14144078947368,0.009458398,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,0,2,16933,0.372103070175439,0.029077026,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,10,12,16934,1.22592763157895,0.009936331,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,20,22,16935,1.3665899122807,0.01087469899999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,30,32,16936,1.35067763157895,0.006806675,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,40,42,16937,0.964127192982456,0.006294943,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,50,52,16938,0.897506578947368,0.006313815,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,60,62,16939,1.33108771929825,0.005418885,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,70,72,16940,1.33990570175439,0.005946445,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,80,82,16941,1.36956798245614,0.005317482,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,90,92,16942,1.41563157894737,0.005557134,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,100,102,16943,1.06957456140351,0.006327647,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Larrabee_Cove,Larrabee_Cove_3,Doyle_2018,110,112,16944,1.235625,0.008618704,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,0,1,NA,1.22,0.0165,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,5,6,NA,1.07,0.0185,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,10,11,NA,1.06,0.0169,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,15,16,NA,1.31,0.0157,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,20,21,NA,1.03,0.0113,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,25,26,NA,1.06,0.0129,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,30,31,NA,0.91,0.0197,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,35,36,NA,0.93,0.0163,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,40,41,NA,1.05,0.0174,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,0,1,NA,0.96,0.0134,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,5,6,NA,1.11,0.02799999999999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,10,11,NA,1.1,0.0118,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,15,16,NA,1,0.0182,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,20,21,NA,1.26,0.0081,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,25,26,NA,1.35,0.0048,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,30,31,NA,1.09,0.0104,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,35,36,NA,1.14,0.0173,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,40,41,NA,1,0.0183,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,45,46,NA,1.37,0.0013,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,50,51,NA,1.37,0.0012,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,0,1,NA,0.83,0.0173,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,5,6,NA,0.74,0.01929999999999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,10,11,NA,1.05,0.0103,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,15,16,NA,1.33,0.00709999999999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,20,21,NA,1.45,0.0023,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,25,26,NA,1.41,0.0064,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,30,31,NA,1.17,0.0056,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,35,36,NA,1.46,0.0056,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,40,41,NA,1.56,0.00349999999999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,45,46,NA,0.92,0.018,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,0,0,NA,1.22,0.0165,NA,NA,NA,-19.49,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,0,5,NA,1.07,0.0185,NA,NA,NA,-18.48,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,5,10,NA,1.06,0.0169,NA,NA,NA,-19.23,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,10,15,NA,1.31,0.0157,NA,NA,NA,-20.07,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,15,20,NA,1.03,0.0113,NA,NA,NA,-19.04,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,20,25,NA,1.06,0.0129,NA,NA,NA,-17.58,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,25,30,NA,0.91,0.0197,NA,NA,NA,-18.27,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,30,35,NA,0.93,0.0163,NA,NA,NA,-19.04,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_1,Sonshine_2012,35,40,NA,1.05,0.0174,NA,NA,NA,-19.49,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,0,0,NA,0.96,0.0134,NA,NA,NA,-18.74,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,0,5,NA,1.11,0.02799999999999999,NA,NA,NA,-18.42,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,5,10,NA,1.1,0.0118,NA,NA,NA,-20.01,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,10,15,NA,1,0.0182,NA,NA,NA,-20.67,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,15,20,NA,1.26,0.0081,NA,NA,NA,-17.89,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,20,25,NA,1.35,0.0048,NA,NA,NA,-18.28,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,25,30,NA,1.09,0.0104,NA,NA,NA,-20.41,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,30,35,NA,1.14,0.0173,NA,NA,NA,-20.42,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,35,40,NA,1,0.0183,NA,NA,NA,-20.26,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,40,45,NA,1.37,0.0013,NA,NA,NA,-20.65,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_2,Sonshine_2012,45,50,NA,1.37,0.0012,NA,NA,NA,-20.81,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,0,0,NA,0.83,0.0173,NA,NA,NA,-18.53,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,0,5,NA,0.74,0.01929999999999999,NA,NA,NA,-18.15,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,5,10,NA,1.05,0.0103,NA,NA,NA,-18.67,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,10,15,NA,1.33,0.00709999999999999,NA,NA,NA,-18.55,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,15,20,NA,1.45,0.0023,NA,NA,NA,-18.76,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,20,25,NA,1.41,0.0064,NA,NA,NA,-18.82,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,25,30,NA,1.17,0.0056,NA,NA,NA,-19.59,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,30,35,NA,1.46,0.0056,NA,NA,NA,-20.69,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,35,40,NA,1.56,0.00349999999999999,NA,NA,NA,-20.11,NA
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,0,0.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,2.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
