"[Abbreviations: ID, Identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; Tr, trace quantity, too low to quantify; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
14CCT01-GB53M(A),13-Dec,0.14,0.09,7.6,0.49,1.57,0.15,5.86,0.59,10.54,1.68
14CCT01-GB53M(A),13-14,0.24,0.08,6.52,0.39,1.37,0.12,5,0.43,9.77,1.34
14CCT01-GB53M(A),14-15,0.67,0.09,5.99,0.4,1.35,0.11,6.16,0.46,9.34,1.4
14CCT01-GB53M(A),15-16,0.73,0.12,5.53,0.55,1.39,0.16,5.95,0.65,9.37,1.88
14CCT01-GB53M(A),16-17,0.97,0.15,5.5,0.57,1.52,0.18,8.27,0.74,10.48,2.1
14CCT01-GB53M(A),17-18,0.5,0.08,3.62,0.32,1.37,0.11,8.62,0.47,11.87,1.3
14CCT01-GB53M(A),18-19,0.3,0.08,5.11,0.34,1.42,0.11,7.96,0.47,11.19,1.39
14CCT01-GB53M(A),19-20,0.29,0.12,4.42,0.51,1.55,0.17,8.69,0.68,9.69,2.05
14CCT01-GB53M(A),20-21,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),21-22,0.1,0.06,2.79,0.3,1.38,0.1,5.11,0.41,7.55,1.1
14CCT01-GB53M(A),22-23,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),23-24,0.1,0.05,2.63,0.28,1.47,0.09,4.57,0.34,8.55,1.02
14CCT01-GB53M(A),24-25,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),25-26,ND,--,1.71,0.21,1.27,0.08,3.11,0.27,6.73,0.85
14CCT01-GB53M(A),26-27,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),27-28,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),29-30,ND,--,1.7,0.24,1.49,0.1,6,0.39,10.03,1.07
14CCT01-GB53M(A),30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),31-32,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),32-33,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),33-34,ND,--,1.56,0.19,1.55,0.07,4.8,0.29,7.52,0.77
14CCT01-GB53M(A),34-35,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),35-36,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),36-37,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),37-38,ND,--,1.56,0.14,1.48,0.05,4.69,0.21,7.63,0.6
14CCT01-GB53M(A),38-39,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),39-40,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),40-41,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),41-42,ND,--,1.63,0.25,1.61,0.09,5.99,0.39,10.11,1.03
14CCT01-GB53M(A),42-43,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),43-44,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),44-45,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),45-46,ND,--,1.45,0.24,1.53,0.09,4.44,0.35,6.08,0.92
14CCT01-GB53M(A),46-47,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),47-48,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),48-49,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),49-50,ND,--,1.66,0.21,1.6,0.08,6.2,0.32,9.86,0.87
14CCT01-GB53M(A),50-51,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),51-52,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),52-53,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),53-54,ND,--,1.75,0.23,1.58,0.08,6.18,0.33,10.75,0.9
14CCT01-GB53M(A),54-55,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),55-56,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),56-57,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),57-58,ND,--,1.5,0.27,1.58,0.11,6.86,0.46,10.16,1.22
14CCT01-GB53M(A),58-59,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),59-60,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),60-61,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),61-62,ND,--,1.71,0.29,1.59,0.1,6.58,0.41,11.73,1.31
14CCT01-GB53M(A),62-63,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),63-64,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),64-65,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(A),65-66,ND,--,1.6,0.16,1.45,0.06,6.51,0.27,7.56,0.65
14CCT01-GB53M(A),66-67,ND,--,1.68,0.18,1.51,0.07,6.5,0.29,8,0.71
Lc:Cs-137 = 0.08 dpm/g; Lc:Pb-210 = 0.38 dpm/g; Lc:Ra-226 = 0.25 dpm/g; Lc:Th-234 = 0.48 dpm/g; Lc:K-40 = 1.61 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB53M(B),0-1,0.13,0.06,10.33,0.41,1.52,0.11,6.7,0.44,13.1,1.34
14CCT01-GB53M(B),2-Jan,0.08,0.04,4.66,0.27,1.41,0.08,4.82,0.32,10.51,1
14CCT01-GB53M(B),3-Feb,ND,--,3.58,0.19,1.38,0.06,3.18,0.21,6.45,0.62
14CCT01-GB53M(B),4-Mar,0.14,0.06,6.38,0.33,1.68,0.1,6.8,0.42,10.3,1.12
14CCT01-GB53M(B),5-Apr,0.13,0.07,5.56,0.38,1.36,0.11,6.81,0.48,9.91,1.36
14CCT01-GB53M(B),6-May,0.19,0.08,6.96,0.46,1.53,0.13,9.88,0.59,12.3,1.57
14CCT01-GB53M(B),7-Jun,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(B),8-Jul,0.16,0.09,7.72,0.45,1.39,0.12,8.47,0.55,14.82,1.57
14CCT01-GB53M(B),9-Aug,0.27,0.06,5.18,0.29,1.45,0.09,6.34,0.38,11.68,1.11
14CCT01-GB53M(B),10-Sep,0.36,0.08,5.28,0.37,1.6,0.12,8.1,0.47,14.48,1.39
14CCT01-GB53M(B),11-Oct,0.59,0.09,3.59,0.32,1.68,0.12,8.01,0.47,15.25,1.46
14CCT01-GB53M(B),12-Nov,0.53,0.08,3.85,0.34,1.64,0.12,7.44,0.49,11.94,1.38
14CCT01-GB53M(B),13-Dec,1.8,0.17,3.97,0.49,1.75,0.17,12.16,0.79,16.73,2.01
14CCT01-GB53M(B),13-14,1.1,0.12,4.72,0.38,1.67,0.14,10.9,0.63,14.61,1.69
14CCT01-GB53M(B),14-15,0.33,0.09,3.37,0.36,1.64,0.13,8.62,0.54,11.76,1.43
14CCT01-GB53M(B),15-16,0.14,0.08,2.13,0.35,1.68,0.13,7.39,0.5,11.34,1.43
14CCT01-GB53M(B),16-17,0.08,0.05,1.86,0.26,1.46,0.1,3.15,0.33,6.36,1.01
14CCT01-GB53M(B),17-18,ND,--,1.63,0.19,1.46,0.07,2.82,0.24,7.5,0.81
14CCT01-GB53M(B),18-19,ND,--,1.58,0.3,1.66,0.11,3.25,0.38,8.72,1.29
14CCT01-GB53M(B),19-20,ND,--,1.5,0.28,1.64,0.11,3.74,0.38,7.68,1.13
14CCT01-GB53M(B),20-21,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(B),21-22,Tr,--,1.87,0.23,1.56,0.09,5.1,0.34,10.33,1
14CCT01-GB53M(B),22-23,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53M(B),23-24,Tr,--,1.85,0.2,1.71,0.08,4.9,0.31,9.37,0.88
14CCT01-GB53M(B),24-25,ND,--,1.49,0.28,1.62,0.1,4.72,0.41,8.15,1.11
Lc:Cs-137 = 0.10 dpm/g; Lc:Pb-210 = 0.32 dpm/g; Lc:Ra-226 = 0.21 dpm/g; Lc:Th-234 = 0.44 dpm/g; Lc:K-40 = 1.08 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB60M,0-1,0.25,0.07,12.49,0.52,1.4,0.09,7.02,0.49,20.73,1.31
14CCT01-GB60M,2-Jan,0.15,0.04,6.43,0.35,1.56,0.07,5.36,0.37,13.44,0.89
14CCT01-GB60M,3-Feb,0.16,0.04,6.38,0.3,1.59,0.06,5.37,0.32,12.75,0.78
14CCT01-GB60M,4-Mar,0.16,0.04,6.27,0.3,1.5,0.06,5.11,0.31,14.7,0.77
14CCT01-GB60M,5-Apr,0.21,0.05,5.35,0.29,1.4,0.06,6.26,0.34,14.28,0.8
14CCT01-GB60M,6-May,0.36,0.05,6.35,0.32,1.23,0.06,10.23,0.39,16.26,0.86
14CCT01-GB60M,7-Jun,0.26,0.05,6.02,0.38,1.24,0.08,8.17,0.44,12.95,1
14CCT01-GB60M,8-Jul,0.33,0.06,5.02,0.34,1.41,0.07,7.32,0.4,12.44,0.91
14CCT01-GB60M,9-Aug,0.45,0.05,5.33,0.35,1.4,0.07,7.44,0.4,16.47,1.01
14CCT01-GB60M,10-Sep,0.47,0.06,5.66,0.34,1.2,0.07,9.74,0.42,15.91,0.92
14CCT01-GB60M,11-Oct,0.85,0.07,5.42,0.38,0.99,0.07,13.05,0.49,17.15,1.06
14CCT01-GB60M,12-Nov,1.03,0.05,4.68,0.26,1.13,0.05,9.14,0.34,16.97,0.78
14CCT01-GB60M,13-Dec,1.26,0.07,2.95,0.3,1.42,0.07,5.73,0.36,18,0.93
14CCT01-GB60M,13-14,3.21,0.09,4.07,0.29,1.2,0.06,10.48,0.37,18.57,0.89
14CCT01-GB60M,14-15,3.8,0.08,5.93,0.27,1.1,0.05,14.09,0.38,19.82,0.79
14CCT01-GB60M,15-16,1.25,0.07,3.33,0.33,1.36,0.07,10.16,0.44,18.83,1.02
14CCT01-GB60M,16-17,0.49,0.05,3.02,0.3,1.32,0.07,8.81,0.39,16.31,0.88
14CCT01-GB60M,17-18,0.24,0.06,2.91,0.36,1.25,0.08,9.33,0.5,14.53,1.11
14CCT01-GB60M,18-19,0.07,0.04,1.43,0.27,1.37,0.07,4.64,0.35,11.56,0.85
14CCT01-GB60M,19-20,0.08,0.05,1.38,0.28,1.35,0.07,3.9,0.36,11.29,0.87
14CCT01-GB60M,20-21,0.15,0.05,1.72,0.32,1.56,0.08,5.68,0.41,13.68,0.97
14CCT01-GB60M,21-22,0.07,0.04,1.61,0.29,1.47,0.08,4.68,0.39,12.18,0.9
14CCT01-GB60M,22-23,0.11,0.04,1.64,0.26,1.49,0.07,4.7,0.34,13.27,0.86
14CCT01-GB60M,23-24,0.08,0.04,1.63,0.24,1.44,0.06,5.88,0.35,14.59,0.79
14CCT01-GB60M,24-25,0.11,0.05,1.6,0.32,1.55,0.08,5.26,0.42,15.28,1.07
14CCT01-GB60M,25-26,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,26-27,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,27-28,ND,--,1.61,0.33,1.56,0.08,4.33,0.41,13.63,1.01
14CCT01-GB60M,28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,29-30,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,31-32,ND,--,1.1,0.24,1.39,0.06,5.54,0.33,14.18,0.78
14CCT01-GB60M,32-33,--,--,--,--,--,--,--,--,--,--
