study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,ra226_activity,ra226_unit,bi214_activity,bi214_unit,be7_activity,be7_unit,cs137_activity_sd,total_pb210_activity_sd,ra226_activity_sd,th234_activity,th234_activity_sd,bi214_activity_sd,pb212_activity,pb212_activity_sd,be7_activity_sd,am241_activity,am241_activity_sd,pb212_unit,am241_unit
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,2,4,0.556776079067712,0.148059989247149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,4,6,0.519104923758295,0.15352,NA,13.09886252,becquerelsPerKilogram,107.3195541,becquerelsPerKilogram,52.11335496,becquerelsPerKilogram,38.58228186,becquerelsPerKilogram,NA,NA,1.01781702,4.661461383,4.260840343,29.693621,4.002588411,2.264788034,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,6,8,0.470366128816749,0.193576282258554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,8,10,0.407760868276403,0.22935,NA,51.56887524,becquerelsPerKilogram,72.27569324,becquerelsPerKilogram,32.8319882,becquerelsPerKilogram,28.23829937,becquerelsPerKilogram,NA,NA,1.810248546,4.08899182,4.003901,26.66521949,3.188232765,2.107335774,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,10,12,0.43706474866021,0.227116131718637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,12,14,0.446536454959984,0.2237,NA,38.14181009,becquerelsPerKilogram,64.91273756,becquerelsPerKilogram,35.81868396,becquerelsPerKilogram,27.58430435,becquerelsPerKilogram,NA,NA,1.535579367,4.218156231,4.751458076,29.93853652,4.073270275,2.142470241,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,14,16,0.425878302088125,0.2554004408669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,16,18,0.39716339949913,0.28586,NA,11.83409492,becquerelsPerKilogram,64.73928338,becquerelsPerKilogram,32.24572082,becquerelsPerKilogram,28.94711501,becquerelsPerKilogram,NA,NA,1.026925592,4.169256175,4.211194883,25.69407465,4.030443082,2.029828187,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,18,20,0.431547956264405,0.278092104813765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,20,22,0.439854946055363,0.26525,NA,1.167017118,becquerelsPerKilogram,60.44587349,becquerelsPerKilogram,38.28251446,becquerelsPerKilogram,29.1167014,becquerelsPerKilogram,NA,NA,NA,4.115964148,4.158483998,28.70966846,3.269428437,2.329336112,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,22,24,0.421060903640287,0.283893639878041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,24,26,0.29765255664389,0.31407,NA,0.974546448,becquerelsPerKilogram,63.67526282,becquerelsPerKilogram,30.36872784,becquerelsPerKilogram,29.60784051,becquerelsPerKilogram,NA,NA,NA,3.943458899,4.338389691,23.40788152,3.531361436,2.121158723,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,26,28,0.357811467043836,0.327603335674073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,28,30,0.366921224559737,0.31994,NA,1.099712993,becquerelsPerKilogram,58.31525279,becquerelsPerKilogram,39.38329878,becquerelsPerKilogram,29.64435813,becquerelsPerKilogram,NA,NA,NA,4.021741571,4.307548304,26.70537271,3.492241047,2.2526108,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,30,32,0.371755378493302,0.298294267425667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,32,34,0.40134853959041,0.29333,NA,0.425346224,becquerelsPerKilogram,48.44996077,becquerelsPerKilogram,36.94112293,becquerelsPerKilogram,29.30047246,becquerelsPerKilogram,NA,NA,NA,3.935022194,4.36110479,20.75365041,3.192869293,2.246681595,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,34,36,0.333853338464763,0.330588344623258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,36,38,0.305117984519919,0.39167,NA,0.312143939,becquerelsPerKilogram,41.33050181,becquerelsPerKilogram,29.55729062,becquerelsPerKilogram,26.30737182,becquerelsPerKilogram,NA,NA,NA,3.381586511,3.792749682,23.48856341,3.139024603,2.192280985,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,38,40,0.253236862937811,0.446836104081302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,40,42,0.268230610621943,0.46493,NA,1.167638702,becquerelsPerKilogram,39.26922349,becquerelsPerKilogram,24.23947617,becquerelsPerKilogram,22.62855379,becquerelsPerKilogram,NA,NA,NA,3.638362559,4.323798451,14.85290168,2.710383518,2.100540859,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,42,44,0.283676026990804,0.427975989051534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,44,46,0.319270773831956,0.37214,NA,1.526536942,becquerelsPerKilogram,36.33329522,becquerelsPerKilogram,27.99811722,becquerelsPerKilogram,23.93260206,becquerelsPerKilogram,NA,NA,NA,3.758616747,3.663305056,19.27326645,3.248303334,2.002329256,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,46,48,0.332604283725796,0.337627439712561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,48,50,0.345833840003926,0.32666,NA,0.880039462,becquerelsPerKilogram,44.22974388,becquerelsPerKilogram,38.37197674,becquerelsPerKilogram,30.36661885,becquerelsPerKilogram,NA,NA,NA,4.044607847,4.369762475,24.50894264,4.047348326,2.282458279,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,50,52,0.354644611118121,0.331781752098223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,52,54,0.302764431908858,0.34481,NA,0.398257325,becquerelsPerKilogram,42.59811672,becquerelsPerKilogram,27.20499975,becquerelsPerKilogram,26.44606577,becquerelsPerKilogram,NA,NA,NA,4.176285953,3.850936037,18.94650036,3.002450877,2.090238875,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,54,56,0.302153487742616,0.354769301894547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,56,58,0.319833654295892,0.34024,NA,0.180541469,becquerelsPerKilogram,45.88272754,becquerelsPerKilogram,39.73093034,becquerelsPerKilogram,24.25812846,becquerelsPerKilogram,NA,NA,NA,4.216250639,4.400168181,15.01581311,3.003162622,2.170960912,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,58,60,0.433889059416851,0.289727290323591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,60,62,0.473200936298981,0.24188,NA,0.651419021,becquerelsPerKilogram,41.78947937,becquerelsPerKilogram,40.55739231,becquerelsPerKilogram,28.09824333,becquerelsPerKilogram,NA,NA,0.260567608,3.543247627,3.648019414,24.31735367,3.211725956,2.228755845,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,62,64,0.471155186937572,0.233619036811091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,64,66,0.468879070906626,0.24481,NA,0.280457722,becquerelsPerKilogram,43.74478072,becquerelsPerKilogram,29.0862851,becquerelsPerKilogram,31.70639883,becquerelsPerKilogram,NA,NA,NA,3.486902811,3.268121921,24.42485326,3.436196086,2.01694649,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,66,68,0.485239760327694,0.249907812432045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,68,70,0.471952809709944,0.25878,NA,0.247734047,becquerelsPerKilogram,48.23934952,becquerelsPerKilogram,45.92178826,becquerelsPerKilogram,32.0278426,becquerelsPerKilogram,NA,NA,NA,3.623613109,4.110646008,27.64704627,3.455880784,2.244538834,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,70,72,0.442674105072839,0.281634713460731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,72,74,0.407026507678388,0.29463,NA,0.229127564,becquerelsPerKilogram,50.54495815,becquerelsPerKilogram,34.00539014,becquerelsPerKilogram,27.58552192,becquerelsPerKilogram,NA,NA,NA,3.649854746,4.007369209,17.209368,2.997137124,2.024625462,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,74,76,0.409112978597966,0.276182083725032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,76,78,0.456485512113622,0.24779,NA,0.613277644,becquerelsPerKilogram,51.61082846,becquerelsPerKilogram,38.4864451,becquerelsPerKilogram,25.81838001,becquerelsPerKilogram,NA,NA,NA,3.776402082,4.038701029,27.31208271,3.389090555,2.093382163,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,78,80,0.466632639767117,0.23261570163914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,80,82,0.487674433248758,0.21739,NA,0.061668976,becquerelsPerKilogram,50.15912345,becquerelsPerKilogram,35.05574282,becquerelsPerKilogram,32.32348922,becquerelsPerKilogram,NA,NA,NA,4.160664618,4.081833068,28.86452128,3.117770592,2.201872562,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,82,84,0.525898961085974,0.188390109718409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,84,86,0.577287189103974,0.16651,NA,0.833484477,becquerelsPerKilogram,47.19366771,becquerelsPerKilogram,40.84681538,becquerelsPerKilogram,32.78672475,becquerelsPerKilogram,NA,NA,NA,3.621576419,4.108156719,26.15274916,3.158067824,2.24330222,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,86,88,0.581323928083672,0.171452609487224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,88,90,0.604013541477672,0.18354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,90,92,0.629423089318217,0.180519452332696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
