study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,excess_pb210_activity,excess_pb210_activity_se
Baustian_et_al_2021,Barataria basin,224,12,14,0.26,0.40299999999999997,0.51,0.08,disintegrationsPerMinutePerGram,9.58,1.15,disintegrationsPerMinutePerGram,7.57,1.22
Baustian_et_al_2021,Barataria basin,224,16,18,0.33,0.386,0.96,0.07,disintegrationsPerMinutePerGram,13.13,1.47,disintegrationsPerMinutePerGram,11.35,1.5
Baustian_et_al_2021,Barataria basin,224,22,24,0.21,0.47609999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,224,38,40,0.22,0.22469999999999998,1.41,0.08,disintegrationsPerMinutePerGram,5.18,0.7,disintegrationsPerMinutePerGram,3.21,0.76
Baustian_et_al_2021,Barataria basin,224,58,60,0.26,0.5196999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,224,78,80,0.18,0.7170000000000001,0.17,0.07,disintegrationsPerMinutePerGram,0,0,disintegrationsPerMinutePerGram,-1.47,0.31
Baustian_et_al_2021,Barataria basin,224,98,100,0.19,0.6204999999999999,0.03,0.08,disintegrationsPerMinutePerGram,0.74,0.58,disintegrationsPerMinutePerGram,-0.82,0.63
Baustian_et_al_2021,Barataria basin,225,12,14,0.21,0.4499,1.28,0.08,disintegrationsPerMinutePerGram,17.48,1.88,disintegrationsPerMinutePerGram,15.45,1.92
Baustian_et_al_2021,Barataria basin,225,16,18,0.28,0.5047,1.53,0.11,disintegrationsPerMinutePerGram,17.28,1.93,disintegrationsPerMinutePerGram,15.13,1.94
Baustian_et_al_2021,Barataria basin,225,22,24,0.2,0.579,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,225,38,40,0.21,0.5733,9.6,0.2,disintegrationsPerMinutePerGram,11.2,1.32,disintegrationsPerMinutePerGram,8.49,1.53
Baustian_et_al_2021,Barataria basin,225,58,60,0.19,0.8245999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,225,78,80,0.2,0.8024,0.44,0.09,disintegrationsPerMinutePerGram,1.32,0.61,disintegrationsPerMinutePerGram,-0.67,0.78
Baustian_et_al_2021,Barataria basin,225,98,100,0.25,0.747,0.55,0.14,disintegrationsPerMinutePerGram,1.92,0.94,disintegrationsPerMinutePerGram,-0.48,1.39
Baustian_et_al_2021,Barataria basin,237,12,14,0.56,0.1334,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,16,18,0.45,0.1393,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,22,24,0.29,0.3161,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,38,40,0.56,0.1748,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,58,60,0.72,0.1361,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,78,80,0.88,0.07980000000000001,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,237,98,100,0.61,0.0783,NA,NA,disintegrationsPerMinutePerGram,NA,NA,disintegrationsPerMinutePerGram,NA,NA
Baustian_et_al_2021,Barataria basin,253,12,14,0.26,0.2909,0.69,0.1,disintegrationsPerMinutePerGram,9.43,1.25,disintegrationsPerMinutePerGram,7.38,1.25
Baustian_et_al_2021,Barataria basin,253,16,18,0.32,0.3264,0.84,0.09,disintegrationsPerMinutePerGram,9.43,1.16,disintegrationsPerMinutePerGram,6.91,1.21
Baustian_et_al_2021,Barataria basin,253,22,24,0.32,0.3906,0.94,0.08,disintegrationsPerMinutePerGram,9.03,1.06,disintegrationsPerMinutePerGram,6.82,1.07
Baustian_et_al_2021,Barataria basin,253,38,40,0.42,0.18489999999999998,3.46,0.12,disintegrationsPerMinutePerGram,5.11,0.86,disintegrationsPerMinutePerGram,2.7,0.86
Baustian_et_al_2021,Barataria basin,253,58,60,0.3,0.46909999999999996,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,253,78,80,0.26,0.5271,0,0,disintegrationsPerMinutePerGram,2.02,0.55,disintegrationsPerMinutePerGram,0.33,0.56
Baustian_et_al_2021,Barataria basin,253,98,100,0.45,0.2551,0,0,disintegrationsPerMinutePerGram,0.82,0.54,disintegrationsPerMinutePerGram,-1.01,0.57
Baustian_et_al_2021,Barataria basin,273,12,14,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,273,16,18,0.13,0.885,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,273,20,22,0.12,0.8606999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,273,60,62,0.14,0.8298000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,273,78,80,0.16,0.9423,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,273,98,100,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,305,12,14,0.29,0.20550000000000002,NA,NA,disintegrationsPerMinutePerGram,4.77,0.82,disintegrationsPerMinutePerGram,2.75,0.86
Baustian_et_al_2021,Terrebonne basin,305,16,18,0.41,0.1282,NA,NA,disintegrationsPerMinutePerGram,3.84,0.59,disintegrationsPerMinutePerGram,2.16,0.6
Baustian_et_al_2021,Terrebonne basin,305,22,24,0.57,0.10279999999999999,NA,NA,disintegrationsPerMinutePerGram,3.7,0.64,disintegrationsPerMinutePerGram,1.86,0.65
Baustian_et_al_2021,Terrebonne basin,305,38,40,0.83,0.0756,NA,NA,disintegrationsPerMinutePerGram,1.89,0.42,disintegrationsPerMinutePerGram,0.2,0.47
Baustian_et_al_2021,Terrebonne basin,305,58,60,0.41,0.31370000000000003,NA,NA,disintegrationsPerMinutePerGram,2.43,0.59,disintegrationsPerMinutePerGram,0.75,0.6
Baustian_et_al_2021,Terrebonne basin,305,78,80,0.51,0.1748,NA,NA,disintegrationsPerMinutePerGram,1.37,0.52,disintegrationsPerMinutePerGram,-0.29,0.53
Baustian_et_al_2021,Terrebonne basin,305,98,100,0.54,0.2452,NA,NA,disintegrationsPerMinutePerGram,2.95,0.61,disintegrationsPerMinutePerGram,1.05,0.61
Baustian_et_al_2021,Terrebonne basin,309,12,14,0.31,0.231,0.65,0.08,disintegrationsPerMinutePerGram,5.9,0.9,disintegrationsPerMinutePerGram,4.43,0.91
Baustian_et_al_2021,Terrebonne basin,309,16,18,0.41,0.1751,1.5,0.09,disintegrationsPerMinutePerGram,2.95,0.65,disintegrationsPerMinutePerGram,1.5,0.73
Baustian_et_al_2021,Terrebonne basin,309,22,24,0.4,0.22829999999999998,1.92,0.09,disintegrationsPerMinutePerGram,3.08,0.64,disintegrationsPerMinutePerGram,1.65,0.73
Baustian_et_al_2021,Terrebonne basin,309,38,40,0.56,0.1746,0.08,0.05,disintegrationsPerMinutePerGram,2.28,0.49,disintegrationsPerMinutePerGram,0.94,0.55
Baustian_et_al_2021,Terrebonne basin,309,58,60,0.49,0.1562,0,0,disintegrationsPerMinutePerGram,1.68,0.54,disintegrationsPerMinutePerGram,0.38,0.62
Baustian_et_al_2021,Terrebonne basin,309,78,80,0.41,0.3626,0,0,disintegrationsPerMinutePerGram,1.97,0.51,disintegrationsPerMinutePerGram,0.37,0.6
Baustian_et_al_2021,Terrebonne basin,309,98,100,0.57,0.1304,0.05,0.06,disintegrationsPerMinutePerGram,0.38,0.54,disintegrationsPerMinutePerGram,-1.31,0.55
Baustian_et_al_2021,Terrebonne basin,327,12,14,0.13,0.6828,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,16,18,0.15,0.6474,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,22,24,0.14,0.5404,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,38,40,0.17,0.6598999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,58,60,0.14,0.7393000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,78,80,0.14,0.61,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,327,98,100,0.16,0.7976000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,12,14,0.15,0.8089,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,16,18,0.16,0.7614,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,22,24,0.17,0.7395,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,38,40,0.15,0.7495,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,58,60,0.14,0.7881999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,78,80,0.74,0.4075,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,331,98,100,0.23,0.4537,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,337,12,14,0.36,0.1545,0.31,0.07,disintegrationsPerMinutePerGram,3.45,0.69,disintegrationsPerMinutePerGram,2.09,0.72
Baustian_et_al_2021,Terrebonne basin,337,16,18,0.45,0.19399999999999998,0.26,0.06,disintegrationsPerMinutePerGram,4.29,0.67,disintegrationsPerMinutePerGram,2.96,0.77
Baustian_et_al_2021,Terrebonne basin,337,22,24,0.36,0.20980000000000001,0.55,0.07,disintegrationsPerMinutePerGram,5.34,0.8,disintegrationsPerMinutePerGram,3.6,0.95
Baustian_et_al_2021,Terrebonne basin,337,38,40,0.93,0.0667,0.59,0.07,disintegrationsPerMinutePerGram,1.63,0.54,disintegrationsPerMinutePerGram,0.03,0.54
Baustian_et_al_2021,Terrebonne basin,337,58,60,0.43,0.1815,0.15,0.05,disintegrationsPerMinutePerGram,2.1,0.44,disintegrationsPerMinutePerGram,0.69,0.47
Baustian_et_al_2021,Terrebonne basin,337,78,80,0.3,0.4117,0,0,disintegrationsPerMinutePerGram,0.27,0.58,disintegrationsPerMinutePerGram,0,0.61
Baustian_et_al_2021,Terrebonne basin,337,98,100,0.38,0.25370000000000004,0.01,0.06,disintegrationsPerMinutePerGram,0.31,0.51,disintegrationsPerMinutePerGram,0,0.58
Baustian_et_al_2021,Terrebonne basin,367,12,14,0.12,0.8466,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,16,18,0.13,0.7731,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,20,22,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,38,40,0.16,0.6103000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,58,60,0.27,0.2956,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,78,80,0.22,0.6103000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,367,98,100,0.24,0.32909999999999995,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,377,12,14,0.26,0.1777,0.41,0.07,disintegrationsPerMinutePerGram,2.67,0.64,disintegrationsPerMinutePerGram,1.36,0.72
Baustian_et_al_2021,Terrebonne basin,377,16,18,0.56,0.111,0.29,0.06,disintegrationsPerMinutePerGram,3.06,0.6,disintegrationsPerMinutePerGram,1.78,0.65
Baustian_et_al_2021,Terrebonne basin,377,22,24,0.63,0.1084,0.35,0.06,disintegrationsPerMinutePerGram,0.91,0.5,disintegrationsPerMinutePerGram,-0.37,0.53
Baustian_et_al_2021,Terrebonne basin,377,38,40,0.49,0.1861,0.12,0.06,disintegrationsPerMinutePerGram,1.33,0.54,disintegrationsPerMinutePerGram,-0.02,0.59
Baustian_et_al_2021,Terrebonne basin,377,58,60,0.55,0.16510000000000002,0.03,0.03,disintegrationsPerMinutePerGram,1.48,0.33,disintegrationsPerMinutePerGram,0.29,0.36
Baustian_et_al_2021,Terrebonne basin,377,78,80,0.62,0.1201,0.01,0.06,disintegrationsPerMinutePerGram,0.48,0.55,disintegrationsPerMinutePerGram,-0.91,0.56
Baustian_et_al_2021,Terrebonne basin,377,98,100,0.56,0.10220000000000001,0,0.06,disintegrationsPerMinutePerGram,1,0.56,disintegrationsPerMinutePerGram,-0.41,0.57
Baustian_et_al_2021,Terrebonne basin,398,12,14,0.4,0.1962,0.58,0.08,disintegrationsPerMinutePerGram,7.69,1.02,disintegrationsPerMinutePerGram,6.16,1.06
Baustian_et_al_2021,Terrebonne basin,398,16,18,0.26,0.3655,0.87,0.07,disintegrationsPerMinutePerGram,5.59,0.77,disintegrationsPerMinutePerGram,3.99,0.8
Baustian_et_al_2021,Terrebonne basin,398,22,24,0.34,0.2768,1.76,0.11,disintegrationsPerMinutePerGram,9.34,1.25,disintegrationsPerMinutePerGram,7.64,1.3
Baustian_et_al_2021,Terrebonne basin,398,38,40,0.35,0.31120000000000003,3.87,0.13,disintegrationsPerMinutePerGram,3.53,0.73,disintegrationsPerMinutePerGram,1.84,0.75
Baustian_et_al_2021,Terrebonne basin,398,56,58,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,398,78,80,0.27,0.6461,0.15,0.08,disintegrationsPerMinutePerGram,1.85,0.71,disintegrationsPerMinutePerGram,-0.32,0.79
Baustian_et_al_2021,Terrebonne basin,398,98,100,0.26,0.44409999999999994,0,0,disintegrationsPerMinutePerGram,3.75,0.7,disintegrationsPerMinutePerGram,1.41,0.73
Baustian_et_al_2021,Terrebonne basin,399,12,14,0.15,0.4582,0.43,0.06,disintegrationsPerMinutePerGram,6.88,0.88,disintegrationsPerMinutePerGram,5.52,0.9
Baustian_et_al_2021,Terrebonne basin,399,16,18,0.22,0.3111,0.27,0.07,disintegrationsPerMinutePerGram,6.37,0.9,disintegrationsPerMinutePerGram,5.18,0.93
Baustian_et_al_2021,Terrebonne basin,399,22,24,0.25,0.3427,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,399,38,40,0.3,0.32909999999999995,3.95,0.1,disintegrationsPerMinutePerGram,5.24,0.73,disintegrationsPerMinutePerGram,3.86,0.76
Baustian_et_al_2021,Terrebonne basin,399,58,60,0.31,0.36310000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,399,78,80,0.23,0.7121999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,399,98,100,0.24,0.5611,0.57,0.08,disintegrationsPerMinutePerGram,7.84,1.04,disintegrationsPerMinutePerGram,6.13,1.05
Baustian_et_al_2021,Terrebonne basin,2825,12,14,0.17,0.5670000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,16,18,0.21,0.6655,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,22,24,0.16,0.6857,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,38,40,0.18,0.7714,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,58,60,0.2,0.7948999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,78,80,0.19,0.8155,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,2825,98,100,0.22,0.8029000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3166,12,14,0.13,0.8793000000000001,0,0,disintegrationsPerMinutePerGram,48.13,54.79,disintegrationsPerMinutePerGram,48.13,54.79
Baustian_et_al_2021,Barataria basin,3166,16,18,0.14,0.8339,1.97,1.05,disintegrationsPerMinutePerGram,28.41,8.88,disintegrationsPerMinutePerGram,27.32,9.08
Baustian_et_al_2021,Barataria basin,3166,20,22,0.18,0.8251999999999999,4.03,0.56,disintegrationsPerMinutePerGram,48.53,6.74,disintegrationsPerMinutePerGram,47.46,6.8
Baustian_et_al_2021,Barataria basin,3166,38,40,0.27,0.7054,17.2,0.32,disintegrationsPerMinutePerGram,25.13,2.84,disintegrationsPerMinutePerGram,23.28,2.88
Baustian_et_al_2021,Barataria basin,3166,40,42,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3166,46,48,0.24,0.6803,2.18,0.2,disintegrationsPerMinutePerGram,8.03,1.67,disintegrationsPerMinutePerGram,5.78,1.71
Baustian_et_al_2021,Barataria basin,3166,52,54,0.34,0.6896,0.85,0.12,disintegrationsPerMinutePerGram,9.03,1.36,disintegrationsPerMinutePerGram,5.86,1.42
Baustian_et_al_2021,Barataria basin,3166,60,62,0.56,0.1943,0,0,disintegrationsPerMinutePerGram,2.77,0.62,disintegrationsPerMinutePerGram,0.08,0.72
Baustian_et_al_2021,Barataria basin,3166,78,80,0.74,0.28859999999999997,0.02,0.07,disintegrationsPerMinutePerGram,2.88,0.69,disintegrationsPerMinutePerGram,0.48,0.8
Baustian_et_al_2021,Barataria basin,3166,98,100,1.78,0.0833,0,0.05,disintegrationsPerMinutePerGram,1.71,0.43,disintegrationsPerMinutePerGram,-0.4,0.51
Baustian_et_al_2021,Barataria basin,3565,12,14,0.31,0.243,2.62,0.1,disintegrationsPerMinutePerGram,19.34,2.9,disintegrationsPerMinutePerGram,17.18,2.91
Baustian_et_al_2021,Barataria basin,3565,16,18,0.3,0.2793,3.84,0.14,disintegrationsPerMinutePerGram,17.57,2.7,disintegrationsPerMinutePerGram,15.66,2.72
Baustian_et_al_2021,Barataria basin,3565,22,24,0.3,0.3091,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3565,38,40,0.24,0.42229999999999995,2.43,0.13,disintegrationsPerMinutePerGram,7.99,1.48,disintegrationsPerMinutePerGram,5.67,1.49
Baustian_et_al_2021,Barataria basin,3565,58,60,0.21,0.7534000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3565,78,80,0.21,0.7720999999999999,0.24,0.11,disintegrationsPerMinutePerGram,3.47,1.13,disintegrationsPerMinutePerGram,0.88,1.13
Baustian_et_al_2021,Barataria basin,3565,98,100,0.2,0.6520999999999999,0.31,0.17,disintegrationsPerMinutePerGram,0.98,1.57,disintegrationsPerMinutePerGram,-1.87,1.6
Baustian_et_al_2021,Barataria basin,3617,12,14,0.2,0.6434000000000001,2.13,0.09,disintegrationsPerMinutePerGram,12.11,1.89,disintegrationsPerMinutePerGram,10,1.91
Baustian_et_al_2021,Barataria basin,3617,16,18,0.22,0.5301,2.27,0.1,disintegrationsPerMinutePerGram,7.43,1.29,disintegrationsPerMinutePerGram,5.04,1.29
Baustian_et_al_2021,Barataria basin,3617,22,24,0.28,0.4129,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3617,38,40,0.76,0.10400000000000001,0.41,0.05,disintegrationsPerMinutePerGram,3.09,0.63,disintegrationsPerMinutePerGram,0.63,0.65
Baustian_et_al_2021,Barataria basin,3617,58,60,0.27,0.5015999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3617,78,80,0.21,0.6861,0.12,0.1,disintegrationsPerMinutePerGram,2.04,0.92,disintegrationsPerMinutePerGram,0.05,0.95
Baustian_et_al_2021,Barataria basin,3617,98,100,0.24,0.5648,0.21,0.09,disintegrationsPerMinutePerGram,1.72,0.84,disintegrationsPerMinutePerGram,-0.16,0.87
Baustian_et_al_2021,Terrebonne basin,4045,10,12,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,14,16,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,18,20,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,22,24,0.23,0.39840000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,38,40,0.28,0.41479999999999995,5.68,0.16,disintegrationsPerMinutePerGram,11.85,1.43,disintegrationsPerMinutePerGram,9.07,1.56
Baustian_et_al_2021,Terrebonne basin,4045,58,60,0.8,0.15039999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,78,80,1.07,0.09369999999999999,0,0,disintegrationsPerMinutePerGram,3.69,0.58,disintegrationsPerMinutePerGram,0.08,0.71
Baustian_et_al_2021,Terrebonne basin,4045,98,100,0.86,NA,0,0.05,disintegrationsPerMinutePerGram,4.57,0.6,disintegrationsPerMinutePerGram,0.53,0.8
Baustian_et_al_2021,Barataria basin,4245,12,14,0.41,0.2544,0.37,0.09,disintegrationsPerMinutePerGram,7.68,1.01,disintegrationsPerMinutePerGram,5.42,1.02
Baustian_et_al_2021,Barataria basin,4245,16,18,0.41,0.3616,0.87,0.09,disintegrationsPerMinutePerGram,10.9,1.3,disintegrationsPerMinutePerGram,8.5,1.31
Baustian_et_al_2021,Barataria basin,4245,20,22,0.47,0.382,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,4245,38,40,0.5,0.4177,3.99,0.16,disintegrationsPerMinutePerGram,11.99,1.46,disintegrationsPerMinutePerGram,9.38,1.49
Baustian_et_al_2021,Barataria basin,4245,60,62,0.83,0.2494,1.24,0.08,disintegrationsPerMinutePerGram,7.83,0.94,disintegrationsPerMinutePerGram,5.62,0.95
Baustian_et_al_2021,Barataria basin,4245,78,80,0.52,0.6709,2.53,0.13,disintegrationsPerMinutePerGram,9.24,1.2,disintegrationsPerMinutePerGram,6.24,1.21
Baustian_et_al_2021,Barataria basin,4245,82,84,0.34,0.6922,1.95,0.14,disintegrationsPerMinutePerGram,8.04,1.2,disintegrationsPerMinutePerGram,5.2,1.24
Baustian_et_al_2021,Barataria basin,4245,86,88,0.47,0.7482,1.38,0.14,disintegrationsPerMinutePerGram,7.02,1.12,disintegrationsPerMinutePerGram,2.92,1.13
Baustian_et_al_2021,Barataria basin,4245,90,92,0.41,0.7646,0.99,0.13,disintegrationsPerMinutePerGram,4.98,0.94,disintegrationsPerMinutePerGram,0.68,0.98
Baustian_et_al_2021,Barataria basin,4245,98,100,0.36,0.7857999999999999,0.66,0.17,disintegrationsPerMinutePerGram,2.97,1.08,disintegrationsPerMinutePerGram,-1.13,1.12
Baustian_et_al_2021,Terrebonne basin,4455,12,14,0.43,0.2002,0.16,0.06,disintegrationsPerMinutePerGram,3.93,0.62,disintegrationsPerMinutePerGram,2.47,0.62
Baustian_et_al_2021,Terrebonne basin,4455,16,18,0.27,0.0471,0,0,disintegrationsPerMinutePerGram,2.48,0.5,disintegrationsPerMinutePerGram,1.13,0.5
Baustian_et_al_2021,Terrebonne basin,4455,22,24,0.37,0.1839,0.44,0.06,disintegrationsPerMinutePerGram,4.89,0.66,disintegrationsPerMinutePerGram,3.47,0.67
Baustian_et_al_2021,Terrebonne basin,4455,38,40,0.48,0.2146,1.61,0.1,disintegrationsPerMinutePerGram,3.32,0.7,disintegrationsPerMinutePerGram,1.96,0.77
Baustian_et_al_2021,Terrebonne basin,4455,58,60,0.27,0.4792,0.04,0.08,disintegrationsPerMinutePerGram,1.47,0.62,disintegrationsPerMinutePerGram,0.23,0.66
