site_id,depth_min,depth_max,live_rhizomes,live_roots,Detritus,core_id,study_id
NE-L,0,5,0,0.057,0.126,NE-L23,Deegan_et_al_2012
NE-L,5,10,0.345,0.124,0.438,NE-L23,Deegan_et_al_2012
NE-L,10,20,0.422,0.576,1.667,NE-L23,Deegan_et_al_2012
NE-L,20,30,0.35,0.279,2.743,NE-L23,Deegan_et_al_2012
NE-L,30,50,0,0,4.619,NE-L23,Deegan_et_al_2012
NE-L,0,5,0.763,0.122,1.128,NE-L29,Deegan_et_al_2012
NE-L,5,10,2.428,0.493,1.129,NE-L29,Deegan_et_al_2012
NE-L,10,20,2.423,0.726,4.586,NE-L29,Deegan_et_al_2012
NE-L,20,30,0,0.275,6.292,NE-L29,Deegan_et_al_2012
NE-L,30,50,0,0.17,7.447,NE-L29,Deegan_et_al_2012
NE-L,0,5,0.549,0.094,1.17,NE-L38,Deegan_et_al_2012
NE-L,5,10,1.937,0.444,0.837,NE-L38,Deegan_et_al_2012
NE-L,10,20,1.239,0.685,1.759,NE-L38,Deegan_et_al_2012
NE-L,20,30,1.362,0.496,2.664,NE-L38,Deegan_et_al_2012
NE-L,30,50,0,0.215,3.007,NE-L38,Deegan_et_al_2012
NE-L,0,5,0.752,0.03,1.286,NE-L50,Deegan_et_al_2012
NE-L,5,10,1.32,0.271,1.363,NE-L50,Deegan_et_al_2012
NE-L,10,20,3.641,1.28,2.762,NE-L50,Deegan_et_al_2012
NE-L,20,30,1.447,1.456,1.876,NE-L50,Deegan_et_al_2012
NE-L,30,50,0.233,0.642,3.287,NE-L50,Deegan_et_al_2012
