study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,pages,author,title,journal,school
Yarbro_and_Carlson_2008,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Holmer_et_al_2009,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Kenig_et_al_1990,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
De_Iongh_et_al_1995,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Lee_et_al_2005,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Rigollet_et_al_2004,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Qu_et_al_2006,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Kairis_and_Rybczyk_2010,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Cotner_et_al_2004,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Gonneea_et_al_2004,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Calleja_et_al_2007,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Fonseca_et_al_2011,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Ooi_et_al_2011,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Lewis_et_al_2007,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Oakes_and_Connolly_2004,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Vichkovitten_et_al_2005,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
De_Troch_et_al_2006,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Fourqurean_et_al_2010,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Volkman_et_al_2008,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Figueiredo_da_Silva_et_al_2009,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Grenz_et_al_2003,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Sfriso_and_Marcomini_1999,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Holmer_et_al_2001,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Leduc_and_Probert_2011,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Holmer_et_al_2003,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Lo_Iacono_et_al_2008,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Maher_and_Eyre_2010,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Apostolaki_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Duarte_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Fourqurean_and_Kendrick_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Kennedy_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Marba_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Mateo_and_Serrano_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Mateo_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Serrano_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Fourqurean_unpublished,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Yamamuro_et_al_1993,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Al-Rousan_et_al_2005,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Devereux_et_al_2011,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Burns_and_Swart_1992,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Amon_and_Herndl_1991,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Rosenfeld_1979,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
De_Falco_et_al_2006,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Grady_1981,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
Koepfler_et_al_1993,Fourqurean_et_al_2012,synthesis,Fourqurean_2012,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,Seagrass ecosystems as a globally significant carbon stock,Nature Geoscience,NA
