study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,age
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_75,0,1,NA,9.118213989910393e-4,0.00388,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_76,1,9,NA,0.007083258837870198,0.0064800000000000005,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_77,0,1,NA,0.009480498587744142,0.01844298,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_78,1,9,NA,2.24163090604563e-4,0.0014000000000000002,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_79,0,1,NA,0.0016273546191570367,0.0032500000000000003,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_80,1,9,NA,0.011384964264844415,0.01135776,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_81,0,1,NA,0.039937449843959305,0.02580417,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_82,1,9,NA,0.014065770679423127,0.01224015,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_83,0,1,NA,0.004627828746177778,0.007222617999999999,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_84,1,9,NA,5.421494242614036e-4,0.004625627,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_85,0,1,NA,0.008316022809972916,0.07365496,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_86,1,9,NA,0.001503603603603604,0.00922,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_87,0,1,NA,0.008384558779777167,0.09312257,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_88,1,9,NA,0.014481581341890173,0.09995738,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_89,0,1,NA,0.025584045837033775,0.082860230000000007,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_90,1,9,NA,0.01213515696560938,0.08043515,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_91,0,1,NA,0.025518326391518707,0.03840304,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_92,1,9,NA,0.010542269648161327,0.10494880000000001,NA
