"study_id","site_id","salinity_class","salinity_method","vegetation_class","vegetation_method","COE_REGION","CLASS_FIELD_FWSST","CLASS_FIELD_HGM","HUC10_NAME","MAJ_RIVER_BASIN","SANDT_COAST_REG","STATE_NAME"
"Nahlik_and_Fennessy_2016","NWCA11-1622","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1638","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1646","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fourleague Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1661","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bayou Terre Aux Boeufs-Frontal Breton Sound","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1677","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1685","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1697","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fourleague Bay-Frontal Gulf of Mexico","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-2578","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","DPRSS","East Fork Double Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2588","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","DPRSS","East Branch Mad Island Slough-Matagorda Bay","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-1197","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Smyrna River-Delaware Bay","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1226","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Appoquinimink River-Delaware River","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-2443","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Great Pee Dee River-Winyah Bay","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2450","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Calibogue Sound","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2453","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Rediversion Canal-Santee River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2454","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Coosaw River-Port Royal Sound","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2458","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Coosaw River-Port Royal Sound","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1202","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Appoquinimink River-Delaware River","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-3047","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Weeki Wachi River-Double Hammock Creek Frontal","South Atlantic Gulf","Gulf Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-2677","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","South East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-1356","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","Conservation Area 2","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1335","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","East Charlotte Harbor Frontal","South Atlantic Gulf","Gulf Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1326","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Tolomato River","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1303","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Crystal River-Homosassa River Frontal","South Atlantic Gulf","Gulf Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1243","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","Conservation Area 3A","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-3042","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","Conservation Area 2","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-R310","palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","DPRSS","Frenchman Bay","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-R309","palustrine","field observation","forested","field observation","Northcentral and Northeast","PFO","SLOPE","Blue Hill-Mount Desert Frontal Drainages","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-1020","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Holley Creek-Alabama River","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1029","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","DPRSS","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1217","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Christina River","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1218","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Inland Bays","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1213","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Delaware Bay-Deep","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1225","palustrine","field observation","forested","field observation","Eastern Mountains and Piedmont","PFO","DPRSS","Christina River","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-2597","palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","FLATS","Lower Neches Valley Authority Canal-Taylor Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2549","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Salt Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-R123","palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","RIVERINE","Big Musquash Stream","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-R131","palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","DPRSS","Stillwater River","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-2577","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Salt Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-1039","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","DPRSS","Bayo Sara-Mobile River","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1028","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Halls Mill Creek","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1003","palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","DPRSS","Bayou La Batre-Grand Bay Swamp","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-4151","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-4151","palustrine","field observation","scrub shrub","field observation","Western Mountains, Valleys, and Coast","PSS","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-4147","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-4145","palustrine","field observation","scrub shrub","field observation","Western Mountains, Valleys, and Coast","PSS","RIVERINE","Elk Creek","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-4141","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FRINGE","Coos Bay-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-4138","palustrine","field observation","scrub shrub","field observation","Western Mountains, Valleys, and Coast","PSS","SLOPE","South Fork Coquille River","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2358","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2355","estuarine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","E2EM","TIDAL","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2350","palustrine","field observation","forested","field observation","Western Mountains, Valleys, and Coast","PFO","RIVERINE","Little Nestucca River","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2343","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2342","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","SLOPE","Coos Bay-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2339","palustrine","field observation","emergent","field observation","Western Mountains, Valleys, and Coast","PEM","FLATS","Lower Siletz River-Frontal Pacific Ocean","Pacific Northwest","Pacific Coast Region","Oregon"
"Nahlik_and_Fennessy_2016","NWCA11-2078","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Headwaters White Oak River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2072","palustrine","field observation",NA,"field observation","Atlantic and Gulf Coastal Plain","PF","FLATS","Gum Neck-Alligator River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2067","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","Middle Trent River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2056","palustrine","field observation",NA,"field observation","Atlantic and Gulf Coastal Plain","PF","FLATS","Gum Neck-Alligator River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2044","palustrine","field observation",NA,"field observation","Atlantic and Gulf Coastal Plain","PF","FLATS","Gum Neck-Alligator River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2034","palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","FLATS","Headwaters New River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2633","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Lower York River","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2632","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Messongo Creek-Pocomoke Sound","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2654","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","DPRSS","Lower Chincoteague Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2640","palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","DPRSS","Lower Chincoteague Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2636","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Metompkin Bay-Burtons Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2643","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Marumsco Creek-Pocomoke Sound","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2674","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Lower Chincoteague Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2664","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Lower Chincoteague Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-1633","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bayou Pointe Au Chien-Frontal Timbalier Bay","Lower Mississippi","Gulf Coast Region","Louisiana"
"Nahlik_and_Fennessy_2016","NWCA11-1221","palustrine","field observation","forested","field observation","Eastern Mountains and Piedmont","PFO","FLATS","Elk River","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1828","palustrine","field observation","forested","field observation","Northcentral and Northeast","PFO","FLATS","Middle Sebasticook River","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-2538","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Spindletop Ditch","Texas Gulf","Gulf Coast Region","Texas"
