study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,18,20,0.07,0.747,0.478,0.257,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,20,22,0.073,0.763,2.173,0.756,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,22,24,0.068,0.821,1.317,0.424,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,24,26,0.087,0.706,3.133,0.466,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,26,28,0.185,0.326,4.373,0.120,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,28,30,0.219,0.255,3.836,0.269,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,30,32,0.109,0.551,6.670,0.223,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,32,34,0.086,0.661,7.576,1.008,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,34,36,0.094,0.628,2.950,0.276,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,36,38,0.102,0.621,1.689,0.245,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,38,40,0.123,0.501,0.313,0.478,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,40,42,0.129,0.466,0.560,0.782,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,42,44,0.11,0.614,0.000,0.000,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,44,46,0.083,0.792,0.000,0.000,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_3,single set of methods,46,48,0.078,0.826,2.006,0.894,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,0,2,0.114,0.45,0.963,0.254,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,2,4,0.161,0.418,0.568,0.182,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,4,6,0.196,0.337,0.524,0.094,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,6,8,0.223,0.361,0.622,0.147,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,8,10,0.226,0.317,0.507,0.081,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,10,12,0.197,0.355,0.791,0.199,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,12,14,0.137,0.515,0.628,0.133,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,14,16,0.108,0.644,0.895,0.385,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,16,18,0.111,0.607,0.899,0.159,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,18,20,0.104,0.585,0.861,0.206,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,20,22,0.101,0.627,0.992,0.180,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,22,24,0.103,0.61,0.799,0.201,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,24,26,0.114,0.579,1.360,0.167,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,26,28,0.124,0.542,2.027,0.151,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,28,30,0.167,0.339,3.737,0.144,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,30,32,0.296,0.21,2.697,0.073,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,32,34,0.218,0.282,3.862,0.118,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,34,36,0.134,0.418,3.803,0.157,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,36,38,0.133,0.41,1.305,0.179,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,38,40,0.165,0.36,1.137,0.116,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,40,42,0.18,0.339,0.760,0.164,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,42,44,0.208,0.293,0.654,0.088,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,44,46,0.225,0.274,0.496,0.116,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_4,single set of methods,46,48,0.205,0.309,0.271,0.089,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,0,2,0.119,0.422,0.472,0.215,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,2,4,0.148,0.385,0.349,0.131,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,4,6,0.176,0.38,0.540,0.139,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,6,8,0.256,0.235,0.232,0.070,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,8,10,0.229,0.259,0.498,0.077,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,10,12,0.161,0.39,0.505,0.120,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,12,14,0.111,0.47,0.470,0.148,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,14,16,0.107,0.497,0.948,0.227,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,16,18,0.118,0.461,0.637,0.151,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,18,20,0.134,0.41,0.536,0.140,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,20,22,0.152,0.383,0.591,0.118,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,22,24,0.162,0.331,0.801,0.111,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,24,26,0.12,0.417,0.860,0.234,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,26,28,0.106,0.475,0.614,0.175,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,28,30,0.106,0.507,0.575,0.171,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,30,32,0.116,0.501,0.625,0.160,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,32,34,0.105,0.562,1.085,0.172,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,34,36,0.117,0.511,0.906,0.158,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,36,38,0.112,0.552,0.935,0.167,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,38,40,0.107,0.617,1.586,0.183,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,40,42,0.114,0.528,5.276,0.545,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,42,44,0.115,0.518,3.369,0.184,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,44,46,0.133,0.448,2.502,0.295,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,46,48,0.17,0.323,0.000,0.000,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_5,single set of methods,48,50,0.169,0.316,1.175,0.111,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,0,2,0.097,0.45,2.745,0.243,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,2,4,0.175,0.358,2.336,0.188,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,4,6,0.217,0.298,2.727,0.147,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,6,8,0.217,0.297,2.664,0.168,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,8,10,0.228,0.291,2.561,0.160,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,10,12,0.234,0.274,2.235,0.111,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,12,14,0.249,0.28,2.177,0.102,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,14,16,0.244,0.3,2.532,0.143,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,16,18,0.26,0.292,2.395,0.139,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,18,20,0.25,0.275,2.575,0.132,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,20,22,0.228,0.321,2.770,0.151,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,22,24,0.185,0.403,4.633,0.198,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,24,26,0.135,0.54,10.742,0.309,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,26,28,0.193,0.356,8.473,0.219,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,28,30,0.235,0.271,4.949,0.121,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,30,32,0.214,0.344,3.330,0.124,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,32,34,0.197,0.358,4.162,0.136,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,34,36,0.202,0.364,2.033,0.156,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,36,38,0.197,0.375,3.897,0.137,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,38,40,0.233,0.288,1.914,0.138,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_6,single set of methods,40,42,0.265,0.219,0.437,0.115,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,0,2,0.046,0.747,0.647,0.711,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,2,4,0.066,0.572,1.092,0.443,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,4,6,0.098,0.433,1.527,0.302,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,6,8,0.147,0.339,1.867,0.217,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,8,10,0.139,0.355,0.903,0.225,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,10,12,0.134,0.776,1.378,0.170,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,12,14,0.225,0.277,0.880,0.102,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,14,16,0.138,0.907,0.905,0.233,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,16,18,0.099,0.672,1.277,0.213,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,18,20,0.08,0.685,0.799,0.268,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,20,22,0.066,0.814,0.430,0.437,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,22,24,0.071,0.8,1.513,0.296,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,24,26,0.071,0.811,1.601,0.426,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,26,28,0.069,0.776,1.758,0.318,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,28,30,0.058,0.708,1.806,0.381,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,30,32,0.049,0.744,2.190,0.437,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,32,34,0.052,0.749,2.132,0.427,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,34,36,0.058,0.777,1.818,0.490,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,36,38,0.066,0.665,4.990,0.357,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,38,40,0.145,0.289,4.875,0.181,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,40,42,0.121,0.426,7.098,0.219,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,42,44,0.123,0.474,6.100,0.230,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,44,46,0.118,0.442,3.678,0.281,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,46,48,0.184,0.425,1.597,0.189,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_7,single set of methods,48,50,0.195,0.4,0.853,0.174,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,0,2,0.068,0.603,1.650,0.424,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,2,4,0.142,0.527,0.364,0.233,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,4,6,0.146,0.583,0.632,0.214,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,6,8,0.172,0.344,0.891,0.193,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,8,10,0.322,0.189,0.471,0.102,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,10,12,0.48,0.09,0.374,0.070,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,12,14,0.146,0.409,1.883,0.161,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,14,16,0.115,0.422,2.143,0.220,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,16,18,0.109,0.405,1.741,0.212,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,18,20,0.113,0.414,2.321,0.289,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,20,22,0.115,0.427,2.770,0.276,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,22,24,0.165,0.277,3.341,0.222,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,24,26,0.296,0.154,2.963,0.123,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,26,28,0.231,0.232,4.439,0.120,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,28,30,0.131,0.403,5.688,0.294,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,30,32,0.138,0.281,4.492,0.257,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,32,34,0.171,0.315,1.641,0.208,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,34,36,0.179,0.303,1.262,0.176,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,36,38,0.187,0.3,0.786,0.159,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,38,40,0.175,0.29,0.420,0.173,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,40,42,0.18,0.263,0.506,0.168,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,42,44,0.183,0.281,0.684,0.169,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,44,46,0.187,0.298,0.225,0.182,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,46,48,0.2,0.301,NA,NA,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_8,single set of methods,48,50,0.214,0.301,NA,NA,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,0,2,0.078,0.52,0.571,0.144,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,2,4,0.177,0.185,0.349,0.067,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,4,6,0.324,0.124,0.120,0.042,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,6,8,0.146,0.34,0.609,0.110,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,8,10,0.141,0.43,0.515,0.113,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,10,12,0.137,0.409,0.675,0.127,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,12,14,0.15,0.449,0.562,0.117,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,14,16,0.123,0.423,0.866,0.133,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,16,18,0.126,0.435,1.356,0.145,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_9,single set of methods,18,20,0.121,0.433,1.590,0.141,disintegrationsPerMinutePerGram
