study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13
Fu_et_al_2023,S1,S1_C3,single set of methods,13,15,0.84,0.0506,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.44
Fu_et_al_2023,S2,S2_C2,single set of methods,0,1,1.03,0.071,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.69
Fu_et_al_2023,S2,S2_C2,single set of methods,1,2,0.81,0.0711,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.5
Fu_et_al_2023,S2,S2_C2,single set of methods,2,3,0.77,0.0695,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.53
Fu_et_al_2023,S2,S2_C2,single set of methods,3,5,0.93,0.0691,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.24
Fu_et_al_2023,S2,S2_C2,single set of methods,5,7,0.84,0.0728,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.53
Fu_et_al_2023,S2,S2_C2,single set of methods,7,9,0.89,0.0736,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.24
Fu_et_al_2023,S2,S2_C2,single set of methods,9,11,0.89,0.076,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.13
Fu_et_al_2023,S2,S2_C2,single set of methods,11,13,0.89,0.08539999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.01
Fu_et_al_2023,S2,S2_C2,single set of methods,13,15,0.85,0.1002,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.81
Fu_et_al_2023,S2,S2_C3,single set of methods,0,1,0.62,0.092,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.92
Fu_et_al_2023,S2,S2_C3,single set of methods,1,2,0.68,0.0827,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.19
Fu_et_al_2023,S2,S2_C3,single set of methods,2,3,0.75,0.07769999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.41
Fu_et_al_2023,S2,S2_C3,single set of methods,3,5,0.74,0.0782,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.4
Fu_et_al_2023,S2,S2_C3,single set of methods,5,7,0.78,0.07980000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.97
Fu_et_al_2023,S2,S2_C3,single set of methods,7,9,0.81,0.0839,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.48
Fu_et_al_2023,S2,S2_C3,single set of methods,9,11,0.73,0.08779999999999998,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.14
Fu_et_al_2023,S2,S2_C3,single set of methods,11,13,0.81,0.0868,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.25
Fu_et_al_2023,S2,S2_C3,single set of methods,13,15,0.78,0.0904,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.17
Fu_et_al_2023,S3,S3_C2,single set of methods,0,1,1.1299999999999999,0.0611,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.79
Fu_et_al_2023,S3,S3_C2,single set of methods,1,2,1.25,0.060899999999999996,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.100000000000001
Fu_et_al_2023,S3,S3_C2,single set of methods,2,3,1.24,0.059699999999999996,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.02
Fu_et_al_2023,S3,S3_C2,single set of methods,3,5,1.03,0.0642,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.72
Fu_et_al_2023,S3,S3_C2,single set of methods,5,7,0.56999999999999995,0.0604,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.61
Fu_et_al_2023,S3,S3_C2,single set of methods,7,9,0.62,0.0605,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.26
Fu_et_al_2023,S3,S3_C2,single set of methods,9,11,1.05,0.0603,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.49
Fu_et_al_2023,S3,S3_C2,single set of methods,11,13,1.08,0.0592,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.62
Fu_et_al_2023,S3,S3_C2,single set of methods,13,15,1.2,0.061,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.66
Fu_et_al_2023,S3,S3_C3,single set of methods,0,1,0.63,0.0691,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.6
Fu_et_al_2023,S3,S3_C3,single set of methods,1,2,0.71,0.0668,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.22
Fu_et_al_2023,S3,S3_C3,single set of methods,3.5,4.5,0.62,0.0557,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.7
Fu_et_al_2023,S3,S3_C3,single set of methods,4.5,6.5,0.74,0.0622,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.79
Fu_et_al_2023,S3,S3_C3,single set of methods,6.5,8.5,0.9,0.06559999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.44
Fu_et_al_2023,S3,S3_C3,single set of methods,8.5,10.5,0.75,0.0581,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.19
Fu_et_al_2023,S3,S3_C3,single set of methods,10.5,12.5,1.28,0.0581,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.01
Fu_et_al_2023,S3,S3_C3,single set of methods,12.5,14.5,0.82,0.0625,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.75
Fu_et_al_2023,S3,S3_C3,single set of methods,14.5,16.5,1.18,0.0674,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.4
Fu_et_al_2023,S4,S4_C2,single set of methods,0,1,0.68,0.0888,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.71
Fu_et_al_2023,S4,S4_C2,single set of methods,1,2,0.56000000000000005,0.08130000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.99
Fu_et_al_2023,S4,S4_C2,single set of methods,2,3,0.56000000000000005,0.09380000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.24
Fu_et_al_2023,S4,S4_C2,single set of methods,3,5,0.69,0.099,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.6
Fu_et_al_2023,S4,S4_C2,single set of methods,5,7,0.7,0.0992,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.04
Fu_et_al_2023,S4,S4_C2,single set of methods,7,9,0.59,0.08990000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.89
Fu_et_al_2023,S4,S4_C2,single set of methods,9,11,0.71,0.07769999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.24
Fu_et_al_2023,S4,S4_C2,single set of methods,11,13,0.66,0.0747,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.39
Fu_et_al_2023,S4,S4_C2,single set of methods,13,15,0.57999999999999996,0.0757,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.98
Fu_et_al_2023,S4,S4_C3,single set of methods,0,1,0.12,0.13970000000000002,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.42
Fu_et_al_2023,S4,S4_C3,single set of methods,1,2,0.17,0.13449999999999998,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.69
Fu_et_al_2023,S4,S4_C3,single set of methods,2,3,0.28999999999999998,0.1072,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.57
Fu_et_al_2023,S4,S4_C3,single set of methods,3,5,0.51,0.08960000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.54
Fu_et_al_2023,S4,S4_C3,single set of methods,5,7,0.67,0.0704,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.65
Fu_et_al_2023,S4,S4_C3,single set of methods,7,9,0.53,0.0827,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.18
Fu_et_al_2023,S4,S4_C3,single set of methods,9,11,0.51,0.0888,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.36
Fu_et_al_2023,S4,S4_C3,single set of methods,11,13,0.43,0.1057,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.59
Fu_et_al_2023,S4,S4_C3,single set of methods,13,15,0.63,0.0872,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.32
Fu_et_al_2023,S5,S5_C2,single set of methods,0,1,1.18,0.0802,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.77
Fu_et_al_2023,S5,S5_C2,single set of methods,1,2,1.1000000000000001,0.0818,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.89
Fu_et_al_2023,S5,S5_C2,single set of methods,2,3,0.87,0.0862,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.38
Fu_et_al_2023,S5,S5_C2,single set of methods,3,5,0.87,0.0794,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.41
Fu_et_al_2023,S5,S5_C2,single set of methods,5,7,1.07,0.0894,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.96
Fu_et_al_2023,S5,S5_C2,single set of methods,7,9,1.18,0.0678,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.72
Fu_et_al_2023,S5,S5_C2,single set of methods,9,11,1.18,0.069,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.64
Fu_et_al_2023,S5,S5_C2,single set of methods,11,13,1.32,0.0797,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.6
Fu_et_al_2023,S5,S5_C2,single set of methods,13,15,1.33,0.0706,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.62
Fu_et_al_2023,S5,S5_C3,single set of methods,0,1,1.23,0.08529999999999997,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.02
Fu_et_al_2023,S5,S5_C3,single set of methods,1,2,0.71,0.09269999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.83
Fu_et_al_2023,S5,S5_C3,single set of methods,2,3,1.1100000000000001,0.0943,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.58
Fu_et_al_2023,S5,S5_C3,single set of methods,3,5,1.05,0.091,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.68
Fu_et_al_2023,S5,S5_C3,single set of methods,5,7,0.93,0.0809,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.69
Fu_et_al_2023,S5,S5_C3,single set of methods,7,9,0.92,0.0833,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.03
Fu_et_al_2023,S5,S5_C3,single set of methods,9,11,1.05,0.0861,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.74
Fu_et_al_2023,S5,S5_C3,single set of methods,11,13,1.07,0.0848,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.84
Fu_et_al_2023,S5,S5_C3,single set of methods,13,15,1.07,0.079,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-11.6
Fu_et_al_2023,S6,S6_C2,single set of methods,0,1,0.6,0.052300000000000006,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-18.100000000000001
Fu_et_al_2023,S6,S6_C2,single set of methods,1,2,1.08,0.057999999999999996,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-18.07
Fu_et_al_2023,S6,S6_C2,single set of methods,2,3,0.99,0.0587,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-17.91
Fu_et_al_2023,S6,S6_C2,single set of methods,3,5,0.7,0.0599,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.37
Fu_et_al_2023,S6,S6_C2,single set of methods,5,7,1.01,0.06269999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.13
Fu_et_al_2023,S6,S6_C2,single set of methods,7,9,1.05,0.0692,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.65
Fu_et_al_2023,S6,S6_C2,single set of methods,9,11,0.32,0.0697,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14
Fu_et_al_2023,S6,S6_C2,single set of methods,11,13,0.96,0.07730000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.73
Fu_et_al_2023,S6,S6_C2,single set of methods,13,15,1.03,0.0536,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.69
Fu_et_al_2023,S6,S6_C3,single set of methods,0,1,0.66,0.0605,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-17.260000000000002
Fu_et_al_2023,S6,S6_C3,single set of methods,1,2,0.42,0.057,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-17.329999999999998
Fu_et_al_2023,S6,S6_C3,single set of methods,2,3,0.99,0.0565,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.850000000000001
Fu_et_al_2023,S6,S6_C3,single set of methods,3,5,0.21,0.060899999999999996,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.89
Fu_et_al_2023,S6,S6_C3,single set of methods,5,7,0.42,0.06,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.37
Fu_et_al_2023,S6,S6_C3,single set of methods,7,9,0.45,0.0605,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.21
Fu_et_al_2023,S6,S6_C3,single set of methods,9,11,0.26,0.06559999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.31
Fu_et_al_2023,S6,S6_C3,single set of methods,11,13,0.67,0.0653,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.47
Fu_et_al_2023,S6,S6_C3,single set of methods,13,15,0.64,0.0735,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.04
Fu_et_al_2023,S7,S7_C2,single set of methods,0,1,0.83,0.0832,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.44
Fu_et_al_2023,S7,S7_C2,single set of methods,1,2,1.45,0.06570000000000001,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.35
Fu_et_al_2023,S7,S7_C2,single set of methods,2,3,0.71,0.0634,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.5
Fu_et_al_2023,S7,S7_C2,single set of methods,3,5,1.07,0.0704,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.35
Fu_et_al_2023,S7,S7_C2,single set of methods,5,7,1.1200000000000001,0.0677,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.15
Fu_et_al_2023,S7,S7_C2,single set of methods,7,9,1.45,0.0637,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.26
Fu_et_al_2023,S7,S7_C2,single set of methods,9,11,1.39,0.0696,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.87
Fu_et_al_2023,S7,S7_C2,single set of methods,11,13,1.21,0.0415,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.86
Fu_et_al_2023,S7,S7_C2,single set of methods,13,15,1.3,0.0581,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.8
Fu_et_al_2023,S8,S8_C2,single set of methods,0,1,1.26,0.11019999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.42
Fu_et_al_2023,S8,S8_C2,single set of methods,1,2,0.96,0.1263,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.71
Fu_et_al_2023,S8,S8_C2,single set of methods,2,3,0.9,0.1338,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.28
Fu_et_al_2023,S8,S8_C2,single set of methods,3,5,0.8,0.1446,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.13
Fu_et_al_2023,S8,S8_C2,single set of methods,5,7,0.81,0.1067,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.07
Fu_et_al_2023,S8,S8_C2,single set of methods,7,9,0.86,0.1261,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.11
Fu_et_al_2023,S8,S8_C2,single set of methods,9,11,0.89,0.1276,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.21
Fu_et_al_2023,S8,S8_C2,single set of methods,11,13,0.97,0.1329,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.91
Fu_et_al_2023,S8,S8_C2,single set of methods,13,15,0.95,0.1206,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.89
Fu_et_al_2023,S9,S9_C2,single set of methods,0,1,1.3,0.057999999999999996,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.62
Fu_et_al_2023,S9,S9_C2,single set of methods,1,2,1.72,0.057,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.36
Fu_et_al_2023,S9,S9_C2,single set of methods,2,3,1.1000000000000001,0.0558,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.83
Fu_et_al_2023,S9,S9_C2,single set of methods,3,5,1.27,0.0588,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.58
Fu_et_al_2023,S9,S9_C2,single set of methods,5,7,1.1299999999999999,0.0562,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.54
Fu_et_al_2023,S9,S9_C2,single set of methods,7,9,1.22,0.0518,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.18
Fu_et_al_2023,S9,S9_C2,single set of methods,9,11,1.26,0.0556,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.19
Fu_et_al_2023,S9,S9_C2,single set of methods,11,13,1.41,0.0584,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-12.78
Fu_et_al_2023,S9,S9_C2,single set of methods,13,15,1.26,0.0533,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.5
Fu_et_al_2023,S10,S10_C3,single set of methods,0,1,1.82,0.055,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.64
Fu_et_al_2023,S10,S10_C3,single set of methods,1,2,1.27,0.056600000000000004,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.38
Fu_et_al_2023,S10,S10_C3,single set of methods,2,3,1.36,0.0611,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.86
Fu_et_al_2023,S10,S10_C3,single set of methods,3,5,0.87,0.0602,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.79
Fu_et_al_2023,S10,S10_C3,single set of methods,5,7,0.94,0.0588,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.36
Fu_et_al_2023,S10,S10_C3,single set of methods,7,9,1.07,0.0659,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-14.14
Fu_et_al_2023,S10,S10_C3,single set of methods,9,11,0.52,0.0555,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-13.91
Fu_et_al_2023,S1,S1_Pb,single set of methods,0,0.5,NA,NA,44.522842299673094,2.7534075510048734,52.038948417747235,2.6924957592234335,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,1,1.5,NA,NA,33.844573524393766,2.50948770573059,41.360679642467908,2.4425005254285,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,2.5,3,NA,NA,39.885587662556723,2.885501549558395,47.401693780630865,2.827436907166881,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,4,5,NA,NA,38.754211434335623,2.8240322720284463,46.270317552409765,2.764676933199188,NA,7.8739877114970973,0.856328650058925,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,6,7,NA,NA,40.451142288050519,3.0528905500526515,47.967248406124661,2.9980695425734036,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,9,10,NA,NA,38.510864123999603,2.968420067182978,46.026970242073745,2.9120092662558807,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,11,12,NA,NA,38.955586131816965,2.8134055186250255,46.471692249891106,2.7538211422921544,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
