study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,k40_activity,k40_activity_se,c14_age,c14_age_sd,delta_c13,pb210_age,marker_age,marker_age_se,marker_type,marker_notes
Shaw_et_al_2020,GCREW,CB109,12,14,NA,NA,NA,5.0129,0.9112,9.22,0.7,16.97734974,6.882378866,NA,NA,NA,1967.703704,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,12,22,CB109_horizon_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,5,pollution,Lead pollution (peak)
Shaw_et_al_2020,GCREW,CB109,13,17,CB109_horizon_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,1,pollution,137CS (peak)
Shaw_et_al_2020,GCREW,CB109,14,16,NA,NA,NA,5.9629,0.6343,10.5,0.8,9.631858378,5.087759201,NA,NA,NA,1960.296296,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,15,20,CB109_C_15,0.158476395,0.800412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,15,19,CB109_horizon_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,3,pollution,137CS (onset)
Shaw_et_al_2020,GCREW,CB109,16,18,NA,NA,NA,3.362,0.3761,6.69,0.5,8.482423696,3.681335408,NA,NA,NA,1952.888889,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,18,20,NA,NA,NA,0.3126,0.2873,7.51,0.6,6.630716645,3.097815965,NA,NA,NA,1945.481481,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,20,22,NA,NA,NA,0.2676,0.3456,6.23,0.5,4.205777187,3.501650685,NA,NA,NA,1938.074074,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,20,25,CB109_C_20,0.097532189,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,22,24,NA,NA,NA,0.3129,0.2791,4.04,0.4,12.15006317,2.66433414,NA,NA,NA,1930.666667,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,24,26,NA,NA,NA,0.21,0.266,2.95,0.3,9.829825705,2.871074655,NA,NA,NA,1923.259259,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,25,30,CB109_C_25,0.111695279,0.7224670000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,26,28,NA,NA,NA,0.218,0.268,2.75,0.3,7.734720583,3.229049581,NA,NA,NA,1915.851852,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,28,30,NA,NA,NA,0.2055,0.2744,1.24,0.2,10.68182257,3.037452633,NA,NA,NA,1908.444444,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,28,38,CB109_horizon_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880,20,pollution,206Pb:207Pb (decline UMV)
Shaw_et_al_2020,GCREW,CB109,28,36,CB109_horizon_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850,20,pollen,Ambrosia pollen (peak)
Shaw_et_al_2020,GCREW,CB109,30,32,NA,NA,NA,0.2346,0.3319,0.94,0.1,8.337571207,3.670352981,NA,NA,NA,1901.037037,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,30,35,CB109_C_30,0.127253219,0.68472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,32,34,NA,NA,NA,0.22,0.3682,0.59,0.1,9.69054738,4.072050698,NA,NA,NA,1893.62963,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,34,36,NA,NA,NA,0.195,0.311,0.43,0.1,5.716645286,3.35341638,NA,NA,NA,1886.222222,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,35,40,CB109_C_35,0.095493562,0.755556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,36,38,NA,NA,NA,0.11818212,0.365291707,0.22,0.1,4.504849461,3.937128462,NA,NA,NA,1878.814815,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,36,46,CB109_horizon_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1858,5,pollution,206Pb:207Pb (peak UMV)
Shaw_et_al_2020,GCREW,CB109,38,40,NA,NA,NA,0.017263679,0.16112774,0.04,0.1,4.261052829,1.808592922,NA,NA,NA,1871.407407,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,40,45,CB109_C_40,0.092381974,0.7431690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,45,50,CB109_C_45,0.114914163,0.7431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,48,56,CB109_horizon_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780,20,pollen,Quercus:Ambrosia pollen (<1:1)
Shaw_et_al_2020,GCREW,CB109,50,55,CB109_C_50,0.096459227,0.7859010000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,55,60,CB109_C_55,0.130793991,0.805164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,60,65,CB109_C_60,0.124570815,0.810398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,62,62,OS-115941,NA,NA,NA,NA,NA,NA,NA,NA,95,20,-12.28,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,65,70,CB109_C_65,0.120386266,0.836439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,70,75,CB109_C_70,0.103648069,0.84596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,75,80,CB109_C_75,0.100965665,0.834101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,78,78,OS-114600,NA,NA,NA,NA,NA,NA,NA,NA,385,15,-12.9,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,80,85,CB109_C_80,0.090236052,0.8252630000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,85,90,CB109_C_85,0.095064378,0.823666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,90,95,CB109_C_90,0.103004292,0.819048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,92,92,OS-115940,NA,NA,NA,NA,NA,NA,NA,NA,240,15,-12.1,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,95,100,CB109_C_95,0.087017167,0.8244799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,97,97,OS-130621,NA,NA,NA,NA,NA,NA,NA,NA,405,15,-11.98,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,100,105,CB109_C_100,0.1027897,0.809399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,105,110,CB109_C_105,0.1,0.8200459999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,110,110,OS-115939,NA,NA,NA,NA,NA,NA,NA,NA,405,15,-12.57,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,110,115,CB109_C_110,0.086158798,0.839002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,115,120,CB109_C_115,0.092167382,0.827298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,117,117,OS-130554,NA,NA,NA,NA,NA,NA,NA,NA,665,15,-12.6,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,120,125,CB109_C_120,0.090343348,0.832618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,125,130,CB109_C_125,0.111266094,0.821355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,130,135,CB109_C_130,0.093669528,0.822384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,133,133,OS-114599,NA,NA,NA,NA,NA,NA,NA,NA,850,20,-12.3,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,135,140,CB109_C_135,0.1,0.8389260000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,140,145,CB109_C_140,0.107725322,0.841897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,145,150,CB109_C_145,0.105150215,0.843564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,150,155,CB109_C_150,0.082939914,0.846395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,154,154,OS-115938,NA,NA,NA,NA,NA,NA,NA,NA,980,20,-13.31,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,155,160,CB109_C_155,0.102360515,0.839542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,160,165,CB109_C_160,0.088733906,0.8108110000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,165,170,CB109_C_165,0.085622318,0.818792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,170,175,CB109_C_170,0.09860515,0.824242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,175,175,OS-114598,NA,NA,NA,NA,NA,NA,NA,NA,1120,20,-13.62,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,175,180,CB109_C_175,0.095600858,0.815873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,180,185,CB109_C_180,0.094206009,0.8128650000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,185,190,CB109_C_185,0.093133047,0.783133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,190,195,CB109_C_190,0.103969957,0.794872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,194,194,OS-115937,NA,NA,NA,NA,NA,NA,NA,NA,1170,25,-14.32,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,195,200,CB109_C_195,0.085300429,0.784047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,200,205,CB109_C_200,0.083690987,0.752232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,205,210,CB109_C_205,0.088197425,0.756539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,206,206,OS-114597,NA,NA,NA,NA,NA,NA,NA,NA,1220,20,-13.95,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,210,215,CB109_C_210,0.093347639,0.75763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,215,220,CB109_C_215,0.084227468,0.7249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,220,225,CB109_C_220,0.091738197,0.721893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,225,225,OS-115936,NA,NA,NA,NA,NA,NA,NA,NA,1290,20,-13.63,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,225,230,CB109_C_225,0.106437768,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,230,235,CB109_C_230,0.104184549,0.778802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,235,240,CB109_C_235,0.10751073,0.622296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,240,245,CB109_C_240,0.122854077,0.665499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,245,250,CB109_C_245,0.106759657,0.771493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,247,247,OS-114596,NA,NA,NA,NA,NA,NA,NA,NA,1460,25,-13.6,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,250,255,CB109_C_250,0.100751073,0.785235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,255,260,CB109_C_255,0.090343348,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,260,265,CB109_C_260,0.085300429,0.752044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,265,265,OS-115935,NA,NA,NA,NA,NA,NA,NA,NA,1650,20,-14.03,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,265,270,CB109_C_265,0.100751073,0.80396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,270,275,CB109_C_270,0.089055794,0.8243240000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,275,280,CB109_C_275,0.095815451,0.8346939999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,280,285,CB109_C_280,0.087875536,0.806701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,285,290,CB109_C_285,0.10472103,0.837891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,286,286,OS-115934,NA,NA,NA,NA,NA,NA,NA,NA,1800,20,-14.4,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,290,295,CB109_C_290,0.101609442,0.819196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,295,300,CB109_C_295,0.081652361,0.8271599999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,300,305,CB109_C_300,0.098497854,0.809798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,302,302,OS-114595,NA,NA,NA,NA,NA,NA,NA,NA,1740,20,-13.71,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,305,310,CB109_C_305,0.097746781,0.839056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,310,315,CB109_C_310,0.097854077,0.828042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,315,320,CB109_C_315,0.093776824,0.8407640000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,320,325,CB109_C_320,0.088197425,0.839535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,325,330,CB109_C_325,0.0972103,0.832487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,329,329,OS-114594,NA,NA,NA,NA,NA,NA,NA,NA,1910,20,-14.18,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,330,335,CB109_C_330,0.118776824,0.821053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,335,340,CB109_C_335,0.094635193,0.8256659999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,340,345,CB109_C_340,0.094313305,0.817949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,345,350,CB109_C_345,0.091845494,0.803681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,348,348,OS-114593,NA,NA,NA,NA,NA,NA,NA,NA,2050,25,-13.49,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,350,355,CB109_C_350,0.07972103,0.813814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,355,360,CB109_C_355,0.075429185,0.804819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,360,365,CB109_C_360,0.074356223,0.793612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,362,362,OS-130622,NA,NA,NA,NA,NA,NA,NA,NA,2100,15,-13.43,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,365,370,CB109_C_365,0.087446352,0.8021280000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,370,375,CB109_C_370,0.079613734,0.782816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,375,380,CB109_C_375,0.082939914,0.804178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,380,385,CB109_C_380,0.082296137,0.787709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,382,382,OS-124303,NA,NA,NA,NA,NA,NA,NA,NA,2660,25,-13.33,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,385,390,CB109_C_385,0.095386266,0.8050849999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,390,395,CB109_C_390,0.075429185,0.806683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,391,391,OS-130623,NA,NA,NA,NA,NA,NA,NA,NA,2210,20,-14.15,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,395,400,CB109_C_395,0.076287554,0.803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,400,405,CB109_C_400,0.074034335,0.785388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,405,410,CB109_C_405,0.097103004,0.689655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,410,410,OS-124302,NA,NA,NA,NA,NA,NA,NA,NA,2180,20,-14.55,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,410,415,CB109_C_410,0.082832618,0.682692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,415,420,CB109_C_415,0.114055794,0.7318720000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,420,420,OS-130555,NA,NA,NA,NA,NA,NA,NA,NA,2360,20,-15.3,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,420,425,CB109_C_420,0.104506438,0.709328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,425,430,CB109_C_425,0.098819742,0.636656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,430,435,CB109_C_430,0.109334764,0.568922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,435,440,CB109_C_435,0.113841202,0.578348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,436,436,OS-130624,NA,NA,NA,NA,NA,NA,NA,NA,2420,15,-14.39,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,440,445,CB109_C_440,0.126609442,0.555249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,445,450,CB109_C_445,0.097103004,0.484985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,450,455,CB109_C_450,0.116094421,0.627235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,451,451,OS-124549,NA,NA,NA,NA,NA,NA,NA,NA,2560,20,-14.05,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,455,460,CB109_C_455,0.141845494,0.458844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,460,465,CB109_C_460,0.161373391,0.315101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,465,470,CB109_C_465,0.137660944,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,470,475,CB109_C_470,0.145386266,0.43351100000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,472,472,OS-126364,NA,NA,NA,NA,NA,NA,NA,NA,2560,20,-14.96,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,475,480,CB109_C_475,0.107618026,0.438889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,480,485,CB109_C_480,0.104828326,0.47970999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,483,483,OS-124301,NA,NA,NA,NA,NA,NA,NA,NA,2200,20,-13.42,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,485,490,CB109_C_485,0.147424893,0.522342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,488,488,OS-127727,NA,NA,NA,NA,NA,NA,NA,NA,2690,25,-14.52,NA,NA,NA,NA,NA
