Site,Lat,Long,Rep,depth,loi,Cinorg,Corg,dbd
nm,24.9412,-80.8642,2,-90,5.220883534,9.732435012,1.949809766,0.784
nm,24.9412,-80.8642,2,-100,7.231133316,9.225740976,2.541667031,0.9375
tc,25.2148,-80.5404,1,0,5.443007078,10.71850793,1.421492067,0.677
tc,25.2148,-80.5404,1,-10,3.967391304,10.63369076,1.272309239,0.854444444
tc,25.2148,-80.5404,1,-20,4.180144315,10.57324198,1.439758024,0.432
tc,25.2148,-80.5404,1,-30,4.948939513,10.07541241,1.892087588,0.634
tc,25.2148,-80.5404,1,-40,4.679529829,10.24742715,2.399572854,0.763333333
tc,25.2148,-80.5404,1,-50,4.254735108,10.11165743,1.840842575,0.8595
tc,25.2148,-80.5404,1,-60,3.666292555,10.14056771,1.533432286,0.92
tc,25.2148,-80.5404,1,-70,3.607558694,10.21711682,1.515883184,0.774
tc,25.2148,-80.5404,1,-80,3.335165842,10.30785459,1.33414541,0.918333333
tc,25.2148,-80.5404,1,-90,2.954144621,10.35915983,1.133840168,0.978166667
tc,25.2148,-80.5404,2,0,5.887016848,9.698813479,2.435186521,0.8646
tc,25.2148,-80.5404,2,-10,4.396340103,10.18322383,1.846776166,0.695
tc,25.2148,-80.5404,2,-20,3.236058943,10.55888125,1.096118752,0.655857143
tc,25.2148,-80.5404,2,-30,3.890865955,10.39516394,1.693336062,0.7505
tc,25.2148,-80.5404,2,-40,4.872180451,9.756309173,2.017690827,0.741666667
tc,25.2148,-80.5404,2,-50,3.972027972,9.831823916,1.728676084,0.752166667
tc,25.2148,-80.5404,2,-60,4.273504274,10.06755556,1.600944444,0.805666667
tc,25.2148,-80.5404,2,-70,4.038997214,10.01544986,1.555550139,0.945666667
tc,25.2148,-80.5404,2,-80,2.879507968,10.4608482,0.998651803,0.9425
tc,25.2148,-80.5404,2,-90,3.665931643,9.972021086,1.285978914,1.0235
