study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,depth_interval_notes,fraction_nitrogen
Tully_et_al_2024,S,S_9,core,20,22,NA,2.53,0.02,NA,0,0,becquerelsPerKilogram,0.42,1.85,7.41,0.57,becquerelsPerKilogram,6.99,1.93,becquerelsPerKilogram,NA,19.67,11.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,22,24,NA,NA,NA,NA,0,0,becquerelsPerKilogram,3.29,1.88,10.28,0.66,becquerelsPerKilogram,6.99,1.99,becquerelsPerKilogram,NA,7.33,9.33,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,24,26,NA,NA,NA,NA,1.33,0.33,becquerelsPerKilogram,2.89,1.87,9.89,0.64,becquerelsPerKilogram,6.99,1.97,becquerelsPerKilogram,NA,1.33,6.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,26,28,NA,NA,0.02,NA,0,0,becquerelsPerKilogram,0.29,1.85,7.29,0.57,becquerelsPerKilogram,6.99,1.93,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,28,30,NA,2.36,NA,NA,0,0,becquerelsPerKilogram,0,1.85,6.55,0.57,becquerelsPerKilogram,6.99,1.93,becquerelsPerKilogram,NA,1.67,7.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,30,32,NA,NA,NA,NA,0.33,0.5,becquerelsPerKilogram,0,1.82,5.2,0.48,becquerelsPerKilogram,6.99,1.88,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,32,34,NA,2.61,0.02,NA,0.67,0.5,becquerelsPerKilogram,0,1.84,6.19,0.54,becquerelsPerKilogram,6.99,1.91,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,34,36,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,1.84,6.99,0.55,becquerelsPerKilogram,6.99,1.92,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,0,2,NA,1.54,0.08,NA,5,0.5,becquerelsPerKilogram,141.75,6.58,150.48,6.57,becquerelsPerKilogram,8.73,9.3,becquerelsPerKilogram,NA,50.33,28.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,2,4,NA,2.52,NA,NA,6.83,0.5,becquerelsPerKilogram,122.72,5.89,131.45,5.88,becquerelsPerKilogram,8.73,8.33,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,4,6,NA,NA,0.1,NA,2,0.5,becquerelsPerKilogram,73.95,3.72,82.68,3.7,becquerelsPerKilogram,8.73,5.25,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,6,8,NA,2.42,0.06,NA,4.33,0.5,becquerelsPerKilogram,68.96,3.68,77.69,3.66,becquerelsPerKilogram,8.73,5.19,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,8,10,NA,NA,0.07,NA,4.5,0.5,becquerelsPerKilogram,44.48,2.52,53.21,2.49,becquerelsPerKilogram,8.73,3.54,becquerelsPerKilogram,NA,3.33,29.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,10,12,NA,NA,NA,NA,1.17,0.5,becquerelsPerKilogram,29.96,2.09,38.69,2.05,becquerelsPerKilogram,8.73,2.93,becquerelsPerKilogram,NA,11.17,28.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,12,14,NA,2.54,0.02,NA,1.33,0.5,becquerelsPerKilogram,3.83,0.99,12.56,0.91,becquerelsPerKilogram,8.73,1.34,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,14,16,NA,NA,NA,NA,0,0,becquerelsPerKilogram,2.8,0.96,11.53,0.88,becquerelsPerKilogram,8.73,1.31,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,16,18,NA,NA,NA,NA,0.33,0.5,becquerelsPerKilogram,0,0.73,6.33,0.61,becquerelsPerKilogram,8.73,0.95,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,18,20,NA,2.48,0.02,NA,0,0,becquerelsPerKilogram,0,0.74,8.26,0.63,becquerelsPerKilogram,8.73,0.97,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,20,22,NA,NA,NA,NA,0.33,0.5,becquerelsPerKilogram,0.22,0.8,8.95,0.7,becquerelsPerKilogram,8.73,1.06,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,22,24,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0.06,0.78,8.79,0.67,becquerelsPerKilogram,8.73,1.03,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,24,26,NA,2.64,0.02,NA,0,0,becquerelsPerKilogram,0,0.72,8.37,0.6,becquerelsPerKilogram,8.73,0.93,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,26,28,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,0.75,8.68,0.64,becquerelsPerKilogram,8.73,0.99,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_10,core,28,30,NA,NA,0.02,NA,0,0,becquerelsPerKilogram,0.61,0.76,9.34,0.65,becquerelsPerKilogram,8.73,1,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,0,2,NA,1.1,0.07,NA,3.44,0.34,becquerelsPerKilogram,144.67,7.32,155.81,7.26,becquerelsPerKilogram,11.14,10.31,becquerelsPerKilogram,NA,46.43,22.3,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,2,4,NA,1.91,0.03,NA,1.83,0.5,becquerelsPerKilogram,38.37,2.82,49.51,2.65,becquerelsPerKilogram,11.14,3.87,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,4,6,NA,NA,NA,NA,0.5,0.33,becquerelsPerKilogram,15.97,1.84,27.11,1.58,becquerelsPerKilogram,11.14,2.42,becquerelsPerKilogram,NA,19.5,22.5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,6,8,NA,2.37,0.02,NA,0.17,0.5,becquerelsPerKilogram,6.2,1.47,17.35,1.13,becquerelsPerKilogram,11.14,1.85,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,8,10,NA,NA,NA,NA,0.17,0.33,becquerelsPerKilogram,5.85,1.56,16.99,1.24,becquerelsPerKilogram,11.14,1.99,becquerelsPerKilogram,NA,1.5,22.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,10,12,NA,2.52,0.03,NA,1.17,0.5,becquerelsPerKilogram,6.34,1.6,17.48,1.3,becquerelsPerKilogram,11.14,2.06,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,12,14,NA,NA,NA,NA,1,0.33,becquerelsPerKilogram,6.14,1.57,17.29,1.26,becquerelsPerKilogram,11.14,2.01,becquerelsPerKilogram,NA,4.33,17.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,14,16,NA,NA,NA,NA,0.83,0.5,becquerelsPerKilogram,0.55,1.33,11.7,0.94,becquerelsPerKilogram,11.14,1.62,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,16,18,NA,2.32,0.03,NA,1,0.5,becquerelsPerKilogram,0.72,1.31,11.86,0.92,becquerelsPerKilogram,11.14,1.6,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,18,20,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,1.26,9.95,0.83,becquerelsPerKilogram,11.14,1.51,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,20,22,NA,NA,NA,NA,0.33,0.67,becquerelsPerKilogram,0.96,1.3,12.1,0.89,becquerelsPerKilogram,11.14,1.58,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,22,24,NA,2.56,0.03,NA,0,0,becquerelsPerKilogram,0.08,1.28,11.23,0.87,becquerelsPerKilogram,11.14,1.55,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_11,core,24,26,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,1.32,10.02,0.92,becquerelsPerKilogram,11.14,1.61,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,0,2,NA,-81.15,0.02,NA,0.17,0.5,becquerelsPerKilogram,26.87,4.2,35.13,1.65,becquerelsPerKilogram,8.27,4.51,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,2,4,NA,2.26,0.01,NA,1.83,0.67,becquerelsPerKilogram,21.59,4.13,29.86,1.47,becquerelsPerKilogram,8.27,4.39,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,4,6,NA,NA,0.01,NA,0,0,becquerelsPerKilogram,9.93,3.99,18.2,0.98,becquerelsPerKilogram,8.27,4.11,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,6,8,NA,2.52,0.02,NA,1.17,0.67,becquerelsPerKilogram,15.74,4.05,24.01,1.21,becquerelsPerKilogram,8.27,4.23,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,8,10,NA,NA,NA,NA,1.17,0.5,becquerelsPerKilogram,12.93,4.02,21.19,1.11,becquerelsPerKilogram,8.27,4.17,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,10,12,NA,2.49,0.01,NA,1.17,0.33,becquerelsPerKilogram,10.89,4,19.16,1.04,becquerelsPerKilogram,8.27,4.13,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,12,14,NA,NA,NA,NA,1.67,0.33,becquerelsPerKilogram,11.42,4,19.69,1.05,becquerelsPerKilogram,8.27,4.14,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,14,16,NA,NA,0.03,NA,1.17,0.33,becquerelsPerKilogram,12.59,4.02,20.86,1.13,becquerelsPerKilogram,8.27,4.18,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,16,18,NA,2.64,0.03,NA,2.5,0.5,becquerelsPerKilogram,4.81,3.94,13.08,0.76,becquerelsPerKilogram,8.27,4.01,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,18,20,NA,NA,0.02,NA,2,0.5,becquerelsPerKilogram,4.83,3.94,13.1,0.8,becquerelsPerKilogram,8.27,4.02,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,20,22,NA,NA,0.02,NA,0,0,becquerelsPerKilogram,0,3.91,7.24,0.58,becquerelsPerKilogram,8.27,3.95,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,22,24,NA,2.61,0.01,NA,1.33,0.5,becquerelsPerKilogram,0,3.91,7.56,0.58,becquerelsPerKilogram,8.27,3.95,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,24,26,NA,NA,NA,NA,0,0.17,becquerelsPerKilogram,0,3.9,4.97,0.5,becquerelsPerKilogram,8.27,3.93,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,26,28,NA,NA,NA,NA,0.17,0.33,becquerelsPerKilogram,0,3.9,5.33,0.52,becquerelsPerKilogram,8.27,3.93,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,28,30,NA,2.53,0.01,NA,0.67,0.33,becquerelsPerKilogram,0.7,3.91,8.96,0.61,becquerelsPerKilogram,8.27,3.96,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_12,core,30,32,NA,NA,NA,NA,0,0,becquerelsPerKilogram,7.28,3.96,15.55,0.89,becquerelsPerKilogram,8.27,4.06,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,0,2,NA,1.84,0.07,NA,4.33,0.67,becquerelsPerKilogram,95.68,7.69,121.39,5.82,becquerelsPerKilogram,25.7,9.64,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,2,4,NA,2.21,0.06,NA,4,0.67,becquerelsPerKilogram,101.05,7.89,126.76,6.09,becquerelsPerKilogram,25.7,9.97,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,4,6,NA,NA,NA,NA,7,0.5,becquerelsPerKilogram,101.19,7.85,126.9,6.05,becquerelsPerKilogram,25.7,9.91,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,6,8,NA,2.78,0.08,NA,7.17,0.67,becquerelsPerKilogram,69.32,6.9,95.02,4.73,becquerelsPerKilogram,25.7,8.36,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,8,10,NA,NA,NA,NA,6,0.5,becquerelsPerKilogram,87.96,7.45,113.66,5.51,becquerelsPerKilogram,25.7,9.27,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,10,12,NA,2.05,0.08,NA,4.33,0.83,becquerelsPerKilogram,53.25,6.42,78.95,4.01,becquerelsPerKilogram,25.7,7.57,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,12,14,NA,NA,NA,NA,4.33,0.67,becquerelsPerKilogram,34.38,5.94,60.08,3.18,becquerelsPerKilogram,25.7,6.73,becquerelsPerKilogram,NA,18,26.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,14,16,NA,NA,0.11,NA,5,1,becquerelsPerKilogram,31.72,5.87,57.43,3.05,becquerelsPerKilogram,25.7,6.61,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,16,18,NA,2.07,0.07,NA,2.5,0.5,becquerelsPerKilogram,14.56,5.44,40.26,2.1,becquerelsPerKilogram,25.7,5.83,becquerelsPerKilogram,NA,16.5,29.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,18,20,NA,NA,0.1,NA,2,0.5,becquerelsPerKilogram,4.83,5.24,30.53,1.53,becquerelsPerKilogram,25.7,5.46,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,20,22,NA,NA,NA,NA,2.33,0.33,becquerelsPerKilogram,4.75,5.23,30.46,1.5,becquerelsPerKilogram,25.7,5.44,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,22,24,NA,1.6,0.08,NA,1.83,0.33,becquerelsPerKilogram,5.21,5.25,30.92,1.55,becquerelsPerKilogram,25.7,5.47,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,24,26,NA,NA,NA,NA,1.17,0.5,becquerelsPerKilogram,0,5.15,21.68,1.15,becquerelsPerKilogram,25.7,5.27,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,26,28,NA,NA,0.1,NA,1.83,0.5,becquerelsPerKilogram,0,5.11,19.48,0.98,becquerelsPerKilogram,25.7,5.2,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,28,30,NA,1.41,NA,NA,1.17,0.5,becquerelsPerKilogram,0,5.13,22.22,1.08,becquerelsPerKilogram,25.7,5.24,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,30,32,NA,NA,0.08,NA,1.17,0.5,becquerelsPerKilogram,0,5.12,20.97,1.04,becquerelsPerKilogram,25.7,5.22,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_22,core,32,34,NA,NA,NA,NA,0.67,0.5,becquerelsPerKilogram,3.67,5.2,29.37,1.37,becquerelsPerKilogram,25.7,5.38,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,0,2,NA,1.6,0.02,NA,1.33,0.67,becquerelsPerKilogram,34.12,3.77,57.2,3.19,becquerelsPerKilogram,23.08,4.94,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,2,4,NA,2.28,0.02,NA,1,0.67,becquerelsPerKilogram,21.06,3,44.13,2.23,becquerelsPerKilogram,23.08,3.74,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,4,6,NA,NA,0.04,NA,2.5,0.33,becquerelsPerKilogram,16.88,2.9,39.96,2.1,becquerelsPerKilogram,23.08,3.58,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,6,8,NA,2.81,NA,NA,2.17,0.5,becquerelsPerKilogram,17.16,3.24,40.24,2.54,becquerelsPerKilogram,23.08,4.11,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,8,10,NA,NA,0.08,NA,1.33,0.83,becquerelsPerKilogram,13.24,2.64,36.32,1.71,becquerelsPerKilogram,23.08,3.14,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,10,12,NA,2.41,0.05,NA,1,0.67,becquerelsPerKilogram,7.29,2.54,30.36,1.55,becquerelsPerKilogram,23.08,2.97,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,12,14,NA,NA,NA,NA,2.33,0.67,becquerelsPerKilogram,5.13,2.5,28.21,1.5,becquerelsPerKilogram,23.08,2.92,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,14,16,NA,NA,0.1,NA,1,0.5,becquerelsPerKilogram,8.06,2.59,31.14,1.64,becquerelsPerKilogram,23.08,3.07,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,16,18,NA,2.34,0.06,NA,0.5,0.5,becquerelsPerKilogram,6.99,2.57,30.07,1.61,becquerelsPerKilogram,23.08,3.04,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,18,20,NA,NA,NA,NA,1.17,0.67,becquerelsPerKilogram,3.2,2.49,26.28,1.47,becquerelsPerKilogram,23.08,2.89,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,20,22,NA,NA,0.11,NA,1.17,0.5,becquerelsPerKilogram,0.01,2.38,23.09,1.28,becquerelsPerKilogram,23.08,2.7,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,22,24,NA,2.03,0.07,NA,0,0,becquerelsPerKilogram,0,2.3,21.58,1.12,becquerelsPerKilogram,23.08,2.56,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_23,core,24,26,NA,NA,NA,NA,1.33,0.5,becquerelsPerKilogram,1.49,2.43,24.56,1.37,becquerelsPerKilogram,23.08,2.79,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,0,2,NA,0.98,0.06,NA,4.5,0.83,becquerelsPerKilogram,133.12,4.1,152.39,6.7,becquerelsPerKilogram,19.27,7.86,becquerelsPerKilogram,NA,8.17,5.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,2,4,NA,2.24,0.07,NA,6.17,1,becquerelsPerKilogram,118.82,4,138.09,6.03,becquerelsPerKilogram,19.27,7.24,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,4,6,NA,NA,NA,NA,6.67,0.83,becquerelsPerKilogram,110.9,3.56,130.18,5.71,becquerelsPerKilogram,19.27,6.73,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,6,8,NA,2.22,0.06,NA,5.17,0.83,becquerelsPerKilogram,98.05,1.51,117.32,5.19,becquerelsPerKilogram,19.27,5.4,becquerelsPerKilogram,NA,3.17,6,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,8,10,NA,NA,NA,NA,6.67,1,becquerelsPerKilogram,86.26,1.81,105.54,4.99,becquerelsPerKilogram,19.27,5.31,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,10,12,NA,2.37,0.07,NA,6,0.83,becquerelsPerKilogram,81.19,1.48,100.46,4.42,becquerelsPerKilogram,19.27,4.66,becquerelsPerKilogram,NA,6.33,7,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,12,14,NA,NA,NA,NA,6.83,0.83,becquerelsPerKilogram,74.7,2.52,93.97,4.67,becquerelsPerKilogram,19.27,5.31,becquerelsPerKilogram,NA,0.67,6.5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,14,16,NA,NA,NA,NA,6.67,1,becquerelsPerKilogram,64.35,1.67,83.63,3.8,becquerelsPerKilogram,19.27,4.15,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,16,18,NA,2.55,0.06,NA,6.67,1,becquerelsPerKilogram,55.59,1.67,74.86,3.75,becquerelsPerKilogram,19.27,4.1,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,18,20,NA,NA,NA,NA,5.67,0.67,becquerelsPerKilogram,43.34,1.58,62.61,3.28,becquerelsPerKilogram,19.27,3.64,becquerelsPerKilogram,NA,8,4.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,20,22,NA,NA,NA,NA,4.5,0.83,becquerelsPerKilogram,32.53,2.72,51.8,2.54,becquerelsPerKilogram,19.27,3.72,becquerelsPerKilogram,NA,19,16.5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,22,24,NA,2.16,0.07,NA,2.17,0.83,becquerelsPerKilogram,32.53,4,51.8,2.54,becquerelsPerKilogram,19.27,4.74,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,24,26,NA,NA,NA,NA,0.67,0.83,becquerelsPerKilogram,14.27,1.59,33.54,1.78,becquerelsPerKilogram,19.27,2.39,becquerelsPerKilogram,NA,21.83,19.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_24,core,26,28,NA,NA,NA,NA,0.17,0.67,becquerelsPerKilogram,5.73,2.84,25.01,1.46,becquerelsPerKilogram,19.27,3.19,becquerelsPerKilogram,NA,0.67,14.67,becquerelsPerKilogram,NA,NA
